scope_type,scope_value,metric,baseline_valid_n,fixed128_valid_n,fixed128_invalid_n,baseline_median,baseline_q1,baseline_q3,fixed128_median,fixed128_q1,fixed128_q3,delta_median,abs_delta_median,abs_delta_p95,delta_pct_median,abs_delta_pct_median,abs_delta_pct_p95
overall,all,q_vessel,2422,2422,0,2182255503095.7114,1775340315250.3047,2603295385315.9238,2007175196919.4775,1634458850649.7246,2415366344346.4849,-164254629002.28748,164541827684.77612,337291082507.10406,-7.304899998525638,7.4389417431885541,14.991021901055488
overall,all,q_tail,2422,2422,0,1334544174065.197,1127016016288.6934,1556662376136.1953,1108219730788.3792,936387692699.00305,1291588949105.1606,-215855995805.55048,216113760543.34637,496610617682.55658,-16.096536647569259,16.316383790655252,33.058143700786211
overall,all,relative_tail_burden,2422,2422,0,0.60990440967930781,0.50308043740586572,0.74009719116140238,0.54709737493054433,0.44833790562495318,0.67317051317735732,-0.052249240559926524,0.054680767474667769,0.169324618550905,-9.0009011049331704,9.3540659129169086,24.818567091844695
overall,all,relative_tail_intensity,2422,2422,0,0.12264614987139839,0.10115340040803465,0.14883624586338287,0.11001835698214821,0.090155823090100937,0.13535400499058489,-0.010489614100005054,0.010978013939446543,0.034042338366102223,-8.9869869539933944,9.3549489722041486,24.820903793782499
scan,flow01,q_vessel,486,486,0,2254206200871.9404,1929822271376.4424,2625067454961.2036,2072395770882.2681,1770892482319.5203,2419158763701.7422,-185543624246.17969,185543624246.17969,369376863469.95038,-8.2303301428059186,8.2396972573971379,14.898383257129243
scan,flow01,q_tail,486,486,0,1363099623102.999,1172789823155.8987,1601425756674.7271,1114268911397.5063,954965340474.96997,1304988976375.8516,-238617491643.61102,238617491643.61102,518222252745.81592,-17.4790868424823,17.53751098469877,33.781035404251384
scan,flow01,relative_tail_burden,486,486,0,0.596951936379571,0.51400393037890724,0.69303395452759031,0.53621055230191983,0.45402927305684343,0.63176667923339302,-0.056323482073984465,0.058270828730788038,0.1691630440121473,-9.8272681165753752,9.9913772980989393,25.036099293122291
scan,flow01,relative_tail_intensity,486,486,0,0.1200366113631912,0.10336287152188353,0.13932897409870088,0.10781351656085421,0.091292031286984321,0.12702164654156262,-0.011328048774392335,0.011715082285644551,0.03400706759989558,-9.8330868302129772,10.008009579032258,25.041725749251508
scan,flow03,q_vessel,468,468,0,2290347428561.3306,1939761938972.7158,2708285373719.8975,2112459763732.625,1787573842973.7898,2476958032461.0654,-181369086268.59692,181369086268.59692,372838052893.04419,-7.6195352124917211,7.6737150737416204,15.323589792205178
scan,flow03,q_tail,468,468,0,1321717384937.3279,1121718609032.5898,1547776302867.5205,1083547445435.5651,914788409273.47351,1247912782103.7517,-229493444288.25092,230069638466.68433,529862234923.07587,-17.245213296586485,17.359295463628079,35.000954551538911
scan,flow03,relative_tail_burden,468,468,0,0.57039566614157833,0.47269765408776898,0.68941361585040206,0.51892474832689905,0.41773264756361345,0.6143337338735102,-0.057307509025284364,0.058040154569756752,0.17844506690386852,-10.150654133650947,10.509161696378897,26.300445596737397
scan,flow03,relative_tail_intensity,468,468,0,0.11468684369855794,0.095017287842877385,0.13864230090259658,0.1043541068741782,0.083994392206764704,0.12351502442284892,-0.011542572702142387,0.011677183748172226,0.035866149978949997,-10.160302770921882,10.515665879079769,26.286377322397957
scan,flow05,q_vessel,491,491,0,2338105348942.6016,1893149162604.6108,2762397954650.3862,2147724222654.4722,1708920770470.9443,2561034575582.4766,-178619473943.55957,178756084788.64209,350990531359.12451,-7.4448116979732522,7.5610026597863431,15.10842169213176
