metric,metric_label,endpoint_role,scan_id,flow_mm_s,n_valid_frames,median,q1,q3,iqr,relative_iqr,median_ratio_vs_flow01,median_change_pct_vs_flow01
q_vessel,Q_V,primary,flow01,1,486,2254206200871.9404,1929822271376.4424,2625067454961.2036,695245183584.76123,0.30842128963882554,1,0
q_vessel,Q_V,primary,flow03,3,468,2290347428561.3306,1939761938972.7158,2708285373719.8975,768523434747.18164,0.33554884519416583,1.016032795791002,1.6032795791001948
q_vessel,Q_V,primary,flow05,5,491,2338105348942.6016,1893149162604.6108,2762397954650.3862,869248792045.77539,0.37177486140172833,1.0372189323400001,3.7218932339999968
q_vessel,Q_V,primary,flow07,7,493,1673677772032.0164,1401447703399.355,1998157951685.3965,596710248286.0415,0.35652636263524856,0.74246879960876155,-25.753120039123846
q_vessel,Q_V,primary,flow10,10,484,2336262125396.6445,1991292827921.3936,2694092397018.0459,702799569096.65234,0.30082222429443051,1.036401250468109,3.6401250468109074
source_mean,Sbar_V,primary,flow01,1,486,126523022.78553356,109538002.64342821,148364923.68778551,38826921.0443573,0.30687633119682867,1,0
source_mean,Sbar_V,primary,flow03,3,468,131772029.85389292,108460836.55763747,150791821.20262402,42330984.644986555,0.32124408109917246,1.04148657653601,4.1486576536009876
source_mean,Sbar_V,primary,flow05,5,491,131389668.65784197,107310919.73786391,156733467.26224977,49422547.524385855,0.37615246334998714,1.0384645083966872,3.8464508396687211
source_mean,Sbar_V,primary,flow07,7,493,100827787.17296246,84186485.806657746,120790201.2949578,36603715.488300055,0.36303202236809129,0.79691256937382426,-20.30874306261758
source_mean,Sbar_V,primary,flow10,10,484,131878640.71632229,112518374.41353816,157202117.16394186,44683742.750403702,0.33882471420463545,1.0423291967965935,4.2329196796593438
q_tail,Q_T,primary,flow01,1,486,1363099623102.999,1172789823155.8987,1601425756674.7271,428635933518.82837,0.31445679116473474,1,0
q_tail,Q_T,primary,flow03,3,468,1321717384937.3279,1121718609032.5898,1547776302867.5205,426057693834.93066,0.32235158490794391,0.96964107577737613,-3.03589242226239
q_tail,Q_T,primary,flow05,5,491,1320784413673.864,1112280544873.0396,1539370159455.6799,427089614582.64038,0.32336058039529525,0.96895662744531652,-3.1043372554683462
q_tail,Q_T,primary,flow07,7,493,1272731174395.8386,1067766531941.5116,1500154093190.689,432387561249.17737,0.33973204235720111,0.93370370941674607,-6.6296290583253974
q_tail,Q_T,primary,flow10,10,484,1371539929611.8394,1163264550321.1995,1590527249760.3025,427262699439.10303,0.31152042329531232,1.006191995336061,0.61919953360610402
ri_tail,RI_tail,primary,flow01,1,486,0.1200366113631912,0.10336287152188353,0.13932897409870088,0.035966102576817344,0.29962610713822785,1,0
ri_tail,RI_tail,primary,flow03,3,468,0.11468684369855794,0.095017287842877385,0.13864230090259658,0.043625013059719192,0.38038376201530888,0.95543220019393393,-4.4567799806066031
ri_tail,RI_tail,primary,flow05,5,491,0.1139710492110269,0.095460879332231713,0.13773306140052577,0.042272182068294056,0.37090280699288458,0.94946906545194021,-5.05309345480598
ri_tail,RI_tail,primary,flow07,7,493,0.15329320834104709,0.12531031615502269,0.1820265317049197,0.056716215549897003,0.36998518175518014,1.2770537805106177,27.705378051061768
ri_tail,RI_tail,primary,flow10,10,484,0.1170343121650288,0.10061540478090128,0.13999903089756355,0.039383626116662268,0.33651350093917626,0.97498847090011198,-2.5011529099887997
tail_mean,Sbar_T,supporting,flow01,1,486,15390848.480729202,13283664.774186885,17691373.221005462,4407708.4468185771,0.28638501979520137,1,0
tail_mean,Sbar_T,supporting,flow03,3,468,14952747.080187935,13082679.239529833,16950194.823288973,3867515.5837591402,0.25864916747528716,0.97153494161872811,-2.8465058381271886
tail_mean,Sbar_T,supporting,flow05,5,491,14948574.560281008,12703195.178467661,17433502.487070374,4730307.308602713,0.31643868714889634,0.97126383766288371,-2.8736162337116249
tail_mean,Sbar_T,supporting,flow07,7,493,15442352.863554891,12853864.179456107,18471326.056186281,5617461.8767301738,0.36376981709748418,1.0033464290737562,0.33464290737562485
tail_mean,Sbar_T,supporting,flow10,10,484,15794668.471255992,13641163.372012541,18408338.04360142,4767174.6715888791,0.30182176221453755,1.0262376691598525,2.6237669159852404
ratio_tail_to_vessel,R_B_relative_tail_burden,supporting,flow01,1,486,0.596951936379571,0.51400393037890724,0.69303395452759031,0.17903002414868308,0.29990693259908802,1,0
ratio_tail_to_vessel,R_B_relative_tail_burden,supporting,flow03,3,468,0.57039566614157833,0.47269765408776898,0.68941361585040206,0.21671596176263308,0.37993970611417976,0.95551355373926306,-4.4486446260736994
ratio_tail_to_vessel,R_B_relative_tail_burden,supporting,flow05,5,491,0.56683316910951487,0.47489163022313119,0.6850310827476247,0.21013945252449351,0.37072539854119507,0.94954574156719851,-5.0454258432801469
ratio_tail_to_vessel,R_B_relative_tail_burden,supporting,flow07,7,493,0.76237482865987272,0.62312234826057267,0.90511357980326079,0.28199123154268813,0.36988528600607329,1.2771125817659092,27.711258176590924
ratio_tail_to_vessel,R_B_relative_tail_burden,supporting,flow10,10,484,0.58202748565279316,0.50044504685728042,0.6962404517449392,0.19579540488765879,0.3364023344499919,0.97499890725324967,-2.50010927467503
