scan_id,flow_mm_s,target_r_um,n_frames,ri_r_mean,ri_r_q1,ri_r_median,ri_r_q3,ri_r_iqr,ri_r_min,ri_r_max,ri_r_negative_n,ri_r_negative_fraction,T_median,actual_r_median_um,abs_depth_error_median_um,abs_depth_error_max_um
flow01,1,0,486,0.55928811494751018,0.33337090607107711,0.51219038186661292,0.7120527894530394,0.37868188338196229,-0.1985201171341385,4.0467626378663883,5,0.010288065843621399,12367.5,2.6500000000000115,2.6500000000000115,2.6500000000000115
flow01,1,50,486,0.36866823702203327,0.21042524708170668,0.33999732643397024,0.48570081398552212,0.27527556690381544,-0.23371507780432049,1.3558053467745022,13,0.026748971193415638,12372.5,49.550000000000011,0.44999999999998863,0.44999999999998863
flow01,1,100,486,0.20296486570799624,0.10354655019635103,0.1864602770091629,0.29090794925739794,0.1873613990610469,-0.32766593396524912,0.93159404590482442,37,0.076131687242798354,12377.5,103.15000000000002,3.1500000000000199,3.1500000000000199
flow01,1,200,486,0.094192747480334044,0.0169663710429316,0.087024229069486703,0.16787439347691224,0.15090802243398063,-0.3025903001520302,0.53508608024269877,97,0.19958847736625515,12387.5,196.94999999999999,3.0500000000000114,3.0500000000000114
flow01,1,300,486,0.035536301816485455,-0.024868982024294949,0.034508466525378548,0.093288982274962698,0.11815796429925765,-0.43833635091990752,0.47676626972297759,175,0.360082304526749,12397.5,297.45000000000005,2.5499999999999545,2.5499999999999545
flow01,1,400,486,0.011274936057579345,-0.051403069033100553,0.01092889512221625,0.067683124642870213,0.11908619367597076,-0.37287011237080148,0.34498605931174853,215,0.44238683127572015,12407.5,397.9500000000001,2.0499999999998977,2.0499999999998977
flow01,1,500,486,0.0045955761949716071,-0.043735180209186403,0.0057657633802815,0.055921915338564304,0.099657095547750707,-0.42876368534741799,0.31008183106140491,225,0.46296296296296297,12417.5,498.4500000000001,1.5499999999998977,1.5499999999998977
flow03,3,0,468,0.54888518400313746,0.29679159123462623,0.47880913683552712,0.73912608415402659,0.44233449291940036,-1.4797326170713725,4.2118770405426096,6,0.01282051282051282,36694.5,2.6500000000000115,2.6500000000000115,2.6500000000000115
flow03,3,50,468,0.34352154769027915,0.17808149001251794,0.29534614750794252,0.46138436574141256,0.28330287572889462,-0.0571291810905281,1.545820652564303,9,0.019230769230769232,36699.5,49.550000000000011,0.44999999999998863,0.44999999999998863
flow03,3,100,468,0.20916109863559523,0.088572947934205976,0.184510343101637,0.28703056751921485,0.19845761958500888,-0.22569098737058829,1.0357292227864636,37,0.079059829059829057,36704.5,103.15000000000002,3.1500000000000199,3.1500000000000199
flow03,3,200,468,0.097899998012568296,0.018951031579049,0.089081030446674356,0.15754987535575407,0.13859884377670506,-0.25240094680558761,0.61455827119411677,86,0.18376068376068377,36714.5,196.94999999999999,3.0500000000000114,3.0500000000000114
flow03,3,300,468,0.044800367721278142,-0.014057848014466374,0.037263926746439094,0.10045875585839981,0.11451660387286618,-0.2754606294524084,0.4216572491576463,149,0.31837606837606836,36724.5,297.45000000000005,2.5499999999999545,2.5499999999999545
flow03,3,400,468,0.019541842171300804,-0.027112491721722372,0.023957223441651451,0.067838205636622517,0.094950697358344882,-0.28263550048266961,0.28273811721047681,167,0.35683760683760685,36734.5,397.9500000000001,2.0499999999998977,2.0499999999998977
flow03,3,500,468,0.012453401435009778,-0.034079111240475329,0.0102688091361752,0.057068223800340198,0.091147335040815528,-0.3908415337899977,0.30909238163379038,209,0.4465811965811966,36744.5,498.4500000000001,1.5499999999998977,1.5499999999998977
flow05,5,0,491,0.5289089847066657,0.30139826189223523,0.4630826709178601,0.69018467060983268,0.38878640871759745,-0.1351995642013411,4.5991278417036687,5,0.010183299389002037,61149,2.6500000000000115,2.6500000000000115,2.6500000000000115
flow05,5,50,491,0.32396058708743181,0.18114747190129915,0.29848990806409548,0.43593039757666846,0.25478292567536931,-0.14289183231781771,1.2700114899855235,14,0.028513238289205704,61154,49.550000000000011,0.44999999999998863,0.44999999999998863
flow05,5,100,491,0.19436057686790745,0.09148024608032565,0.1802029740324034,0.27506543167307429,0.18358518559274864,-0.37506450639901712,0.8640949433240257,36,0.073319755600814662,61159,103.15000000000002,3.1500000000000199,3.1500000000000199
flow05,5,200,491,0.087217747393175199,0.0095923090562358999,0.070580822174112504,0.1496957047510877,0.14010339569485181,-0.1803444202071775,0.51900179580682648,109,0.2219959266802444,61169,196.94999999999999,3.0500000000000114,3.0500000000000114
flow05,5,300,491,0.041723736658524212,-0.014867935962324301,0.039069127829151,0.098663077615099098,0.1135310135774234,-0.38389785019062039,0.42649539733885722,160,0.32586558044806518,61179,297.45000000000005,2.5499999999999545,2.5499999999999545
flow05,5,400,491,0.011934198702801595,-0.038894445213716898,0.0141688228435407,0.069323194033417052,0.10821763924713396,-0.37864720389975137,0.24818144908919751,214,0.43584521384928715,61189,397.9500000000001,2.0499999999998977,2.0499999999998977
flow05,5,500,491,0.0065664946433081021,-0.041358895509298603,0.0063650891241879004,0.057029441282770751,0.098388336792069347,-0.35360938139970699,0.3210282237350689,232,0.47250509164969451,61199,498.4500000000001,1.5499999999998977,1.5499999999998977
flow07,7,0,493,0.7503710942431624,0.41835328157439361,0.62898498509800316,0.93100771396964677,0.5126544323952531,-0.22947570663666109,5.801454913133866,1,0.0020283975659229209,86241,2.6500000000000115,2.6500000000000115,2.6500000000000115
flow07,7,50,493,0.46491866718565283,0.22476881270840829,0.3920833810418326,0.63498611929441728,0.41021730658600897,-0.16664386024788791,3.5604702375977757,16,0.032454361054766734,86246,49.550000000000011,0.44999999999998863,0.44999999999998863
flow07,7,100,493,0.26519489880269886,0.1126876282791278,0.24419725420927851,0.38435621548514609,0.27166858720601827,-0.41476885181276768,1.4324335231789558,41,0.083164300202839755,86251,103.15000000000002,3.1500000000000199,3.1500000000000199
flow07,7,200,493,0.12392938770556421,0.027723009422887399,0.1021608461379318,0.2033130606192243,0.17559005119633692,-0.46272831599341879,1.1111760784427778,97,0.19675456389452334,86261,196.94999999999999,3.0500000000000114,3.0500000000000114
flow07,7,300,493,0.049404806740926455,-0.0259985337384105,0.040829545049777899,0.1171077830658577,0.14310631680426819,-0.2906583624016098,0.51154170532597898,166,0.33671399594320489,86271,297.45000000000005,2.5499999999999545,2.5499999999999545
flow07,7,400,493,0.017255077659006624,-0.0514755800433832,0.020413866405085801,0.087113374334864602,0.13858895437824781,-0.48059193569652903,0.53607561540359983,208,0.42190669371196754,86281,397.9500000000001,2.0499999999998977,2.0499999999998977
flow07,7,500,493,0.0096480367885717587,-0.056071194521058,0.013033857668015099,0.083577989637536695,0.1396491841585947,-0.37597059179030512,0.32713672233916108,221,0.44827586206896552,86291,498.4500000000001,1.5499999999998977,1.5499999999998977
flow10,10,0,484,0.54143729459048973,0.33046976982466308,0.48522587154695729,0.71442421827651037,0.38395444845184729,-0.1153469347386676,2.3431525037875431,5,0.010330578512396695,111154.5,2.6500000000000115,2.6500000000000115,2.6500000000000115
flow10,10,50,484,0.31897273885229438,0.19090879981084544,0.2856122817148552,0.41571779127862335,0.22480899146777791,-0.33917835844764099,1.3933432107362662,9,0.01859504132231405,111159.5,49.550000000000011,0.44999999999998863,0.44999999999998863
