method,perturbation_role,metric,metric_label,n,abs_delta_pct_median,abs_delta_pct_p95,abs_delta_pct_max,note
background_plus2,local_method_perturbation,q_vessel,Q_V,2422,1.0543211803359407,3.5931931202231175,11.805912258035463,Both bilateral background strips moved outward by 2 A-lines; source/tail geometry unchanged.
background_plus2,local_method_perturbation,source_mean,Sbar_V,2422,1.0543211803359327,3.593193120223147,11.805912258035432,Both bilateral background strips moved outward by 2 A-lines; source/tail geometry unchanged.
background_plus2,local_method_perturbation,q_tail,Q_T,2422,5.3517371879083,16.54386489114426,71.94333854999317,Both bilateral background strips moved outward by 2 A-lines; source/tail geometry unchanged.
background_plus2,local_method_perturbation,ri_tail,RI_tail,2422,4.92952107112777,15.860982510570611,64.25809425738811,Both bilateral background strips moved outward by 2 A-lines; source/tail geometry unchanged.
fixed128_width,geometry_stress_test,q_vessel,Q_V,2422,7.438941743188554,14.991021901055475,43.09506391420627,X4-centered lateral width replaced by known 128 um phantom diameter; background recomputed from variant edges.
fixed128_width,geometry_stress_test,source_mean,Sbar_V,2422,24.872731832626602,51.02285639167038,73.66170706207853,X4-centered lateral width replaced by known 128 um phantom diameter; background recomputed from variant edges.
fixed128_width,geometry_stress_test,q_tail,Q_T,2422,16.31638379065526,33.05814370078622,76.16765584091601,X4-centered lateral width replaced by known 128 um phantom diameter; background recomputed from variant edges.
fixed128_width,geometry_stress_test,ri_tail,RI_tail,2422,9.354948972204202,24.820903793782556,46.075913648846395,X4-centered lateral width replaced by known 128 um phantom diameter; background recomputed from variant edges.
systematic_stride_2,sampling_design_250_positions,q_vessel,Q_V,10,0.4858323409423023,1.0418309714063518,1.101544752640262,"Systematic phase-complete subsampling, approximately 250 planned positions per 500-frame volume."
systematic_stride_2,sampling_design_250_positions,source_mean,Sbar_V,10,0.6915426031956915,1.666803840662347,1.6874541333441233,"Systematic phase-complete subsampling, approximately 250 planned positions per 500-frame volume."
systematic_stride_2,sampling_design_250_positions,q_tail,Q_T,10,0.5783003086516137,1.7508983997207708,1.8809263294485887,"Systematic phase-complete subsampling, approximately 250 planned positions per 500-frame volume."
systematic_stride_2,sampling_design_250_positions,ri_tail,RI_tail,10,1.168495835152588,2.3962661995977106,2.4939078489630275,"Systematic phase-complete subsampling, approximately 250 planned positions per 500-frame volume."
systematic_stride_5,sampling_design_100_positions,q_vessel,Q_V,25,1.889464964950458,4.359503505210166,4.868621173709873,"Systematic phase-complete subsampling, approximately 100 planned positions per 500-frame volume."
systematic_stride_5,sampling_design_100_positions,source_mean,Sbar_V,25,1.5555903473541408,3.968830229316049,5.732319021120444,"Systematic phase-complete subsampling, approximately 100 planned positions per 500-frame volume."
systematic_stride_5,sampling_design_100_positions,q_tail,Q_T,25,0.8800128016670066,3.971396454259093,4.348033428138254,"Systematic phase-complete subsampling, approximately 100 planned positions per 500-frame volume."
systematic_stride_5,sampling_design_100_positions,ri_tail,RI_tail,25,1.8513024458875595,4.751662427165152,7.188196558630859,"Systematic phase-complete subsampling, approximately 100 planned positions per 500-frame volume."
