scan_id,flow_mm_s,localization_source,n,fraction,ri_median,source_mean_median,tail_mean_median
flow01,1,direct_candidate_supported,320,0.65843621399176955,0.26805297372277076,150540579.65881869,39922660.809501946
flow01,1,short_gap_assisted,166,0.34156378600823045,0.27423550749666836,146531976.74009109,39992760.76515425
flow03,3,direct_candidate_supported,300,0.64102564102564108,0.25548485493820916,155949633.89490145,39276372.343917944
flow03,3,short_gap_assisted,168,0.35897435897435898,0.25814078994221812,155239378.7660321,39233755.691688605
flow05,5,direct_candidate_supported,325,0.66191446028513234,0.25748172548098408,151948924.02930897,39176211.170652881
flow05,5,short_gap_assisted,166,0.3380855397148676,0.25184807409152832,156866915.20909297,39176802.051670842
flow07,7,direct_candidate_supported,327,0.66328600405679516,0.32131088395282698,124740041.51248746,40124024.054981962
flow07,7,short_gap_assisted,166,0.33671399594320489,0.33049460120557017,121726279.56349131,40357197.186065398
flow10,10,direct_candidate_supported,302,0.62396694214876036,0.26248327053621423,153850566.8127057,39655875.553223051
flow10,10,short_gap_assisted,182,0.37603305785123969,0.25301461130671843,157947588.17337132,39934562.03631144
