scan_id,flow_mm_s,subset,n,ri_median,source_mean_median,tail_mean_median
flow01,1,all_valid,486,0.26894256223210494,149475499.77011237,39973806.389386863
flow03,3,all_valid,468,0.25632875814502498,155467660.52228588,39258979.062311128
flow05,5,all_valid,491,0.256645550299264,154204959.81361899,39176211.170652881
flow07,7,all_valid,493,0.32317992329725742,123276893.0110162,40208950.329087123
flow10,10,all_valid,484,0.25946745609265887,154338856.44940418,39774709.246335603
flow01,1,central80_width,431,0.26952967519947141,149320636.63303787,39947528.177830443
flow03,3,central80_width,414,0.25611110038712925,156124336.6973508,39363093.337627009
flow05,5,central80_width,444,0.25653734047819299,154256004.18525359,39174230.25191468
flow07,7,central80_width,449,0.32260650776767852,124804040.11851884,40348423.502959087
flow10,10,central80_width,405,0.2590021204192528,155893123.69737831,39812687.858590312
flow01,1,central80_z,411,0.26813960652782581,147981540.05225587,39642550.933259085
flow03,3,central80_z,431,0.25756552655050591,154265400.1970976,39236668.34340293
flow05,5,central80_z,427,0.25642913065712197,152386478.00735244,38986264.051585197
flow07,7,central80_z,434,0.32588504399829088,121726279.56349131,39961534.888393909
flow10,10,central80_z,424,0.25928391219449343,152548717.63742578,39394716.305584028
flow01,1,central80_z_and_width,368,0.26764539069842697,148015141.78363937,39621865.453251272
flow03,3,central80_z_and_width,379,0.25783969669001261,154618219.21918291,39311404.197005361
flow05,5,central80_z_and_width,383,0.25637963317470042,152386478.00735244,38986264.051585197
flow07,7,central80_z_and_width,392,0.32383433034789111,122602688.94678535,40006306.120227657
flow10,10,central80_z_and_width,353,0.25681384129700702,154135070.93977302,39465798.484515697
flow01,1,direct_and_central80_z_width,244,0.26758646907688999,148158515.90189856,39465790.780752182
flow03,3,direct_and_central80_z_width,244,0.25757511935073119,154661338.72987962,39334626.453188747
flow05,5,direct_and_central80_z_width,245,0.2593234062896973,148937288.34600115,38848941.641686007
flow07,7,direct_and_central80_z_width,256,0.32223306106042937,123428612.49283208,39997715.974499002
flow10,10,direct_and_central80_z_width,225,0.26193068978537543,154052284.79294217,39380658.742634997
flow01,1,direct_only,320,0.26805297372277076,150540579.65881869,39922660.809501946
flow03,3,direct_only,300,0.25548485493820916,155949633.89490145,39276372.343917944
flow05,5,direct_only,325,0.25748172548098408,151948924.02930897,39176211.170652881
flow07,7,direct_only,327,0.32131088395282698,124740041.51248746,40124024.054981962
flow10,10,direct_only,302,0.26248327053621423,153850566.8127057,39655875.553223051
