scan_id,flow_mm_s,source_quintile,n,source_median,tail_median,ri_median
flow01,1,1,98,112604097.64996675,37505652.298183084,0.33639414231920139
flow01,1,2,97,135503505.86913571,39299633.737583518,0.28977924281773471
flow01,1,3,97,149542627.96089697,39843437.406286873,0.264591751787074
flow01,1,4,97,166951291.26634473,41420284.156156883,0.2459234320380343
flow01,1,5,97,199075184.10246119,42232821.555118032,0.2087693509552298
flow03,3,1,94,114029032.47607909,37650560.488669366,0.33290910549033903
flow03,3,2,93,137632415.36970359,38737110.952563033,0.27777934736386151
flow03,3,3,94,155467660.52228588,39100008.980980128,0.2529107874260268
flow03,3,4,93,170602626.20539925,39728476.070611104,0.2324396225791267
flow03,3,5,94,211153666.49054903,41063757.795900159,0.19650126856414266
flow05,5,1,99,109634021.28244106,36840140.486029603,0.3342451663448664
flow05,5,2,98,135948032.97740734,38686508.009355783,0.28215600506937005
flow05,5,3,98,154256004.18525359,39338374.087823376,0.2550143582612775
flow05,5,4,98,175473147.85913879,39602872.079057515,0.22801487132823262
flow05,5,5,98,207234303.26454499,42351241.299494013,0.19669045449050437
flow07,7,1,99,94802037.071085721,37630942.137530267,0.40424248156223658
flow07,7,2,98,111268675.14297417,39509793.019936264,0.35606844012799932
flow07,7,3,99,123276893.0110162,40062406.817259051,0.32236751192728352
flow07,7,4,98,140388710.40120402,41630026.241038471,0.29579567343060609
flow07,7,5,99,174274645.6964255,43689269.153683536,0.2490224646172588
flow10,10,1,97,118420604.14944944,37217912.10084381,0.32081831618765377
flow10,10,2,97,139318665.05432633,39402574.615406938,0.28493673500015487
flow10,10,3,96,154338856.44940418,39896489.763397165,0.2590076067859356
flow10,10,4,97,173821316.1042622,39924899.436939918,0.23102942127707601
flow10,10,5,97,208777426.23895985,42260312.062473431,0.20262807507987471
