package,scan_id,verified,valid_frames,npz_verified
formal_sv_d128_v21_full2500_run001_flow01_000_099.zip,flow01,True,100,100
formal_sv_d128_v21_full2500_run001_flow01_100_199.zip,flow01,True,99,99
formal_sv_d128_v21_full2500_run001_flow01_200_299.zip,flow01,True,97,97
formal_sv_d128_v21_full2500_run001_flow01_300_399.zip,flow01,True,98,98
formal_sv_d128_v21_full2500_run001_flow01_400_499.zip,flow01,True,92,92
formal_sv_d128_v21_full2500_run001_flow03_000_099.zip,flow03,True,94,94
formal_sv_d128_v21_full2500_run001_flow03_100_199.zip,flow03,True,95,95
formal_sv_d128_v21_full2500_run001_flow03_200_299.zip,flow03,True,87,87
formal_sv_d128_v21_full2500_run001_flow03_300_399.zip,flow03,True,100,100
formal_sv_d128_v21_full2500_run001_flow03_400_499.zip,flow03,True,92,92
formal_sv_d128_v21_full2500_run001_flow05_000_099.zip,flow05,True,94,94
formal_sv_d128_v21_full2500_run001_flow05_100_199.zip,flow05,True,100,100
formal_sv_d128_v21_full2500_run001_flow05_200_299.zip,flow05,True,99,99
formal_sv_d128_v21_full2500_run001_flow05_300_399.zip,flow05,True,98,98
formal_sv_d128_v21_full2500_run001_flow05_400_499.zip,flow05,True,100,100
formal_sv_d128_v21_full2500_run001_flow07_000_099.zip,flow07,True,98,98
formal_sv_d128_v21_full2500_run001_flow07_100_199.zip,flow07,True,98,98
formal_sv_d128_v21_full2500_run001_flow07_200_299.zip,flow07,True,100,100
formal_sv_d128_v21_full2500_run001_flow07_300_399.zip,flow07,True,100,100
formal_sv_d128_v21_full2500_run001_flow07_400_499.zip,flow07,True,97,97
formal_sv_d128_v21_full2500_run001_flow10_000_099.zip,flow10,True,100,100
formal_sv_d128_v21_full2500_run001_flow10_100_199.zip,flow10,True,100,100
formal_sv_d128_v21_full2500_run001_flow10_200_299.zip,flow10,True,98,98
formal_sv_d128_v21_full2500_run001_flow10_300_399.zip,flow10,True,100,100
formal_sv_d128_v21_full2500_run001_flow10_400_499.zip,flow10,True,86,86
