scan_id,flow_mm_s,segment_id,frame_lo,frame_hi,n_valid,source_median,tail_median,ri_median,ri_q1,ri_q3,source_delta_pct_vs_full,tail_delta_pct_vs_full,ri_delta_pct_vs_full
flow01,1,1,0,99,100,156821568.47186434,41113962.958486199,0.26838717244081689,0.23882886168113268,0.29327731748598951,4.9145637332204615,2.852259196917637,-0.20650870084619777
flow01,1,2,100,199,99,164957933.60089538,40334650.879478015,0.25118171636278142,0.21547244299566601,0.28598480152150196,10.357840485293178,0.90270235107497176,-6.6039550311100887
flow01,1,3,200,299,97,143020480.91590193,37947264.789951526,0.26992170260709708,0.24628206005776471,0.31751972470230722,-4.318446075870634,-5.0696738251411269,0.36407044198053268
flow01,1,4,300,399,98,151221237.26550961,39300893.718488425,0.26155674902801096,0.23693519444862429,0.28517029831699409,1.1679087864446802,-1.6833840248876009,-2.7462418528309271
flow01,1,5,400,499,92,137068180.49954879,40615880.999858536,0.29619943947583793,0.26417075917493893,0.3458187258879275,-8.3005705213533698,1.6062383557302304,10.134832143158363
flow03,3,1,0,99,94,167436299.16374156,40280597.286159813,0.2513165221714494,0.22578328231677577,0.28709657739770461,7.6984747832749489,2.6022536710065536,-1.9553935383012218
flow03,3,2,100,199,95,174563735.80570307,39051078.83807873,0.2197326851643456,0.19036452106124474,0.25036508483650011,12.282988770310737,-0.52956095445687101,-14.277006312328854
flow03,3,3,200,299,87,140757084.92775187,38627180.55649472,0.28023168730510101,0.24711621805414502,0.31925756147467588,-9.4621450822084547,-1.6093095666436679,9.3251062943754022
flow03,3,4,300,399,100,149644221.8607868,38014471.869162738,0.2589535484932643,0.22926399843872353,0.28409038166036177,-3.745755639427216,-3.1699937768965682,1.023993705284628
flow03,3,5,400,499,92,147150038.90474051,40496264.868876576,0.28001722413444674,0.24562252875763499,0.31270070569967068,-5.3500654667361234,3.1515995477153176,9.2414390647573637
flow05,5,1,0,99,94,171697456.47433603,39766354.105682813,0.23291985824530201,0.20839893537551299,0.27406297373558441,11.343666690007559,1.5063808300890789,-9.2445366873871073
flow05,5,2,100,199,100,171689712.88900584,40179698.236542478,0.2316480022940372,0.20985132196790238,0.2686367352970439,11.338645071157201,2.5614704329583424,-9.7401057513283078
flow05,5,3,200,299,99,143335159.01511896,39080566.877926961,0.27076875178009452,0.24398788714342221,0.32355562510439989,-7.048930729360392,-0.24413870016498268,5.5029987717932469
flow05,5,4,300,399,98,157638424.20135751,38556602.935600638,0.24825830054048456,0.21943515000020589,0.27698491286560278,2.2265589848007541,-1.5815930549108201,-3.2680285120857966
flow05,5,5,400,499,100,133755143.64624412,38826762.628891528,0.30411599455434662,0.26765478498472256,0.34442293781770073,-13.26145163689397,-0.89199167382252487,18.496500017136185
flow07,7,1,0,99,98,137328044.88413429,41796207.272772662,0.29733935016989321,0.26477286178136694,0.35234978637354497,11.398041863256934,3.9475214615023626,-7.9957235164005924
flow07,7,2,100,199,98,125517439.07138562,41005259.912169784,0.32049538999311472,0.27586989195929851,0.3665706355047777,1.8174906956563213,1.9804286771112531,-0.8306621515203142
flow07,7,3,200,299,100,115481915.17832333,37640681.727399766,0.32710286283832479,0.30386502705349661,0.36590999436708865,-6.323145921593194,-6.3873057631884347,1.2138562015373382
flow07,7,4,300,399,100,128008494.7852502,40114521.222645521,0.31541063066394903,0.27289171762067427,0.35257577184288724,3.8381903199094856,-0.23484598744496987,-2.4040146287683464
flow07,7,5,400,499,97,112554863.43641251,40928042.924629517,0.35840994827618922,0.32317992329725742,0.39990595560817532,-8.6975176878002234,1.7883893751441768,10.901056173135977
flow10,10,1,0,99,100,162287765.15417841,41126896.314534113,0.26140574663986593,0.22691998491898496,0.28987586917966512,5.1502964889337939,3.3996152173584648,0.74702645811385926
flow10,10,2,100,199,100,182604564.8329156,40463097.50328508,0.22265700070018274,0.20212735882446792,0.2589100548044509,18.314058451494081,1.7307185143355819,-14.186925769731459
flow10,10,3,200,299,98,145473447.06803942,39367608.498956494,0.27177115789703771,0.23790416153327792,0.30124951165338937,-5.7441201686440175,-1.0235165890411002,4.7419055898806457
flow10,10,4,300,399,100,149693363.5648281,38745192.89956893,0.25789679928540354,0.23199911047725288,0.28773733256448153,-3.0099308699355185,-2.5883692584415843,-0.60533865437612588
flow10,10,5,400,499,86,143447218.9358137,39852445.492856607,0.27988054346208013,0.24099480716974911,0.31651473699369748,-7.0569639844137457,0.19544139478069292,7.8673016172523678
