scan_id,flow_mm_s,window_um,n_valid,ri_q1,ri_median,ri_q3,tail_mean_median,source_mean_median,ri_delta_pct_vs_flow01
flow01,1,100,486,0.41653906429691839,0.4820855179508291,0.55068606540400156,72395639.028261155,149475499.77011237,0
flow01,1,200,486,0.3430941482826762,0.38844984551514228,0.4330124233278691,57735989.723156095,149475499.77011237,0
flow01,1,300,486,0.29350188432806723,0.33143218359168181,0.37112308908650188,49249705.73953104,149475499.77011237,0
flow01,1,500,486,0.23732681998190502,0.268942562232105,0.30105489209188557,39973806.389386863,149475499.77011237,0
flow03,3,100,468,0.39652270490755337,0.47068195903111443,0.53595553315732902,71070096.212861702,155467660.52228588,-2.3654639052811772
flow03,3,200,468,0.32428841666069841,0.37336217316576453,0.43077532041592825,56910875.552080728,155467660.52228588,-3.8840721713685453
flow03,3,300,468,0.27860188505670991,0.31709357014191797,0.36458973093145075,48456393.027518727,155467660.52228588,-4.3262586313671756
flow03,3,500,468,0.22534986429448922,0.25632875814502504,0.29443373259884803,39258979.062311128,155467660.52228588,-4.6901479566458102
flow05,5,100,491,0.39110577895406212,0.46479240330922622,0.53637383632291735,69996569.384510368,154204959.81361899,-3.5871466778570005
flow05,5,200,491,0.31729862296670069,0.3703086726001541,0.43359670934366856,56014685.492230721,154204959.81361899,-4.6701454832425755
flow05,5,300,491,0.27369154766887055,0.31468877559387143,0.3714957938101992,48104364.41014722,154204959.81361899,-5.0518352853861472
flow05,5,500,491,0.22326579958711318,0.25664555029926406,0.29907177718129108,39176211.170652874,154204959.81361899,-4.5723562052734046
flow07,7,100,493,0.49569416064950461,0.57331493600650796,0.66628571015174898,71417104.33005555,123276893.01101619,18.92390761777331
flow07,7,200,493,0.40630330628490346,0.46504271858914081,0.53158989143206237,58046859.441810563,123276893.01101619,19.717570738746208
flow07,7,300,493,0.34835121846620393,0.39801500860738426,0.45170774581313761,49489038.404421635,123276893.01101619,20.08942652887664
flow07,7,500,493,0.28261489166851234,0.32317992329725742,0.3689243645778808,40208950.329087123,123276893.01101619,20.166893858304231
flow10,10,100,484,0.4025051715059686,0.46592826556091776,0.53744967059790638,71810269.427337751,154338856.44940418,-3.3515324124628263
flow10,10,200,484,0.32258251246636199,0.37404227426518855,0.42591802345014534,57521284.150657237,154338856.44940418,-3.7089913707771331
flow10,10,300,484,0.27670637097916462,0.3193150635672396,0.36325361043922899,49328429.264857009,154338856.44940418,-3.6559877478194065
flow10,10,500,484,0.22359205648591532,0.25946745609265892,0.29367327453694053,39774709.246335611,154338856.44940418,-3.5230965529616665
