input_profile,output_profile,input_rows,output_valid_rows,unique_valid_frames,negative_T_rows,negative_RI_rows,nonfinite_RI_rows
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow01_frames_000_099.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow01_frames_000_099_relative_intensity.csv.gz,35100,35100,100,14743,14743,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow01_frames_100_199.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow01_frames_100_199_relative_intensity.csv.gz,35100,34749,99,14103,14103,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow01_frames_200_299.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow01_frames_200_299_relative_intensity.csv.gz,35100,34047,97,13739,13739,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow01_frames_300_399.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow01_frames_300_399_relative_intensity.csv.gz,35100,34398,98,13873,13873,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow01_frames_400_499.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow01_frames_400_499_relative_intensity.csv.gz,35100,32292,92,13358,13358,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow03_frames_000_099.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow03_frames_000_099_relative_intensity.csv.gz,35100,32994,94,13546,13546,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow03_frames_100_199.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow03_frames_100_199_relative_intensity.csv.gz,35100,33345,95,13972,13972,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow03_frames_200_299.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow03_frames_200_299_relative_intensity.csv.gz,35100,30537,87,12125,12125,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow03_frames_300_399.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow03_frames_300_399_relative_intensity.csv.gz,35100,35100,100,14201,14201,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow03_frames_400_499.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow03_frames_400_499_relative_intensity.csv.gz,35100,32292,92,13116,13116,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow05_frames_000_099.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow05_frames_000_099_relative_intensity.csv.gz,35100,32994,94,13408,13408,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow05_frames_100_199.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow05_frames_100_199_relative_intensity.csv.gz,35100,35100,100,14344,14344,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow05_frames_200_299.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow05_frames_200_299_relative_intensity.csv.gz,35100,34749,99,13734,13734,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow05_frames_300_399.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow05_frames_300_399_relative_intensity.csv.gz,35100,34398,98,13853,13853,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow05_frames_400_499.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow05_frames_400_499_relative_intensity.csv.gz,35100,35100,100,14300,14300,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow07_frames_000_099.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow07_frames_000_099_relative_intensity.csv.gz,35100,34398,98,14514,14514,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow07_frames_100_199.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow07_frames_100_199_relative_intensity.csv.gz,35100,34398,98,14111,14111,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow07_frames_200_299.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow07_frames_200_299_relative_intensity.csv.gz,35100,35100,100,14202,14202,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow07_frames_300_399.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow07_frames_300_399_relative_intensity.csv.gz,35100,35100,100,14420,14420,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow07_frames_400_499.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow07_frames_400_499_relative_intensity.csv.gz,35100,34047,97,13837,13837,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow10_frames_000_099.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow10_frames_000_099_relative_intensity.csv.gz,35100,35100,100,14555,14555,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow10_frames_100_199.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow10_frames_100_199_relative_intensity.csv.gz,35100,35100,100,14364,14364,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow10_frames_200_299.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow10_frames_200_299_relative_intensity.csv.gz,35100,34398,98,13816,13816,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow10_frames_300_399.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow10_frames_300_399_relative_intensity.csv.gz,35100,35100,100,14335,14335,0
/home/runner/work/OCTA-/OCTA-/results/formal_sv_d128_v21_full2500_run001/profiles/flow10_frames_400_499.csv.gz,/home/runner/work/OCTA-/OCTA-/analysis/formal_sv_d128_v21_run001/relative_tail_intensity_full2422/profiles/flow10_frames_400_499_relative_intensity.csv.gz,35100,30186,86,12154,12154,0
