scan_id,flow_mm_s,metric,metric_label,lag_frames,pair_count,acf
flow01,1.0,q_vessel,Q_V,0,486,1.0
flow01,1.0,q_vessel,Q_V,1,475,0.5805539096587747
flow01,1.0,q_vessel,Q_V,2,474,0.41641950937722527
flow01,1.0,q_vessel,Q_V,3,473,0.23655077300766075
flow01,1.0,q_vessel,Q_V,5,472,0.1170143528297723
flow01,1.0,q_vessel,Q_V,10,468,0.009823705390591884
flow01,1.0,q_vessel,Q_V,20,458,0.14010208055905862
flow01,1.0,q_vessel,Q_V,30,448,0.05884287130857565
flow01,1.0,q_vessel,Q_V,50,429,-0.019295562483324303
flow01,1.0,q_vessel,Q_V,75,405,-0.00759796299528083
flow01,1.0,q_vessel,Q_V,100,381,-0.06870420195392161
flow01,1.0,q_vessel,Q_V,150,334,-0.09347514991194704
flow01,1.0,q_vessel,Q_V,200,283,0.06717660279675594
flow01,1.0,source_mean,Sbar_V,0,486,1.0
flow01,1.0,source_mean,Sbar_V,1,475,0.416641384481989
flow01,1.0,source_mean,Sbar_V,2,474,0.2627070849194923
flow01,1.0,source_mean,Sbar_V,3,473,0.17385701265055484
flow01,1.0,source_mean,Sbar_V,5,472,0.08183320121419477
flow01,1.0,source_mean,Sbar_V,10,468,-0.02846507684159222
flow01,1.0,source_mean,Sbar_V,20,458,0.07909873470347034
flow01,1.0,source_mean,Sbar_V,30,448,0.062329236993573796
flow01,1.0,source_mean,Sbar_V,50,429,0.0037349608772488437
flow01,1.0,source_mean,Sbar_V,75,405,-0.013349627634842048
flow01,1.0,source_mean,Sbar_V,100,381,-0.02663716865939738
flow01,1.0,source_mean,Sbar_V,150,334,-0.017467365448410627
flow01,1.0,source_mean,Sbar_V,200,283,-0.0007757051381385321
flow01,1.0,q_tail,Q_T,0,486,1.0
flow01,1.0,q_tail,Q_T,1,475,0.4907788297929636
flow01,1.0,q_tail,Q_T,2,474,0.412631431032682
flow01,1.0,q_tail,Q_T,3,473,0.32632505022368574
flow01,1.0,q_tail,Q_T,5,472,0.16798213717762003
flow01,1.0,q_tail,Q_T,10,468,0.13428403804454828
flow01,1.0,q_tail,Q_T,20,458,0.07518411966641761
flow01,1.0,q_tail,Q_T,30,448,0.13257042478421452
flow01,1.0,q_tail,Q_T,50,429,-0.03155986150657011
flow01,1.0,q_tail,Q_T,75,405,-0.0630813728337797
flow01,1.0,q_tail,Q_T,100,381,-0.06199344219489214
flow01,1.0,q_tail,Q_T,150,334,-0.05650519914568591
flow01,1.0,q_tail,Q_T,200,283,-0.10846875107987299
flow01,1.0,ri_tail,RI_tail,0,486,1.0
flow01,1.0,ri_tail,RI_tail,1,475,0.39465650102433725
flow01,1.0,ri_tail,RI_tail,2,474,0.30448057569525483
flow01,1.0,ri_tail,RI_tail,3,473,0.30410206768120657
flow01,1.0,ri_tail,RI_tail,5,472,0.25300373101769214
flow01,1.0,ri_tail,RI_tail,10,468,0.12570115971672097
flow01,1.0,ri_tail,RI_tail,20,458,0.09223367275006733
flow01,1.0,ri_tail,RI_tail,30,448,0.07986185490297666
flow01,1.0,ri_tail,RI_tail,50,429,0.06279708070222288
flow01,1.0,ri_tail,RI_tail,75,405,0.0414582483511859
flow01,1.0,ri_tail,RI_tail,100,381,-0.020388926485664097
flow01,1.0,ri_tail,RI_tail,150,334,-0.030405487405223985
flow01,1.0,ri_tail,RI_tail,200,283,-0.07938971925871632
flow03,3.0,q_vessel,Q_V,0,468,1.0
flow03,3.0,q_vessel,Q_V,1,462,0.5363955419865367
flow03,3.0,q_vessel,Q_V,2,457,0.4270643858867025
flow03,3.0,q_vessel,Q_V,3,453,0.3291971498723018
flow03,3.0,q_vessel,Q_V,5,446,0.18460364117662773
flow03,3.0,q_vessel,Q_V,10,434,0.029552265610453748
flow03,3.0,q_vessel,Q_V,20,423,0.1615629777175498
flow03,3.0,q_vessel,Q_V,30,412,0.16784527174349512
flow03,3.0,q_vessel,Q_V,50,393,0.007181760526332456
flow03,3.0,q_vessel,Q_V,75,375,0.01808591556674636
