stride_frames,approx_positions_per_500,metric,metric_label,n_scans,n_phase_records,selected_n_min,selected_n_median,selected_n_max,error_pct_median,error_pct_min,error_pct_max,abs_error_pct_median,abs_error_pct_p90,abs_error_pct_p95,abs_error_pct_max,abs_error_median,abs_error_max,within_1pct_n,within_1pct_fraction,within_2pct_n,within_2pct_fraction,within_5pct_n,within_5pct_fraction,within_10pct_n,within_10pct_fraction,worst_scan_id,worst_phase,worst_n_selected
2,250.0,q_tail,Q_T,5,10,233,243.5,247,-0.005758773500368318,-1.5919753744978828,1.8809263294485887,0.5783003086516137,1.6208704699929533,1.7508983997207708,1.8809263294485887,7767025235.671265,25797655654.969727,6,0.6,10,1.0,10,1.0,10,1.0,flow10,0,242
2,250.0,q_vessel,Q_V,5,10,233,243.5,247,-0.03104681022548996,-1.101544752640262,0.87295741017761,0.4858323409423023,0.9821171901724418,1.0418309714063518,1.101544752640262,10189441586.64209,25755276782.478516,9,0.9,10,1.0,10,1.0,10,1.0,flow05,1,246
2,250.0,ri_tail,RI_tail,5,10,233,243.5,247,-0.03633277355373854,-2.276926405928991,2.4939078489630275,1.168495835152588,2.2986245502323945,2.3962661995977106,2.4939078489630275,0.0013759063711044767,0.0029187278970635444,3,0.3,8,0.8,10,1.0,10,1.0,flow10,0,242
2,250.0,source_mean,Sbar_V,5,10,233,243.5,247,-0.01598040500247718,-1.3845066319203998,1.6874541333441233,0.6915426031956915,1.6461535479805711,1.666803840662347,1.6874541333441233,888854.8610275909,2163122.9869441986,6,0.6,10,1.0,10,1.0,10,1.0,flow01,1,241
5,100.0,q_tail,Q_T,5,25,92,98.0,100,0.2240553736060099,-3.2467775220767785,4.348033428138254,0.8800128016670066,3.4728561956494977,3.971396454259093,4.348033428138254,12069726960.558838,57428147820.17944,14,0.56,21,0.84,25,1.0,25,1.0,flow05,1,98
5,100.0,q_vessel,Q_V,5,25,92,98.0,100,0.3144692781013708,-4.10899846676698,4.868621173709873,1.889464964950458,3.8039594164659882,4.359503505210166,4.868621173709873,42347967138.48291,101282135356.22217,8,0.32,13,0.52,25,1.0,25,1.0,flow07,0,100
5,100.0,ri_tail,RI_tail,5,25,92,98.0,100,0.3688163019013291,-3.5620160545702944,7.188196558630859,1.8513024458875593,3.756829322265979,4.751662427165152,7.188196558630859,0.0021672471611099003,0.008412656399463897,5,0.2,14,0.56,24,0.96,25,1.0,flow10,3,97
5,100.0,source_mean,Sbar_V,5,25,92,98.0,100,0.06540947431782494,-3.894915846824642,5.732319021120444,1.5555903473541408,3.8742507515949005,3.9688302293160493,5.732319021120444,1721144.4165486693,7531674.968260601,9,0.36,17,0.68,24,0.96,25,1.0,flow05,4,99
10,50.0,q_tail,Q_T,5,50,46,49.0,50,-0.05284309352169399,-4.377189154615355,6.56719425301943,1.5292008808707322,4.33285162787865,5.12701800613009,6.56719425301943,20907341772.80664,90071691435.33545,15,0.3,30,0.6,47,0.94,50,1.0,flow10,8,48
10,50.0,q_vessel,Q_V,5,50,46,49.0,50,-0.3968736501544864,-7.812884767744732,8.18899544216669,2.78891493318962,6.327933964593055,6.99968839181152,8.18899544216669,60664434012.09497,191316398965.79785,8,0.16,18,0.36,40,0.8,50,1.0,flow10,6,48
