scan_id,flow_mm_s,stride_frames,phase,n_selected,first_selected_frame,last_selected_frame,metric,metric_label,full_median,subsample_median,error,abs_error,error_pct,abs_error_pct
flow01,1.0,2,0,245,0,494,q_vessel,Q_V,2254206200871.9404,2256378294207.866,2172093335.9257812,2172093335.9257812,0.096357348989884,0.096357348989884
flow01,1.0,2,0,245,0,494,source_mean,Sbar_V,126523022.78553356,125495547.0806448,-1027475.704888761,1027475.704888761,-0.8120859605373267,0.8120859605373267
flow01,1.0,2,0,245,0,494,q_tail,Q_T,1363099623102.999,1371237560941.0337,8137937838.034668,8137937838.034668,0.59701709985872,0.59701709985872
flow01,1.0,2,0,245,0,494,ri_tail,RI_tail,0.1200366113631912,0.1217589033286793,0.001722291965488093,0.001722291965488093,1.4348055530133266,1.4348055530133266
flow01,1.0,2,1,241,1,495,q_vessel,Q_V,2254206200871.9404,2247784752396.518,-6421448475.422363,6421448475.422363,-0.28486517661687333,0.28486517661687333
flow01,1.0,2,1,241,1,495,source_mean,Sbar_V,126523022.78553356,128658040.76315998,2135017.977626413,2135017.977626413,1.6874541333441233,1.6874541333441233
flow01,1.0,2,1,241,1,495,q_tail,Q_T,1363099623102.999,1358070251319.729,-5029371783.27002,5029371783.27002,-0.3689658259769021,0.3689658259769021
flow01,1.0,2,1,241,1,495,ri_tail,RI_tail,0.1200366113631912,0.1193345179774629,-0.0007020933857282974,0.0007020933857282974,-0.5848993717458371,0.5848993717458371
flow01,1.0,5,0,99,0,495,q_vessel,Q_V,2254206200871.9404,2269006160885.1567,14799960013.216309,14799960013.216309,0.6565486337271007,0.6565486337271007
flow01,1.0,5,0,99,0,495,source_mean,Sbar_V,126523022.78553356,124554842.85590112,-1968179.9296324402,1968179.9296324402,-1.5555903473541408,1.5555903473541408
flow01,1.0,5,0,99,0,495,q_tail,Q_T,1363099623102.999,1346441352792.3342,-16658270310.664795,16658270310.664795,-1.2220875149787975,1.2220875149787975
flow01,1.0,5,0,99,0,495,ri_tail,RI_tail,0.1200366113631912,0.1184022712143066,-0.0016343401488845971,0.0016343401488845971,-1.3615347270505853,1.3615347270505853
