scope,scan_id,n_frames,n_paired,paired_fraction,mean_delta_px,median_delta_px,sd_delta_px,q25_delta_px,q75_delta_px,mean_abs_delta_px,median_abs_delta_px,p90_abs_delta_px,p95_abs_delta_px,p99_abs_delta_px,max_abs_delta_px,median_abs_delta_um,p95_abs_delta_um,max_abs_delta_um,fraction_abs_le_0p25px,fraction_abs_le_0p5px,fraction_abs_le_1px,fraction_abs_gt_1px,fraction_abs_gt_2px,n_x1_fallback,n_x4_jump_corrected
all_frames,ALL,2500,2453,0.9812,0.05150038402125403,0.031098722761441877,0.8255133034592489,-0.5070107737917624,0.601571806187394,0.6550767578623963,0.5608140934918993,1.3422975193709363,1.6389429900382937,2.1104793971513645,3.6333351885550655,7.122338987347121,20.814575973486328,46.14335689464933,0.2433754586220954,0.4516918059518956,0.783122706889523,0.21687729311047696,0.014675907052588666,0,9
assessable_only,ALL,2422,2422,1.0,0.056444247462475616,0.031176537202867394,0.8078998896469076,-0.5033083311135584,0.6004197188743063,0.6458349821389668,0.5577150275218514,1.304862741166221,1.5991176337728488,2.035223286814397,3.3342443470545504,7.082980849527512,20.308793948915177,42.344903207592786,0.2440132122213047,0.45375722543352603,0.7877786952931461,0.21222130470685385,0.011560693641618497,0,8
all_frames,flow01,500,498,0.996,0.02915784659345841,0.014641945676956425,0.7863865963849289,-0.4831701336254852,0.5347641285760005,0.613246383821605,0.5044974212688516,1.3153637602137738,1.5750497154828815,2.019735285072054,2.8426739484347934,6.407117250114414,20.003131386632596,36.101959145121874,0.2791164658634538,0.4979919678714859,0.8052208835341366,0.19477911646586346,0.012048192771084338,0,1
assessable_only,flow01,486,486,1.0,0.02305184781940003,0.014641945676956425,0.7751416544018447,-0.47983375735689293,0.5333331887551935,0.6044374274085352,0.49941670153116036,1.2675142990025279,1.5626578694303177,1.997682995739154,2.8426739484347934,6.342592109445736,19.845754941765033,36.101959145121874,0.28189300411522633,0.5020576131687243,0.8106995884773662,0.18930041152263374,0.0102880658436214,0,1
all_frames,flow03,500,476,0.952,-0.05706445268678251,-0.10198620708612793,0.8484600649447981,-0.5931302173490423,0.5320520948803278,0.6625010617676537,0.5668068991219286,1.2790334438052327,1.698977999805173,2.5513090054424126,3.6333351885550655,7.198447618848493,21.577020597525696,46.14335689464933,0.23949579831932774,0.4432773109243697,0.7752100840336135,0.22478991596638656,0.02100840336134454,0,0
assessable_only,flow03,468,468,1.0,-0.02740327669688731,-0.09458648115794688,0.8053543638431371,-0.5829226750511225,0.5332575147840828,0.6423854620078563,0.5648550004635808,1.2476754499750569,1.618442853671675,1.9938698149791318,2.903893302835428,7.1736585058874764,20.554224241630273,36.87944494600993,0.23931623931623933,0.4465811965811966,0.782051282051282,0.21794871794871795,0.010683760683760684,0,0
all_frames,flow05,500,494,0.988,0.06525410619032,0.06769663879939003,0.8200891058080828,-0.5182779384693106,0.5901091445355178,0.6541569195696008,0.5759615228762982,1.330906978859093,1.6699022483214803,2.0837122026316433,3.3342443470545504,7.314711340528987,21.207758553682797,42.344903207592786,0.242914979757085,0.44129554655870445,0.791497975708502,0.20850202429149797,0.016194331983805668,0,3
assessable_only,flow05,491,491,1.0,0.06749887381258972,0.06862424909925835,0.8091583255993561,-0.5156812051150723,0.589068502263558,0.6482271394280951,0.5758996877173388,1.305510295659758,1.6287891127392697,2.0637688430444374,3.3342443470545504,7.313926034010202,20.685621731788725,42.344903207592786,0.24439918533604887,0.4419551934826884,0.7942973523421588,0.20570264765784113,0.014256619144602852,0,3
all_frames,flow07,500,499,0.998,0.10258026483130189,0.06987919148858168,0.8657027036607842,-0.4891193102786673,0.7342203489725421,0.7028893979097334,0.6146667404151174,1.4131540434311147,1.658052267817578,2.1878762568235395,3.1520086781054317,7.806267603271991,21.057263801283238,40.03051021193898,0.21643286573146292,0.4188376753507014,0.7595190380761523,0.24048096192384769,0.014028056112224449,0,3
assessable_only,flow07,493,493,1.0,0.10395855235245377,0.06958729213445736,0.8464803182700319,-0.4880772808737106,0.7230795109875885,0.6914655263447814,0.6143749927801707,1.383425957279559,1.6244399439820199,2.1227135082417976,2.8162337678539586,7.802562408308168,20.63038728857165,35.76616885174527,0.21703853955375255,0.42190669371196754,0.7667342799188641,0.2332657200811359,0.012170385395537525,0,2
all_frames,flow10,500,486,0.972,0.1142992454128901,0.14743817648415813,0.79653906415272,-0.4472457136583685,0.6316416351352814,0.6425118408797449,0.5541236231281204,1.306389382388275,1.5488018624778874,2.007584486065919,2.680344841356032,7.037370013727128,19.669783653469167,34.0403794852216,0.23868312757201646,0.4567901234567901,0.7839506172839507,0.21604938271604937,0.0102880658436214,0,2
assessable_only,flow10,484,484,1.0,0.11143799474439983,0.14350794869071137,0.7960382416701115,-0.4504349224265667,0.6309948069157372,0.6418332868867375,0.5541236231281204,1.296884030094952,1.5491816321329452,2.009858137789805,2.680344841356032,7.037370013727128,19.674606728088403,34.0403794852216,0.23760330578512398,0.45661157024793386,0.7851239669421488,0.21487603305785125,0.010330578512396695,0,2
