scan_id,diameter_um,flow_mm_s,target_r_um,n_frames,selected_r_um_median,max_abs_sampling_error_um,RI_r_q1,RI_r_median,RI_r_q3,raw_row_signal_median
D235_F01_V01,235,1,0,448,2.8500000000000627,2.8500000000000627,0.30143775978025211,0.35302246121867359,0.41732523687717282,61989801.171053082
D235_F01_V01,235,1,50,448,49.750000000000064,0.24999999999993605,0.22850806195992629,0.27733897563959414,0.34247929864318416,49169467.03776627
D235_F01_V01,235,1,100,448,96.650000000000063,3.3499999999999375,0.18719724220986855,0.21595803804160027,0.26195225435982744,38826261.016934186
D235_F01_V01,235,1,200,448,197.15000000000006,2.8499999999999375,0.13788988583454656,0.16190415464522884,0.19124540402729925,28728906.70806326
D235_F01_V01,235,1,300,448,297.65000000000009,2.3499999999999091,0.11728248806630956,0.13915957855487715,0.16636461259619756,24764419.328972988
D235_F01_V01,235,1,400,448,398.15000000000009,1.8499999999999091,0.11284418842451845,0.13268241684900675,0.15785518252178279,23605477.799722679
D235_F01_V01,235,1,500,448,498.65000000000009,1.3499999999999091,0.10836052660442572,0.12929541274443679,0.15298711633625442,23148676.516975209
D235_F03_V01,235,3,0,448,2.8500000000000627,2.8500000000000627,0.29387315003282011,0.34468246862477459,0.40071713975896583,63651141.201891303
D235_F03_V01,235,3,50,448,49.750000000000064,0.24999999999993605,0.23294856823668894,0.27349736164503435,0.3198916396096973,49796703.290093049
D235_F03_V01,235,3,100,448,96.650000000000063,3.3499999999999375,0.1834467695577508,0.21788079762977175,0.25756358897144049,40000306.983426422
D235_F03_V01,235,3,200,448,197.15000000000006,2.8499999999999375,0.13488250914823699,0.16091550259817136,0.18779546603417227,29597507.887563314
D235_F03_V01,235,3,300,448,297.65000000000009,2.3499999999999091,0.11633694917155082,0.13775410332303806,0.16271429417187488,25356846.412895165
D235_F03_V01,235,3,400,448,398.15000000000009,1.8499999999999091,0.11222262861935439,0.13238093617752,0.1550339691173068,24084148.22057955
D235_F03_V01,235,3,500,448,498.65000000000009,1.3499999999999091,0.10764162591489654,0.12828068211508487,0.15074058429666307,23161269.972704746
