scan_id,diameter_um,flow_mm_s,target_r_um,n_frames,selected_r_um_median,max_abs_sampling_error_um,RI_r_q1,RI_r_median,RI_r_q3,raw_row_signal_median
D235_F01_V01,235,1,0,448,2.8500000000000627,2.8500000000000627,0.30143775978025211,0.35302246121867359,0.41732523687717282,61989801.171053082
D235_F01_V01,235,1,10,448,9.5500000000000629,0.44999999999993712,0.29053633977273285,0.34656484698221979,0.41321263546492837,61076550.066373348
D235_F01_V01,235,1,20,448,22.950000000000063,2.9500000000000632,0.26619590768132795,0.31888413961385009,0.39437144404084912,55942275.877288856
D235_F01_V01,235,1,30,448,29.650000000000063,0.34999999999993747,0.25185636777278025,0.30150223740665405,0.36461628192149731,53560752.041293658
D235_F01_V01,235,1,40,448,43.050000000000061,3.0500000000000611,0.23727716196728832,0.29249154920920006,0.36161409576740561,51492853.099003106
D235_F01_V01,235,1,50,448,49.750000000000064,0.24999999999993605,0.22850806195992629,0.27733897563959414,0.34247929864318416,49169467.03776627
D235_F01_V01,235,1,60,448,63.150000000000063,3.1500000000000625,0.21768921775528069,0.25865631195482691,0.30922373048540414,45819066.605616957
D235_F01_V01,235,1,70,448,69.850000000000065,0.14999999999993463,0.20955891644846583,0.25237780901387008,0.30180420664858454,44687910.191919513
D235_F01_V01,235,1,80,448,83.250000000000071,3.2500000000000711,0.19637730050352209,0.23781184696833946,0.27765390944801205,41051071.280012734
D235_F01_V01,235,1,90,448,89.95000000000006,0.049999999999940314,0.19189339422206347,0.22837173249553924,0.27445571268535474,40254703.176995546
D235_F01_V01,235,1,100,448,96.650000000000063,3.3499999999999375,0.18719724220986855,0.21595803804160027,0.26195225435982744,38826261.016934186
D235_F01_V01,235,1,110,448,110.05000000000007,0.050000000000068212,0.17891297405574957,0.20737192647064576,0.24701663540954416,37076823.386848047
D235_F01_V01,235,1,120,448,116.75000000000007,3.2499999999999289,0.16993130672499079,0.19905198982777628,0.23736721740767125,35529514.141427755
D235_F01_V01,235,1,130,448,130.15000000000006,0.15000000000006253,0.16265202154283429,0.19382897468070387,0.22635097658543429,34114222.628256768
D235_F01_V01,235,1,140,448,136.85000000000008,3.1499999999999204,0.1617002227607699,0.19228053117392935,0.2278484617409193,34022765.980231576
D235_F01_V01,235,1,150,448,150.25000000000006,0.25000000000005684,0.15199415829072055,0.1785445443814766,0.21309637606795417,31964138.505015884
D235_F01_V01,235,1,160,448,156.95000000000007,3.0499999999999261,0.15456341063054818,0.1788067360104959,0.21258283886835469,31866957.060358718
D235_F01_V01,235,1,170,448,170.35000000000008,0.35000000000007958,0.14685542887417863,0.17038990736229803,0.20668833116806964,30490157.779312871
D235_F01_V01,235,1,180,448,177.05000000000007,2.9499999999999318,0.14349221458775482,0.16788701895134917,0.20379964969829953,29851360.687721238
D235_F01_V01,235,1,190,448,190.45000000000007,0.4500000000000739,0.14036479193561407,0.16562812964953672,0.19558279715383819,29538783.464064501
D235_F01_V01,235,1,200,448,197.15000000000006,2.8499999999999375,0.13788988583454656,0.16190415464522884,0.19124540402729925,28728906.70806326
D235_F01_V01,235,1,210,448,210.55000000000007,0.55000000000006821,0.13285906137587,0.15863242177260767,0.18886087941421431,28235255.820688911
D235_F01_V01,235,1,220,448,217.25000000000006,2.7499999999999432,0.13104798771773732,0.15763265914852542,0.18511822970251657,27711670.224298175
D235_F01_V01,235,1,230,448,230.65000000000006,0.65000000000006253,0.12684808575112036,0.15013007360713521,0.17796466009079051,26613780.5933237
D235_F01_V01,235,1,240,448,237.35000000000008,2.6499999999999204,0.12537279465748075,0.15137606525861375,0.17883994416743892,26406794.421255581
D235_F01_V01,235,1,250,448,250.75000000000006,0.75000000000005684,0.12654408137123302,0.14855360216526137,0.17677559512229002,26333105.489505805
D235_F01_V01,235,1,260,448,257.45000000000005,2.5499999999999545,0.12232076007576022,0.14367179838747995,0.17342147338762509,25833624.132819168
D235_F01_V01,235,1,270,448,270.85000000000008,0.85000000000007958,0.12233155626801742,0.14003096639785206,0.16792634269225235,25508757.561088525
D235_F01_V01,235,1,280,448,277.55000000000007,2.4499999999999318,0.12176621273366636,0.14387006915293069,0.16757013141492663,25061578.002581365
D235_F01_V01,235,1,290,448,290.95000000000005,0.95000000000004547,0.11846967810635285,0.14001344300450838,0.16525699053862486,24701152.321897592
D235_F01_V01,235,1,300,448,297.65000000000009,2.3499999999999091,0.11728248806630956,0.13915957855487715,0.16636461259619756,24764419.328972988
D235_F01_V01,235,1,310,448,311.05000000000007,1.0500000000000682,0.11687802154002974,0.14130285413095833,0.16649574850577076,24309939.468943968
D235_F01_V01,235,1,320,448,317.75000000000006,2.2499999999999432,0.11835599543922751,0.13708929748947618,0.16512760718866423,24345499.695074424
D235_F01_V01,235,1,330,448,331.15000000000009,1.1500000000000909,0.11412221975689701,0.13801372952826815,0.16429190102221117,24354517.694349229
D235_F01_V01,235,1,340,448,337.85000000000008,2.1499999999999204,0.11359099629075588,0.13390608747727117,0.16033864374602086,23946701.117294874
