pair,support,flow_mm_s,metric,left_algorithm,right_algorithm,left_direction,right_direction,left_full_rank,right_full_rank,same_full_rank,same_adjacent_directions,left_pct_128_235,right_pct_128_235,same_direction_128_235,left_pct_235_285,right_pct_235_285,same_direction_235_285,left_pct_128_285,right_pct_128_285,same_direction_128_285
SV-A_vs_OMAG-A,native,1,normalized_AUC_um,SV-A,OMAG-A,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-74.27099525452145,-48.667259976404104,True,-31.775108101130677,-15.91123115272809,True,-82.44641432574231,-56.834930898587416,True
SV-A_vs_OMAG-A,common,1,normalized_AUC_um,SV-A,OMAG-A,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-74.27099525452145,-48.667259976404104,True,-31.775108101130677,-15.91123115272809,True,-82.44641432574231,-56.834930898587416,True
SV-A_vs_OMAG-A,native,1,raw_AUC_200,SV-A,OMAG-A,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-68.55979009402166,-37.90179376968641,True,-21.030394327528683,-4.448452105248412,True,-75.17179021465164,-40.66420273206029,True
SV-A_vs_OMAG-A,common,1,raw_AUC_200,SV-A,OMAG-A,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-68.55979009402166,-37.90179376968641,True,-21.030394327528683,-4.448452105248412,True,-75.17179021465164,-40.66420273206029,True
SV-A_vs_OMAG-A,native,1,vessel_core_P95,SV-A,OMAG-A,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,18.925608212931635,21.456126431219644,True,14.432511647201528,9.936958577755668,True,36.08956046976825,33.5251714048365,True
SV-A_vs_OMAG-A,common,1,vessel_core_P95,SV-A,OMAG-A,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,18.925608212931635,21.456126431219644,True,14.432511647201528,9.936958577755668,True,36.08956046976825,33.5251714048365,True
SV-A_vs_OMAG-A,native,3,normalized_AUC_um,SV-A,OMAG-A,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-74.40409084090967,-47.915976122189896,True,-24.438333678787693,-14.869208224192562,True,-80.65930452932756,-55.660458084119654,True
SV-A_vs_OMAG-A,common,3,normalized_AUC_um,SV-A,OMAG-A,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-74.40409084090967,-47.915976122189896,True,-24.438333678787693,-14.869208224192562,True,-80.65930452932756,-55.660458084119654,True
SV-A_vs_OMAG-A,native,3,raw_AUC_200,SV-A,OMAG-A,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-69.22479366421715,-37.31659049704323,True,-17.473009111490573,-5.212691289308726,True,-74.6021482713485,-40.58408312404557,True
SV-A_vs_OMAG-A,common,3,raw_AUC_200,SV-A,OMAG-A,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-69.22479366421715,-37.31659049704323,True,-17.473009111490573,-5.212691289308726,True,-74.6021482713485,-40.58408312404557,True
