pair,support,algorithm,flow_mm_s,metric,from_diameter_um,to_diameter_um,percent_change,reason
SV-A_vs_OMAG-A,native,SV-A,1,normalized_AUC_um,128,235,-74.27099525452145,ok
SV-A_vs_OMAG-A,native,OMAG-A,1,normalized_AUC_um,128,235,-48.667259976404104,ok
SV-A_vs_OMAG-A,native,SV-A,1,normalized_AUC_um,235,285,-31.775108101130677,ok
SV-A_vs_OMAG-A,native,OMAG-A,1,normalized_AUC_um,235,285,-15.91123115272809,ok
SV-A_vs_OMAG-A,native,SV-A,1,normalized_AUC_um,128,285,-82.44641432574231,ok
SV-A_vs_OMAG-A,native,OMAG-A,1,normalized_AUC_um,128,285,-56.834930898587416,ok
SV-A_vs_OMAG-A,common,SV-A,1,normalized_AUC_um,128,235,-74.27099525452145,ok
SV-A_vs_OMAG-A,common,OMAG-A,1,normalized_AUC_um,128,235,-48.667259976404104,ok
SV-A_vs_OMAG-A,common,SV-A,1,normalized_AUC_um,235,285,-31.775108101130677,ok
SV-A_vs_OMAG-A,common,OMAG-A,1,normalized_AUC_um,235,285,-15.91123115272809,ok
SV-A_vs_OMAG-A,common,SV-A,1,normalized_AUC_um,128,285,-82.44641432574231,ok
SV-A_vs_OMAG-A,common,OMAG-A,1,normalized_AUC_um,128,285,-56.834930898587416,ok
SV-A_vs_OMAG-A,native,SV-A,1,raw_AUC_200,128,235,-68.55979009402166,ok
SV-A_vs_OMAG-A,native,OMAG-A,1,raw_AUC_200,128,235,-37.90179376968641,ok
SV-A_vs_OMAG-A,native,SV-A,1,raw_AUC_200,235,285,-21.030394327528683,ok
SV-A_vs_OMAG-A,native,OMAG-A,1,raw_AUC_200,235,285,-4.448452105248412,ok
SV-A_vs_OMAG-A,native,SV-A,1,raw_AUC_200,128,285,-75.17179021465164,ok
SV-A_vs_OMAG-A,native,OMAG-A,1,raw_AUC_200,128,285,-40.66420273206029,ok
SV-A_vs_OMAG-A,common,SV-A,1,raw_AUC_200,128,235,-68.55979009402166,ok
SV-A_vs_OMAG-A,common,OMAG-A,1,raw_AUC_200,128,235,-37.90179376968641,ok
SV-A_vs_OMAG-A,common,SV-A,1,raw_AUC_200,235,285,-21.030394327528683,ok
SV-A_vs_OMAG-A,common,OMAG-A,1,raw_AUC_200,235,285,-4.448452105248412,ok
SV-A_vs_OMAG-A,common,SV-A,1,raw_AUC_200,128,285,-75.17179021465164,ok
SV-A_vs_OMAG-A,common,OMAG-A,1,raw_AUC_200,128,285,-40.66420273206029,ok
SV-A_vs_OMAG-A,native,SV-A,1,vessel_core_P95,128,235,18.925608212931635,ok
SV-A_vs_OMAG-A,native,OMAG-A,1,vessel_core_P95,128,235,21.456126431219644,ok
SV-A_vs_OMAG-A,native,SV-A,1,vessel_core_P95,235,285,14.432511647201528,ok
SV-A_vs_OMAG-A,native,OMAG-A,1,vessel_core_P95,235,285,9.936958577755668,ok
SV-A_vs_OMAG-A,native,SV-A,1,vessel_core_P95,128,285,36.08956046976825,ok
SV-A_vs_OMAG-A,native,OMAG-A,1,vessel_core_P95,128,285,33.5251714048365,ok
SV-A_vs_OMAG-A,common,SV-A,1,vessel_core_P95,128,235,18.925608212931635,ok
SV-A_vs_OMAG-A,common,OMAG-A,1,vessel_core_P95,128,235,21.456126431219644,ok
SV-A_vs_OMAG-A,common,SV-A,1,vessel_core_P95,235,285,14.432511647201528,ok
SV-A_vs_OMAG-A,common,OMAG-A,1,vessel_core_P95,235,285,9.936958577755668,ok
SV-A_vs_OMAG-A,common,SV-A,1,vessel_core_P95,128,285,36.08956046976825,ok
SV-A_vs_OMAG-A,common,OMAG-A,1,vessel_core_P95,128,285,33.5251714048365,ok
SV-A_vs_OMAG-A,native,SV-A,3,normalized_AUC_um,128,235,-74.40409084090967,ok
