pair,left_algorithm,right_algorithm,scan_id,diameter_um,flow_mm_s,metric,n_left_native,n_right_native,n_common,n_left_only,n_right_only,left_native_median,right_native_median,left_common_median,right_common_median,frame_support_sha256
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F01_V01,128,1,raw_AUC_200,486,500,486,0,14,715951.2393187582,725122.4918386986,715951.2393187582,727571.2746305349,9aef21cfa0cd8d6ff3ffabca3e4c0ef0c99b7912584ac84f014b29e1a071b24b
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F01_V01,128,1,vessel_core_P95,486,500,486,0,14,16833.167814263456,17396.65839800629,16833.167814263456,17523.77435217079,9aef21cfa0cd8d6ff3ffabca3e4c0ef0c99b7912584ac84f014b29e1a071b24b
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F01_V01,128,1,normalized_AUC_um,486,500,486,0,14,43.04282081051801,42.21733660887141,43.04282081051801,42.06693100519772,9aef21cfa0cd8d6ff3ffabca3e4c0ef0c99b7912584ac84f014b29e1a071b24b
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F03_V01,128,3,raw_AUC_200,468,500,468,0,32,713691.9652699651,739838.3034210675,713691.9652699651,739838.3034210675,f43c0b23e075422c9fa44f52895c069e9a9db0268d9f0a08059d3eecfefd1f29
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F03_V01,128,3,vessel_core_P95,468,500,468,0,32,17155.840110808807,17406.089694388593,17155.840110808807,17427.341716735693,f43c0b23e075422c9fa44f52895c069e9a9db0268d9f0a08059d3eecfefd1f29
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F03_V01,128,3,normalized_AUC_um,468,500,468,0,32,41.5302582941446,41.63258384011205,41.5302582941446,41.56549465897038,f43c0b23e075422c9fa44f52895c069e9a9db0268d9f0a08059d3eecfefd1f29
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F05_V01,128,5,raw_AUC_200,491,500,491,0,9,700471.4454915882,712836.826376664,700471.4454915882,711427.5076420297,ca3c0fe9fc14de17ffa305295ff381ee65a39fa1bc5914d206ab499b32be262b
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F05_V01,128,5,vessel_core_P95,491,500,491,0,9,17195.8045948887,17778.85675394835,17195.8045948887,17763.413033867582,ca3c0fe9fc14de17ffa305295ff381ee65a39fa1bc5914d206ab499b32be262b
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F05_V01,128,5,normalized_AUC_um,491,500,491,0,9,40.51428426820555,40.27492472646715,40.51428426820555,40.20778103288204,ca3c0fe9fc14de17ffa305295ff381ee65a39fa1bc5914d206ab499b32be262b
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F07_V01,128,7,raw_AUC_200,493,500,493,0,7,731181.2636857165,759880.8689109096,731181.2636857165,759679.5169434209,71610da9cc98e2a4d7079dd017a670f789564eae4766815f4c6e491807527d2d
