pair,support,flow_mm_s,metric,left_algorithm,right_algorithm,left_direction,right_direction,left_full_rank,right_full_rank,same_full_rank,same_adjacent_directions,left_pct_128_235,right_pct_128_235,same_direction_128_235,left_pct_235_285,right_pct_235_285,same_direction_235_285,left_pct_128_285,right_pct_128_285,same_direction_128_285
OMAG-A_vs_OMAG-B,native,1,normalized_AUC_um,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-48.667259976404104,-48.612862300600916,True,-15.91123115272809,-13.865404054409266,True,-56.834930898587416,-55.73789657461827,True
OMAG-A_vs_OMAG-B,common,1,normalized_AUC_um,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-48.667259976404104,-48.09750723606311,True,-15.91123115272809,-13.49504835561427,True,-56.834930898587416,-55.10177373232558,True
OMAG-A_vs_OMAG-B,native,1,raw_AUC_200,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-37.90179376968641,-39.46527710626329,True,-4.448452105248412,-1.4052490823710106,True,-40.66420273206029,-40.315940744243356,True
OMAG-A_vs_OMAG-B,common,1,raw_AUC_200,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-37.90179376968641,-39.538195480164596,True,-4.448452105248412,-1.6288728936371897,True,-40.66420273206029,-40.5230414249921,True
OMAG-A_vs_OMAG-B,native,1,vessel_core_P95,OMAG-A,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,21.456126431219644,18.228919129018305,True,9.936958577755668,11.607164702340663,True,33.5251714048365,31.951944498120604,True
OMAG-A_vs_OMAG-B,common,1,vessel_core_P95,OMAG-A,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,21.456126431219644,17.622957502658103,True,9.936958577755668,10.486544341751454,True,33.5251714048365,29.957541097253813,True
OMAG-A_vs_OMAG-B,native,3,normalized_AUC_um,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-47.915976122189896,-48.541656505076,True,-14.869208224192562,-15.541921146106862,True,-55.660458084119654,-56.539271674149894,True
OMAG-A_vs_OMAG-B,common,3,normalized_AUC_um,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-47.915976122189896,-48.3371931970626,True,-14.869208224192562,-15.400429299025047,True,-55.660458084119654,-56.29348723264087,True
OMAG-A_vs_OMAG-B,native,3,raw_AUC_200,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-37.31659049704323,-40.24352584494325,True,-5.212691289308726,-4.018157669458836,True,-40.58408312404557,-42.644635194202856,True
OMAG-A_vs_OMAG-B,common,3,raw_AUC_200,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-37.31659049704323,-40.04098659977213,True,-5.212691289308726,-4.809341350709798,True,-40.58408312404557,-42.92462022470691,True
