scan_id,diameter_um,flow_mm_s,raw_path,raw_bytes,raw_sha256,expected_raw_sha256,source_provenance,retained_sv_mapping,n_retained_frames,status
D128_F01_V01,128,1,D:\OCTA原始数据\128\1.oct,1536021062,ac8af862695d65c416ffd5503c04c2b9eb868fc822871d1057151b56235dcbd0,ac8af862695d65c416ffd5503c04c2b9eb868fc822871d1057151b56235dcbd0,data/diameter_stage_v1/volume_manifest.csv; retained export_metadata; frozen array_identity_on_read,../sv_senior_metric_transfer_v1/validation/array_identity_on_read.csv.gz#D128_F01_V01,500,PASS
D128_F03_V01,128,3,D:\OCTA原始数据\128\3.oct,1536021062,e989a8257a7fafda8d6e9ad2b1fef0c94807ae323683bc6e918c88bc2cce38f3,e989a8257a7fafda8d6e9ad2b1fef0c94807ae323683bc6e918c88bc2cce38f3,data/diameter_stage_v1/volume_manifest.csv; retained export_metadata; frozen array_identity_on_read,../sv_senior_metric_transfer_v1/validation/array_identity_on_read.csv.gz#D128_F03_V01,500,PASS
D128_F05_V01,128,5,D:\OCTA原始数据\128\5.oct,1536021062,e4739d3b26e250fa1159b0fa28b7a9a962626f0cc9239b7cd8bd74aa662ba0d2,e4739d3b26e250fa1159b0fa28b7a9a962626f0cc9239b7cd8bd74aa662ba0d2,data/diameter_stage_v1/volume_manifest.csv; retained export_metadata; frozen array_identity_on_read,../sv_senior_metric_transfer_v1/validation/array_identity_on_read.csv.gz#D128_F05_V01,500,PASS
D128_F07_V01,128,7,D:\OCTA原始数据\128\7.oct,1536021062,96b8d8f7b1ec9341013d635a98e75554e7e5595ff5194d5f996808fa1207bdd4,96b8d8f7b1ec9341013d635a98e75554e7e5595ff5194d5f996808fa1207bdd4,data/diameter_stage_v1/volume_manifest.csv; retained export_metadata; frozen array_identity_on_read,../sv_senior_metric_transfer_v1/validation/array_identity_on_read.csv.gz#D128_F07_V01,500,PASS
D128_F10_V01,128,10,D:\OCTA原始数据\128\10.oct,1536021062,f7e0c352514c236a4f5ccf4a811e421222a108ecbaeaf400fc5b0ea57a4e3fa5,f7e0c352514c236a4f5ccf4a811e421222a108ecbaeaf400fc5b0ea57a4e3fa5,data/diameter_stage_v1/volume_manifest.csv; retained export_metadata; frozen array_identity_on_read,../sv_senior_metric_transfer_v1/validation/array_identity_on_read.csv.gz#D128_F10_V01,500,PASS
D235_F01_V01,235,1,D:\OCTA原始数据\235\1.oct,1536021062,08e9734543e59ba1a3782dc120cdee68086535efb15168a22cb6646f8200186a,08e9734543e59ba1a3782dc120cdee68086535efb15168a22cb6646f8200186a,data/diameter_stage_v1/volume_manifest.csv; retained export_metadata; frozen array_identity_on_read,../sv_senior_metric_transfer_v1/validation/array_identity_on_read.csv.gz#D235_F01_V01,500,PASS
D235_F03_V01,235,3,D:\OCTA原始数据\235\3.oct,1536021062,7b69d50a0cde64fde1ae87f8af41db49ed6ba3dd4f359775dab2fb70f779d6d9,7b69d50a0cde64fde1ae87f8af41db49ed6ba3dd4f359775dab2fb70f779d6d9,data/diameter_stage_v1/volume_manifest.csv; retained export_metadata; frozen array_identity_on_read,../sv_senior_metric_transfer_v1/validation/array_identity_on_read.csv.gz#D235_F03_V01,500,PASS
D235_F05_V01,235,5,D:\OCTA原始数据\235\5.oct,1536021062,5368ef2787df07363b5ff0ea91e29ab5b996fb49b173a09484dae663f89374bc,5368ef2787df07363b5ff0ea91e29ab5b996fb49b173a09484dae663f89374bc,data/diameter_stage_v1/volume_manifest.csv; retained export_metadata; frozen array_identity_on_read,../sv_senior_metric_transfer_v1/validation/array_identity_on_read.csv.gz#D235_F05_V01,500,PASS
D235_F07_V01,235,7,D:\OCTA原始数据\235\7.oct,1536021062,58e51eb1999f3b8acc17aeddf7b5771d69655376158cbd8fa5243a5465ceed33,58e51eb1999f3b8acc17aeddf7b5771d69655376158cbd8fa5243a5465ceed33,data/diameter_stage_v1/volume_manifest.csv; retained export_metadata; frozen array_identity_on_read,../sv_senior_metric_transfer_v1/validation/array_identity_on_read.csv.gz#D235_F07_V01,500,PASS
D235_F10_V01,235,10,D:\OCTA原始数据\235\10.oct,1536021062,d586fceb7bb58c1bc5644fbae9f8e5575acd82dd640602400c561482c260efd4,d586fceb7bb58c1bc5644fbae9f8e5575acd82dd640602400c561482c260efd4,data/diameter_stage_v1/volume_manifest.csv; retained export_metadata; frozen array_identity_on_read,../sv_senior_metric_transfer_v1/validation/array_identity_on_read.csv.gz#D235_F10_V01,500,PASS
