flow_mm_s,metric,from_diameter_um,to_diameter_um,from_value,to_value,absolute_difference,percent_difference,reason
1,raw_AUC_200,128,235,715951.2393187582,444592.87710064853,-271358.3622181097,-37.90179376968641,ok
1,raw_AUC_200,235,285,444592.87710064853,424815.37589948025,-19777.501201168285,-4.448452105248412,ok
1,raw_AUC_200,128,285,715951.2393187582,424815.37589948025,-291135.863419278,-40.66420273206029,ok
1,vessel_core_P95,128,235,16833.167814263456,20444.913582871195,3611.7457686077396,21.456126431219644,ok
1,vessel_core_P95,235,285,20444.913582871195,22476.516176859048,2031.6025939878527,9.936958577755668,ok
1,vessel_core_P95,128,285,16833.167814263456,22476.516176859048,5643.348362595592,33.5251714048365,ok
1,normalized_AUC_um,128,235,43.04282081051801,22.095059305485442,-20.947761505032567,-48.667259976404104,ok
1,normalized_AUC_um,235,285,22.095059305485442,18.579463346057295,-3.515595959428147,-15.91123115272809,ok
1,normalized_AUC_um,128,285,43.04282081051801,18.579463346057295,-24.463357464460714,-56.834930898587416,ok
3,raw_AUC_200,128,235,713691.9652699651,447366.45717987226,-266325.50809009286,-37.31659049704323,ok
3,raw_AUC_200,235,285,447366.45717987226,424046.624835168,-23319.83234470425,-5.212691289308726,ok
3,raw_AUC_200,128,285,713691.9652699651,424046.624835168,-289645.3404347971,-40.58408312404557,ok
3,vessel_core_P95,128,235,17155.840110808807,21152.644214812735,3996.804104003928,23.297046825971496,ok
3,vessel_core_P95,235,285,21152.644214812735,22827.499016982027,1674.8548021692914,7.917945317665898,ok
3,vessel_core_P95,128,285,17155.840110808807,22827.499016982027,5671.658906173219,33.059639571948836,ok
3,normalized_AUC_um,128,235,41.5302582941446,21.630629646438486,-19.899628647706116,-47.915976122189896,ok
3,normalized_AUC_um,235,285,21.630629646438486,18.41432628410562,-3.216303362332866,-14.869208224192562,ok
3,normalized_AUC_um,128,285,41.5302582941446,18.41432628410562,-23.115932010038982,-55.660458084119654,ok
5,raw_AUC_200,128,235,700471.4454915882,440311.8182915665,-260159.6272000217,-37.14064704199936,ok
5,raw_AUC_200,235,285,440311.8182915665,417862.2520488761,-22449.56624269043,-5.098560908448007,ok
5,raw_AUC_200,128,285,700471.4454915882,417862.2520488761,-282609.19344271213,-40.34556943921933,ok
5,vessel_core_P95,128,235,17195.8045948887,21252.718197128408,4056.913602239707,23.592461637099486,ok
5,vessel_core_P95,235,285,21252.718197128408,23008.53304357243,1755.8148464440237,8.261601316867145,ok
5,vessel_core_P95,128,285,17195.8045948887,23008.53304357243,5812.728448683731,33.803178075258614,ok
5,normalized_AUC_um,128,235,40.51428426820555,20.578924203275257,-19.935360064930293,-49.20575650049184,ok
5,normalized_AUC_um,235,285,20.578924203275257,18.040066267058595,-2.5388579362166617,-12.337175214497302,ok
5,normalized_AUC_um,128,285,40.51428426820555,18.040066267058595,-22.474218001146955,-55.47233131990456,ok
7,raw_AUC_200,128,235,731181.2636857165,444316.2069133278,-286865.05677238875,-39.23309732067914,ok
7,raw_AUC_200,235,285,444316.2069133278,397391.8836259372,-46924.32328739058,-10.561019957695141,ok
7,raw_AUC_200,128,285,731181.2636857165,397391.8836259372,-333789.38005977933,-45.6507020403154,ok
7,vessel_core_P95,128,235,12954.99718536031,21175.168896327963,8220.171710967654,63.45174447630752,ok
7,vessel_core_P95,235,285,21175.168896327963,22123.815447266294,948.6465509383306,4.479995203735247,ok
7,vessel_core_P95,128,285,12954.99718536031,22123.815447266294,9168.818261905984,70.77437478926768,ok
7,normalized_AUC_um,128,235,56.71637627410994,21.058865175705016,-35.657511098404925,-62.86986835349347,ok
7,normalized_AUC_um,235,285,21.058865175705016,17.530284426816372,-3.5285807488886434,-16.755797235263472,ok
7,normalized_AUC_um,128,285,56.71637627410994,17.530284426816372,-39.18609184729357,-69.0913179253685,ok
10,raw_AUC_200,128,235,751304.3358632673,441411.1232570143,-309893.212606253,-41.247361130982696,ok
10,raw_AUC_200,235,285,441411.1232570143,416670.8516034995,-24740.27165351482,-5.6048138232143385,ok
10,raw_AUC_200,128,285,751304.3358632673,416670.8516034995,-334633.4842597678,-44.54033715581657,ok
10,vessel_core_P95,128,235,16848.491905660856,22053.649743476773,5205.157837815917,30.893909478432654,ok
10,vessel_core_P95,235,285,22053.649743476773,22568.585053670286,514.9353101935121,2.3349210501804776,ok
10,vessel_core_P95,128,285,16848.491905660856,22568.585053670286,5720.09314800943,33.95017892424876,ok
10,normalized_AUC_um,128,235,43.91869734394709,20.127366264266357,-23.79133107968073,-54.171304065236974,ok
10,normalized_AUC_um,235,285,20.127366264266357,18.4687252230806,-1.6586410411857564,-8.240725683670139,ok
10,normalized_AUC_um,128,285,43.91869734394709,18.4687252230806,-25.449972120866487,-57.94792118162408,ok
