flow_mm_s,metric,D128,D235,D285,evaluable,target_shape_met,direction,reason,full_rank_ascending
1,raw_AUC_200,715951.2393187582,444592.87710064853,424815.37589948025,True,False,D128>D235>D285,ok,D285 < D235 < D128
1,vessel_core_P95,16833.167814263456,20444.913582871195,22476.516176859048,True,True,D128<D235<D285,ok,D128 < D235 < D285
1,normalized_AUC_um,43.04282081051801,22.095059305485442,18.579463346057295,True,True,D128>D235>D285,ok,D285 < D235 < D128
3,raw_AUC_200,713691.9652699651,447366.45717987226,424046.624835168,True,False,D128>D235>D285,ok,D285 < D235 < D128
3,vessel_core_P95,17155.840110808807,21152.644214812735,22827.499016982027,True,True,D128<D235<D285,ok,D128 < D235 < D285
3,normalized_AUC_um,41.5302582941446,21.630629646438486,18.41432628410562,True,True,D128>D235>D285,ok,D285 < D235 < D128
5,raw_AUC_200,700471.4454915882,440311.8182915665,417862.2520488761,True,False,D128>D235>D285,ok,D285 < D235 < D128
5,vessel_core_P95,17195.8045948887,21252.718197128408,23008.53304357243,True,True,D128<D235<D285,ok,D128 < D235 < D285
5,normalized_AUC_um,40.51428426820555,20.578924203275257,18.040066267058595,True,True,D128>D235>D285,ok,D285 < D235 < D128
7,raw_AUC_200,731181.2636857165,444316.2069133278,397391.8836259372,True,False,D128>D235>D285,ok,D285 < D235 < D128
7,vessel_core_P95,12954.99718536031,21175.168896327963,22123.815447266294,True,True,D128<D235<D285,ok,D128 < D235 < D285
7,normalized_AUC_um,56.71637627410994,21.058865175705016,17.530284426816372,True,True,D128>D235>D285,ok,D285 < D235 < D128
10,raw_AUC_200,751304.3358632673,441411.1232570143,416670.8516034995,True,False,D128>D235>D285,ok,D285 < D235 < D128
10,vessel_core_P95,16848.491905660856,22053.649743476773,22568.585053670286,True,True,D128<D235<D285,ok,D128 < D235 < D285
10,normalized_AUC_um,43.91869734394709,20.127366264266357,18.4687252230806,True,True,D128>D235>D285,ok,D285 < D235 < D128
