scan_id,diameter_um,flow_mm_s,n_nominal,n_geometry_valid,n_metric_assessable,n_primary_eligible,n_auc_defined,n_denominator_defined,n_normalized_defined,n_denominator_pooled,n_auc_defined_all_positions,n_denominator_defined_all_positions,n_normalized_defined_all_positions,median_raw_AUC_200,min_raw_AUC_200,max_raw_AUC_200,n_pooled_raw_AUC_200,median_vessel_core_P95,min_vessel_core_P95,max_vessel_core_P95,n_pooled_vessel_core_P95,median_normalized_AUC_um,min_normalized_AUC_um,max_normalized_AUC_um,n_pooled_normalized_AUC_um
D128_F01_V01,128,1,500,486,486,486,486,486,486,486,486,486,486,715951.2393187582,255487.21920896013,1282070.1065040617,486,16833.167814263456,5823.099373656345,45225.31860272432,486,43.04282081051801,20.009359125166938,93.04245708201834,486
D128_F03_V01,128,3,500,468,468,468,468,468,468,468,468,468,468,713691.9652699651,314640.4612709295,1249306.3778211558,468,17155.840110808807,6466.210826028887,39908.5640934618,468,41.5302582941446,14.839394210472848,87.23955885312189,468
D128_F05_V01,128,5,500,491,491,491,491,491,491,491,491,491,491,700471.4454915882,302220.99419053935,1321257.6489031196,491,17195.8045948887,4792.3143787293975,38120.42104687749,491,40.51428426820555,17.618016283548528,110.32049748794476,491
D128_F07_V01,128,7,500,493,493,493,493,493,493,493,493,493,493,731181.2636857165,296520.3526205861,1337470.6125259257,493,12954.99718536031,3158.682463291703,26326.14730592007,493,56.71637627410994,24.54753014516598,194.52250251177574,493
D128_F10_V01,128,10,500,484,484,484,484,484,484,484,484,484,484,751304.3358632673,348417.6016924649,1220960.9562220434,484,16848.491905660856,4468.404925320522,34743.966564373055,484,43.91869734394709,14.943877015119401,173.90482390609057,484
D235_F01_V01,235,1,500,448,448,448,448,448,448,448,448,448,448,444592.87710064853,184886.7719184482,1310980.0046263293,448,20444.913582871195,2195.9078943473687,32290.406366918847,448,22.095059305485442,10.530205326202275,494.1939568485124,448
D235_F03_V01,235,3,500,448,448,448,448,448,448,448,448,448,448,447366.45717987226,209303.95296860574,1027209.0047028478,448,21152.644214812735,12543.359520745835,35505.969583145474,448,21.630629646438486,11.50615152369938,48.10015445005771,448
D235_F05_V01,235,5,500,424,424,424,424,424,424,424,424,424,424,440311.8182915665,184373.98239680944,871764.6856581414,424,21252.718197128408,9140.935328566065,32921.85843365161,424,20.578924203275257,10.847253431348312,37.48048870031094,424
D235_F07_V01,235,7,500,444,444,444,444,444,444,444,444,444,444,444316.2069133278,169130.9246458866,934963.5675437192,444,21175.168896327963,9594.047219221722,34452.386811141645,444,21.058865175705016,10.014386518948935,40.438739572893645,444
D235_F10_V01,235,10,500,461,461,461,461,461,461,461,461,461,461,441411.1232570143,191558.93565175406,1053521.188117743,461,22053.649743476773,11318.415639683464,33784.62511665342,461,20.127366264266357,7.917764925849515,47.198870401730204,461
D285_F01_V01,285,1,500,453,453,453,453,453,453,453,453,453,453,424815.37589948025,223336.775373841,770730.0458768029,453,22476.516176859048,13077.313284288486,36268.6418371102,453,18.579463346057295,9.80380328954005,29.725181112006677,453
D285_F03_V01,285,3,500,474,474,474,474,474,474,474,474,474,474,424046.624835168,251934.81264488772,1025324.2354449126,474,22827.499016982027,5247.117236942692,43447.88262347492,474,18.41432628410562,9.746953331749696,195.40715199310705,474
D285_F05_V01,285,5,500,492,492,492,492,492,492,492,492,492,492,417862.2520488761,242490.84777563778,615318.6103387579,492,23008.53304357243,14823.179888168741,37717.73348599334,492,18.040066267058595,10.300341826922123,35.88224807584693,492
D285_F07_V01,285,7,500,458,458,458,458,458,458,458,458,458,458,397391.8836259372,170813.89515579405,679988.2703171782,458,22123.815447266294,14922.397375761608,35204.78190337409,458,17.530284426816372,8.930992968607848,30.312004050151998,458
D285_F10_V01,285,10,500,494,494,494,494,494,494,494,494,494,494,416670.8516034995,258742.54439274332,811017.1122031283,494,22568.585053670286,15121.045437986939,38678.83417577226,494,18.4687252230806,10.00092316987462,30.159531933890264,494
