flow_mm_s,metric,from_diameter_um,to_diameter_um,from_value,to_value,absolute_difference,percent_difference,reason
1,raw_AUC_200,128,235,725122.4918386986,438950.89107471483,-286171.6007639838,-39.46527710626329,ok
1,raw_AUC_200,235,285,438950.89107471483,432782.537705828,-6168.353368886805,-1.4052490823710106,ok
1,raw_AUC_200,128,285,725122.4918386986,432782.537705828,-292339.9541328706,-40.315940744243356,ok
1,vessel_core_P95,128,235,17396.65839800629,20567.881188530428,3171.222790524138,18.228919129018305,ok
1,vessel_core_P95,235,285,20567.881188530428,22955.229033864896,2387.3478453344687,11.607164702340663,ok
1,vessel_core_P95,128,285,17396.65839800629,22955.229033864896,5558.570635858607,31.951944498120604,ok
1,normalized_AUC_um,128,235,42.21733660887141,21.694280896219574,-20.52305571265184,-48.612862300600916,ok
1,normalized_AUC_um,235,285,21.694280896219574,18.68628119326021,-3.0079997029593635,-13.865404054409266,ok
1,normalized_AUC_um,128,285,42.21733660887141,18.68628119326021,-23.531055415611203,-55.73789657461827,ok
3,raw_AUC_200,128,235,739838.3034210675,442101.28457302053,-297737.018848047,-40.24352584494325,ok
3,raw_AUC_200,235,285,442101.28457302053,424336.9579001737,-17764.32667284686,-4.018157669458836,ok
3,raw_AUC_200,128,285,739838.3034210675,424336.9579001737,-315501.34552089387,-42.644635194202856,ok
3,vessel_core_P95,128,235,17406.089694388593,21036.247827472893,3630.1581330843,20.85567865512377,ok
3,vessel_core_P95,235,285,21036.247827472893,23089.74615585751,2053.498328384616,9.761713900816432,ok
3,vessel_core_P95,128,285,17406.089694388593,23089.74615585751,5683.656461468916,32.653264238327026,ok
3,normalized_AUC_um,128,235,41.63258384011205,21.42343799825708,-20.20914584185497,-48.541656505076,ok
3,normalized_AUC_um,235,285,21.42343799825708,18.09382415778287,-3.3296138404742095,-15.541921146106862,ok
3,normalized_AUC_um,128,285,41.63258384011205,18.09382415778287,-23.53875968232918,-56.539271674149894,ok
5,raw_AUC_200,128,235,712836.826376664,434875.09375927143,-277961.73261739255,-38.99373914648416,ok
5,raw_AUC_200,235,285,434875.09375927143,422893.6348709355,-11981.45888833591,-2.7551494809147066,ok
5,raw_AUC_200,128,285,712836.826376664,422893.6348709355,-289943.19150572846,-40.674552825715274,ok
5,vessel_core_P95,128,235,17778.85675394835,21313.059145832623,3534.202391884275,19.87868196924077,ok
5,vessel_core_P95,235,285,21313.059145832623,23022.139495914686,1709.080350082062,8.01893495620614,ok
5,vessel_core_P95,128,285,17778.85675394835,23022.139495914686,5243.282741966337,29.491675502711406,ok
5,normalized_AUC_um,128,235,40.27492472646715,20.585198743293375,-19.689725983173773,-48.888299896025465,ok
5,normalized_AUC_um,235,285,20.585198743293375,18.28909267194607,-2.2961060713473067,-11.154160326459683,ok
5,normalized_AUC_um,128,285,40.27492472646715,18.28909267194607,-21.98583205452108,-54.589380871202046,ok
7,raw_AUC_200,128,235,759880.8689109096,441035.7192060107,-318845.14970489894,-41.95988644402642,ok
7,raw_AUC_200,235,285,441035.7192060107,415324.1063340706,-25711.612871940073,-5.829825511237108,ok
7,raw_AUC_200,128,285,759880.8689109096,415324.1063340706,-344556.762576839,-45.34352379086356,ok
7,vessel_core_P95,128,235,13488.694776241136,21187.563742238242,7698.868965997106,57.076456200623824,ok
7,vessel_core_P95,235,285,21187.563742238242,22872.247352362723,1684.6836101244808,7.951285153025866,ok
7,vessel_core_P95,128,285,13488.694776241136,22872.247352362723,9383.552576121587,69.5660531414032,ok
7,normalized_AUC_um,128,235,55.44125355945329,20.757380253012947,-34.68387330644034,-62.55968449423055,ok
7,normalized_AUC_um,235,285,20.757380253012947,18.032501586732984,-2.724878666279963,-13.12727633769895,ok
7,normalized_AUC_um,128,285,55.44125355945329,18.032501586732984,-37.4087519727203,-67.47457817237925,ok
10,raw_AUC_200,128,235,759220.7089170888,430848.5502806134,-328372.1586364754,-43.25121203620059,ok
10,raw_AUC_200,235,285,430848.5502806134,422300.9694620016,-8547.580818611837,-1.9838945293061248,ok
10,raw_AUC_200,128,285,759220.7089170888,422300.9694620016,-336919.7394550872,-44.377048136061944,ok
10,vessel_core_P95,128,235,17961.4634796769,21824.446539002034,3862.9830593251354,21.507061847694303,ok
10,vessel_core_P95,235,285,21824.446539002034,22932.518961113703,1108.0724221116689,5.077207434018795,ok
10,vessel_core_P95,128,285,17961.4634796769,22932.518961113703,4971.055481436804,27.67622742468325,ok
10,normalized_AUC_um,128,235,42.61594691547,19.74819949022104,-22.867747425248957,-53.6600711245671,ok
10,normalized_AUC_um,235,285,19.74819949022104,18.427097655522093,-1.321101834698947,-6.689733083530645,ok
10,normalized_AUC_um,128,285,42.61594691547,18.427097655522093,-24.188849259947904,-56.760088677431504,ok
