flow_mm_s,metric,D128,D235,D285,evaluable,target_shape_met,direction,reason,full_rank_ascending
1,raw_AUC_200,725122.4918386986,438950.89107471483,432782.537705828,True,False,D128>D235>D285,ok,D285 < D235 < D128
1,vessel_core_P95,17396.65839800629,20567.881188530428,22955.229033864896,True,True,D128<D235<D285,ok,D128 < D235 < D285
1,normalized_AUC_um,42.21733660887141,21.694280896219574,18.68628119326021,True,True,D128>D235>D285,ok,D285 < D235 < D128
3,raw_AUC_200,739838.3034210675,442101.28457302053,424336.9579001737,True,False,D128>D235>D285,ok,D285 < D235 < D128
3,vessel_core_P95,17406.089694388593,21036.247827472893,23089.74615585751,True,True,D128<D235<D285,ok,D128 < D235 < D285
3,normalized_AUC_um,41.63258384011205,21.42343799825708,18.09382415778287,True,True,D128>D235>D285,ok,D285 < D235 < D128
5,raw_AUC_200,712836.826376664,434875.09375927143,422893.6348709355,True,False,D128>D235>D285,ok,D285 < D235 < D128
5,vessel_core_P95,17778.85675394835,21313.059145832623,23022.139495914686,True,True,D128<D235<D285,ok,D128 < D235 < D285
5,normalized_AUC_um,40.27492472646715,20.585198743293375,18.28909267194607,True,True,D128>D235>D285,ok,D285 < D235 < D128
7,raw_AUC_200,759880.8689109096,441035.7192060107,415324.1063340706,True,False,D128>D235>D285,ok,D285 < D235 < D128
7,vessel_core_P95,13488.694776241136,21187.563742238242,22872.247352362723,True,True,D128<D235<D285,ok,D128 < D235 < D285
7,normalized_AUC_um,55.44125355945329,20.757380253012947,18.032501586732984,True,True,D128>D235>D285,ok,D285 < D235 < D128
10,raw_AUC_200,759220.7089170888,430848.5502806134,422300.9694620016,True,False,D128>D235>D285,ok,D285 < D235 < D128
10,vessel_core_P95,17961.4634796769,21824.446539002034,22932.518961113703,True,True,D128<D235<D285,ok,D128 < D235 < D285
10,normalized_AUC_um,42.61594691547,19.74819949022104,18.427097655522093,True,True,D128>D235>D285,ok,D285 < D235 < D128
