scan_id,diameter_um,flow_mm_s,n_nominal,n_geometry_valid,n_metric_assessable,n_primary_eligible,n_auc_defined,n_denominator_defined,n_normalized_defined,n_denominator_pooled,n_auc_defined_all_positions,n_denominator_defined_all_positions,n_normalized_defined_all_positions,n_full_assessable,median_raw_AUC_200,min_raw_AUC_200,max_raw_AUC_200,n_pooled_raw_AUC_200,median_vessel_core_P95,min_vessel_core_P95,max_vessel_core_P95,n_pooled_vessel_core_P95,median_normalized_AUC_um,min_normalized_AUC_um,max_normalized_AUC_um,n_pooled_normalized_AUC_um
D128_F01_V01,128,1,500,486,500,500,500,500,500,500,500,500,500,500,725122.4918386986,264143.26926142734,1303005.2010354132,500,17396.65839800629,5823.099373656345,33784.569704756614,500,42.21733660887141,19.674082498056386,89.88467443862564,500
D128_F03_V01,128,3,500,468,500,500,500,500,500,500,500,500,500,500,739838.3034210675,244631.2582135445,1203983.2469758643,500,17406.089694388593,6511.202644741308,39908.5640934618,500,41.63258384011205,13.478819828652098,103.30225802478118,500
D128_F05_V01,128,5,500,491,500,500,500,500,500,500,500,500,500,500,712836.826376664,348580.89931344317,1325045.1783368543,500,17778.85675394835,4570.118252567315,37450.33706350251,500,40.27492472646715,17.70587922866257,114.92335399193314,500
D128_F07_V01,128,7,500,493,500,500,500,500,500,500,500,500,500,500,759880.8689109096,363888.2249085204,1434028.9753335055,500,13488.694776241136,5293.66629937776,27924.91437208244,500,55.44125355945329,25.960425682926004,122.69674482463142,500
D128_F10_V01,128,10,500,484,500,500,500,500,500,500,500,500,500,500,759220.7089170888,282957.5709446819,1198342.5264816796,500,17961.4634796769,7017.704629055242,36581.554482276486,500,42.61594691547,14.943877015119401,93.09336173686627,500
D235_F01_V01,235,1,500,448,500,500,500,500,500,500,500,500,500,500,438950.89107471483,184886.7719184482,1038847.3349518066,500,20567.881188530428,10169.855269224288,32290.406366918847,500,21.694280896219574,9.628240957513528,52.362410325433885,500
D235_F03_V01,235,3,500,448,500,500,500,500,500,500,500,500,500,500,442101.28457302053,232040.57860439052,1079458.6503880846,500,21036.247827472893,10352.669888220911,35505.969583145474,500,21.42343799825708,10.686154111400873,48.10015445005771,500
D235_F05_V01,235,5,500,424,500,500,500,500,500,500,500,500,500,500,434875.09375927143,225169.37870991824,1017636.7953913321,500,21313.059145832623,8913.406455353568,34438.654717293204,500,20.585198743293375,9.63986235181768,40.22270686656401,500
D235_F07_V01,235,7,500,444,500,500,500,500,500,500,500,500,500,500,441035.7192060107,199617.90999827234,903662.809487742,500,21187.563742238242,9790.275276374525,34452.386811141645,500,20.757380253012947,9.867788096351603,40.438739572893645,500
D235_F10_V01,235,10,500,461,500,500,500,500,500,500,500,500,500,500,430848.5502806134,187790.98638348427,1119104.9975311514,500,21824.446539002034,11318.415639683464,33784.62511665342,500,19.74819949022104,8.469208666002954,47.198870401730204,500
D285_F01_V01,285,1,500,453,500,500,500,500,500,500,500,500,500,500,432782.537705828,248205.34789151637,642542.2368231103,500,22955.229033864896,12750.086180350738,36582.86230017241,500,18.68628119326021,8.767852066653454,30.064880595060927,500
D285_F03_V01,285,3,500,474,500,500,500,500,500,500,500,500,500,500,424336.9579001737,235172.38710361294,597295.3745487488,500,23089.74615585751,12782.246775147036,43447.88262347492,500,18.09382415778287,9.790059395697087,31.97054318671162,500
D285_F05_V01,285,5,500,492,500,500,500,500,500,500,500,500,500,500,422893.6348709355,229689.0837596699,700186.0726893753,500,23022.139495914686,14339.594663077647,37717.73348599334,500,18.28909267194607,9.300990224818998,35.88224807584693,500
D285_F07_V01,285,7,500,458,500,500,500,500,500,500,500,500,500,500,415324.1063340706,260307.836459047,612426.634232062,500,22872.247352362723,15118.9866760054,34952.008069921765,500,18.032501586732984,8.870505439271113,30.907540022594493,500
D285_F10_V01,285,10,500,494,500,500,500,500,500,500,500,500,500,500,422300.9694620016,259747.21777946886,658437.0895924502,500,22932.518961113703,14647.461829695176,38678.83417577226,500,18.427097655522093,9.690610778891562,31.27542785175483,500
