scan_id,diameter_um,flow_mm_s,grid_scope,mode,tail_bin,side,rho,n_pairs
D128_F01_V01,128,1,common_grid,raw,1,bg,0.10757950312555616,486
D128_F01_V01,128,1,common_grid,raw,1,left,0.036839042024023327,486
D128_F01_V01,128,1,common_grid,raw,1,right,0.11852693382926172,486
D128_F01_V01,128,1,common_grid,raw,2,bg,0.12320814643895148,486
D128_F01_V01,128,1,common_grid,raw,2,left,0.067852232370250676,486
D128_F01_V01,128,1,common_grid,raw,2,right,0.11558209775925361,486
D128_F01_V01,128,1,common_grid,raw,3,bg,0.0082346167727596915,486
D128_F01_V01,128,1,common_grid,raw,3,left,-0.0096344854207354898,486
D128_F01_V01,128,1,common_grid,raw,3,right,0.034458502194906426,486
D128_F01_V01,128,1,common_grid,raw,4,bg,0.02416140252391371,486
D128_F01_V01,128,1,common_grid,raw,4,left,0.022803976312729655,486
D128_F01_V01,128,1,common_grid,raw,4,right,0.020128325648482024,486
D128_F01_V01,128,1,common_grid,raw,5,bg,0.062689099480733493,486
D128_F01_V01,128,1,common_grid,raw,5,left,-0.0026903382562901068,486
D128_F01_V01,128,1,common_grid,raw,5,right,0.094267945062133471,486
D128_F01_V01,128,1,common_grid,raw,6,bg,0.060888536595755917,486
D128_F01_V01,128,1,common_grid,raw,6,left,0.056750399008561374,486
D128_F01_V01,128,1,common_grid,raw,6,right,0.037801105437309981,486
D128_F01_V01,128,1,common_grid,raw,7,bg,0.12894864282206661,486
D128_F01_V01,128,1,common_grid,raw,7,left,0.151664650389574,486
D128_F01_V01,128,1,common_grid,raw,7,right,0.037520316311145913,486
D128_F01_V01,128,1,common_grid,raw,8,bg,0.031917914654636413,486
D128_F01_V01,128,1,common_grid,raw,8,left,0.056816257962203749,486
D128_F01_V01,128,1,common_grid,raw,8,right,-0.002517327830451872,486
D128_F01_V01,128,1,common_grid,raw,9,bg,0.035809342510726247,486
D128_F01_V01,128,1,common_grid,raw,9,left,0.024491219982233747,486
D128_F01_V01,128,1,common_grid,raw,9,right,0.030331968328115577,486
D128_F01_V01,128,1,common_grid,raw,10,bg,0.064865162939494153,486
D128_F01_V01,128,1,common_grid,raw,10,left,0.092354481113768983,486
D128_F01_V01,128,1,common_grid,raw,10,right,0.0096462982171824363,486
D128_F01_V01,128,1,common_grid,raw,11,bg,0.10054242165985992,486
D128_F01_V01,128,1,common_grid,raw,11,left,0.08680027148524222,486
D128_F01_V01,128,1,common_grid,raw,11,right,0.052509291470037162,486
D128_F01_V01,128,1,common_grid,raw,12,bg,0.094463013010540844,486
D128_F01_V01,128,1,common_grid,raw,12,left,0.10310412588050416,486
D128_F01_V01,128,1,common_grid,raw,12,right,0.020136584152192719,486
D128_F01_V01,128,1,common_grid,raw,13,bg,0.078168462499206171,486
D128_F01_V01,128,1,common_grid,raw,13,left,0.072671748782589377,486
D128_F01_V01,128,1,common_grid,raw,13,right,0.061372652174038013,486
D128_F01_V01,128,1,common_grid,raw,14,bg,0.12810909797015912,486
D128_F01_V01,128,1,common_grid,raw,14,left,0.10727550655858482,486
D128_F01_V01,128,1,common_grid,raw,14,right,0.058859871747528131,486
D128_F01_V01,128,1,common_grid,raw,15,bg,0.04087671857240787,486
D128_F01_V01,128,1,common_grid,raw,15,left,0.047215695129495173,486
D128_F01_V01,128,1,common_grid,raw,15,right,0.0055319952989251586,486
D128_F01_V01,128,1,common_grid,raw,16,bg,0.14363111250146676,486
D128_F01_V01,128,1,common_grid,raw,16,left,0.093244935982222249,486
D128_F01_V01,128,1,common_grid,raw,16,right,0.11858244351876024,486
D128_F01_V01,128,1,common_grid,raw,17,bg,0.10809665271868113,486
D128_F01_V01,128,1,common_grid,raw,17,left,0.16633666626680876,486
D128_F01_V01,128,1,common_grid,raw,17,right,0.004777126244557812,486
D128_F01_V01,128,1,common_grid,raw,18,bg,0.10033606360511389,486
D128_F01_V01,128,1,common_grid,raw,18,left,0.045806104445505515,486
D128_F01_V01,128,1,common_grid,raw,18,right,0.080603466637605092,486
D128_F01_V01,128,1,common_grid,raw,19,bg,0.017350436799056231,486
D128_F01_V01,128,1,common_grid,raw,19,left,0.031863345807332785,486
D128_F01_V01,128,1,common_grid,raw,19,right,-0.0040239297985369214,486
D128_F01_V01,128,1,common_grid,raw,20,bg,0.059325379557955735,486
D128_F01_V01,128,1,common_grid,raw,20,left,0.011644437963087093,486
D128_F01_V01,128,1,common_grid,raw,20,right,0.043178645809240579,486
D128_F01_V01,128,1,common_grid,detrended_51,1,bg,0.088896732730041367,486
D128_F01_V01,128,1,common_grid,detrended_51,1,left,0.0076570490058356089,486
D128_F01_V01,128,1,common_grid,detrended_51,1,right,0.12022637931865529,486
D128_F01_V01,128,1,common_grid,detrended_51,2,bg,0.092129918393074967,486
D128_F01_V01,128,1,common_grid,detrended_51,2,left,0.029057877146110678,486
D128_F01_V01,128,1,common_grid,detrended_51,2,right,0.10836411915876185,486
D128_F01_V01,128,1,common_grid,detrended_51,3,bg,0.022969173399908137,486
D128_F01_V01,128,1,common_grid,detrended_51,3,left,0.0080941794598505101,486
D128_F01_V01,128,1,common_grid,detrended_51,3,right,0.042891154334504529,486
D128_F01_V01,128,1,common_grid,detrended_51,4,bg,0.031531679627217007,486
D128_F01_V01,128,1,common_grid,detrended_51,4,left,0.0094661405434711705,486
D128_F01_V01,128,1,common_grid,detrended_51,4,right,0.031406507527338812,486
D128_F01_V01,128,1,common_grid,detrended_51,5,bg,0.026741484064549157,486
D128_F01_V01,128,1,common_grid,detrended_51,5,left,-0.016236550928455901,486
D128_F01_V01,128,1,common_grid,detrended_51,5,right,0.067263534936923011,486
D128_F01_V01,128,1,common_grid,detrended_51,6,bg,0.027186189883875691,486
D128_F01_V01,128,1,common_grid,detrended_51,6,left,0.057901985190951064,486
D128_F01_V01,128,1,common_grid,detrended_51,6,right,0.012209225684501444,486
D128_F01_V01,128,1,common_grid,detrended_51,7,bg,0.062420913645422051,486
D128_F01_V01,128,1,common_grid,detrended_51,7,left,0.080157105253254285,486
D128_F01_V01,128,1,common_grid,detrended_51,7,right,-0.0009505655972455976,486
D128_F01_V01,128,1,common_grid,detrended_51,8,bg,0.027144433989177413,486
D128_F01_V01,128,1,common_grid,detrended_51,8,left,0.039928501136011478,486
D128_F01_V01,128,1,common_grid,detrended_51,8,right,-0.0099830818036030899,486
D128_F01_V01,128,1,common_grid,detrended_51,9,bg,0.0063599480654158167,486
D128_F01_V01,128,1,common_grid,detrended_51,9,left,-0.037980217125470381,486
D128_F01_V01,128,1,common_grid,detrended_51,9,right,0.032507777643039644,486
D128_F01_V01,128,1,common_grid,detrended_51,10,bg,0.024718082993103213,486
D128_F01_V01,128,1,common_grid,detrended_51,10,left,0.050528641266738429,486
D128_F01_V01,128,1,common_grid,detrended_51,10,right,-0.010389788919118733,486
D128_F01_V01,128,1,common_grid,detrended_51,11,bg,0.033273047985941308,486
D128_F01_V01,128,1,common_grid,detrended_51,11,left,0.011163371492394845,486
D128_F01_V01,128,1,common_grid,detrended_51,11,right,0.006721797251778119,486
D128_F01_V01,128,1,common_grid,detrended_51,12,bg,0.042744395337087321,486
D128_F01_V01,128,1,common_grid,detrended_51,12,left,0.055652930042959861,486
