scan_id,diameter_um,flow_mm_s,grid_scope,valid_geometry_frames,left_valid_fraction,left_valid_frames,right_valid_fraction,right_valid_frames,any_valid_fraction,any_valid_frames,both_valid_fraction,both_valid_frames
D128_F01_V01,128,1,common_grid,486,1,486,1,486,1,486,1,486
D128_F03_V01,128,3,common_grid,468,1,468,1,468,1,468,1,468
D128_F05_V01,128,5,common_grid,491,1,491,1,491,1,491,1,491
D128_F07_V01,128,7,common_grid,493,1,493,1,493,1,493,1,493
D128_F10_V01,128,10,common_grid,484,1,484,1,484,1,484,1,484
D235_F01_V01,235,1,common_grid,448,1,448,1,448,1,448,1,448
D235_F03_V01,235,3,common_grid,448,1,448,1,448,1,448,1,448
D235_F05_V01,235,5,common_grid,424,1,424,1,424,1,424,1,424
D235_F07_V01,235,7,common_grid,444,1,444,1,444,1,444,1,444
D235_F10_V01,235,10,common_grid,461,1,461,1,461,1,461,1,461
D285_F01_V01,285,1,common_grid,453,1,453,1,453,1,453,1,453
D285_F03_V01,285,3,common_grid,474,1,474,1,474,1,474,1,474
D285_F05_V01,285,5,common_grid,492,1,492,1,492,1,492,1,492
D285_F07_V01,285,7,common_grid,458,1,458,1,458,1,458,1,458
D285_F10_V01,285,10,common_grid,494,1,494,1,494,1,494,1,494
D500_F01_V01,500,1,common_grid,500,1,500,1,500,1,500,1,500
D500_F02_V01,500,2,d500_extension,493,1,493,1,493,1,493,1,493
D500_F03_V01,500,3,common_grid,490,1,490,1,490,1,490,1,490
D500_F05_V01,500,5,common_grid,471,1,471,1,471,1,471,1,471
D500_F07_V01,500,7,common_grid,477,1,477,1,477,1,477,1,477
D500_F09_V01,500,9,d500_extension,482,1,482,1,482,1,482,1,482
D500_F10_V01,500,10,common_grid,500,1,500,1,500,1,500,1,500
D500_F12_V01,500,12,d500_extension,500,1,500,1,500,1,500,1,500
