scan_id,diameter_um,flow_mm_s,grid_scope,rho
D128_F01_V01,128,1,common_grid,0.026942959026863285
D128_F03_V01,128,3,common_grid,0.021807599983967932
D128_F05_V01,128,5,common_grid,0.028842960333733302
D128_F07_V01,128,7,common_grid,0.03100450590393343
D128_F10_V01,128,10,common_grid,0.012139237911590831
D235_F01_V01,235,1,common_grid,0.0067897141680240674
D235_F03_V01,235,3,common_grid,-0.013737681703282281
D235_F05_V01,235,5,common_grid,0.020745777183743368
D235_F07_V01,235,7,common_grid,-0.017412615961835298
D235_F10_V01,235,10,common_grid,-0.013682274421536139
D285_F01_V01,285,1,common_grid,-0.0071296978428747586
D285_F03_V01,285,3,common_grid,-0.0010073992435593899
D285_F05_V01,285,5,common_grid,-0.00083249359935651203
D285_F07_V01,285,7,common_grid,-0.019490407896431205
D285_F10_V01,285,10,common_grid,-0.0057151934744872311
D500_F01_V01,500,1,common_grid,-0.013010398547502786
D500_F03_V01,500,3,common_grid,-0.019268597868843856
D500_F05_V01,500,5,common_grid,0.007023495914685346
D500_F07_V01,500,7,common_grid,0.014545439303548534
D500_F10_V01,500,10,common_grid,0.013001791089834579
