source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho,n_pairs,rho_peak,lag_at_peak,n_pairs_lag0,zero_lag_rank,peak_within_pm2,peak_within_pm5,rho_remote_median,zero_lag_specificity,pseudo_left_rho,pseudo_right_rho,control_rho,control_excess_rho,in_real_high_region
1,1,0,0.16666666666666666,0.083333333333333329,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.12925643868171843,486,0.12936626141195195,-50,486,2,False,False,-0.0066917104066391416,0.13594814908835756,-0.034325048167379142,0.072840131143085282,0.01925754148785307,0.10999889719386537,False
1,2,0,0.16666666666666666,0.083333333333333329,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.078446243629413728,486,0.1882710431795398,13,486,14,False,False,-0.015931194188826957,0.094377437818240678,0.066151160404034806,0.0193130613781517,0.042732110891093252,0.035714132738320477,False
1,3,0,0.16666666666666666,0.083333333333333329,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.0085992982706736137,486,0.12565855943089294,13,486,63,False,False,0.0054125019056483455,-0.014011800176321958,0.017609420738796556,-0.022132593015568008,-0.0022615861383857259,-0.0063377121322878878,False
1,4,0,0.16666666666666666,0.083333333333333329,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.036498347275571108,486,0.13307321600387176,-48,486,76,False,False,0.032932704571246196,-0.069431051846817304,0.030038780329179823,-0.021273047563432481,0.0043828663828736712,-0.040881213658444777,False
1,5,0,0.16666666666666666,0.083333333333333329,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.031657388092471178,486,0.13229963736510233,-2,486,31,True,True,-0.0027749973025789007,0.034432385395050079,0.03302232089957876,0.04043021611162298,0.036726268505600873,-0.005068880413129695,False
1,6,0,0.16666666666666666,0.083333333333333329,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.077009560234786445,486,0.16676899217198879,46,486,9,False,False,-0.0023569240881341053,0.079366484322920552,0.0076561836426166374,-0.020348732215246738,-0.0063462742863150505,0.083355834521101499,False
1,7,0,0.16666666666666666,0.083333333333333329,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.056825111344493098,486,0.11566407156054961,-22,486,11,False,False,-0.013610442913185547,0.07043555425767864,-0.015031751824095408,-5.4098482759709632e-05,-0.0075429251534275587,0.064368036497920653,False
1,8,0,0.16666666666666666,0.083333333333333329,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.052430031765849087,486,0.13133028214343578,-11,486,15,False,False,0.0041697148365211559,0.048260316929327932,-0.12767976036505232,-0.039565225913434574,-0.083622493139243442,0.13605252490509254,False
1,9,0,0.16666666666666666,0.083333333333333329,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.03576011177870201,486,0.14230845421063795,-12,486,28,False,False,0.00016676691173625469,0.035593344866965755,0.047192085397434969,0.010998304260179646,0.029095194828807305,0.0066649169498947045,False
1,10,0,0.16666666666666666,0.083333333333333329,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.020584890530974419,486,0.17512592884681519,-12,486,31,False,False,-0.0034080659132272604,0.023992956444201678,-0.040393026396030991,0.02053282403702774,-0.0099301011795016256,0.030514991710476044,False
1,11,0,0.16666666666666666,0.083333333333333329,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.013567080190441937,486,0.11895212500403682,-22,486,53,False,False,-0.028641379074427376,0.015074298883985439,-0.026609048582923706,0.057206281903724454,0.015298616660400374,-0.02886569685084231,False
1,12,0,0.16666666666666666,0.083333333333333329,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.064826690095830974,486,0.10832678360527538,-6,486,11,False,False,-0.0030015686128644567,0.067828258708695438,-0.007047499206961981,0.00059874370973029764,-0.0032243777486158417,0.068051067844446811,False
1,13,0,0.16666666666666666,0.083333333333333329,300,325,312.5,2.34375,2.5390625,2.44140625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.025482675572250924,486,0.12039342531531008,-48,486,33,False,False,0.0089808541173905972,0.016501821454860326,0.069174013398088458,0.0067364353970202594,0.03795522439755436,-0.012472548825303437,False
1,14,0,0.16666666666666666,0.083333333333333329,325,350,337.5,2.5390625,2.734375,2.63671875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.0070054805012388869,486,0.15959459388612582,19,486,51,False,False,-0.039366077298151822,0.032360596796912937,0.043222762499356901,0.014299509585493225,0.028761136042425063,-0.035766616543663948,False
1,15,0,0.16666666666666666,0.083333333333333329,350,375,362.5,2.734375,2.9296875,2.83203125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.006565995285445235,486,0.12182955727737305,-19,486,41,False,False,-0.014302413892715755,0.02086840917816099,0.055000559018476662,0.022060091440732302,0.038530325229604478,-0.031964329944159244,False
1,16,0,0.16666666666666666,0.083333333333333329,375,400,387.5,2.9296875,3.125,3.02734375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.00073872022744680965,486,0.15983016003972245,-21,486,44,False,False,-0.024239891432463998,0.024978611659910808,0.099901080535106559,-0.031160138080180637,0.034370471227462965,-0.033631751000016155,False
1,17,0,0.16666666666666666,0.083333333333333329,400,425,412.5,3.125,3.3203125,3.22265625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.016586681328531885,486,0.1568853467813604,-50,486,63,False,False,0.0087587428142167755,-0.025345424142748658,0.092032319807131113,-0.041559813451705369,0.025236253177712872,-0.04182293450624476,False
1,18,0,0.16666666666666666,0.083333333333333329,425,450,437.5,3.3203125,3.515625,3.41796875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.026834983095932182,486,0.10666058538722155,-36,486,74,False,False,-0.0095862698883000357,-0.017248713207632146,0.0050405254661857017,0.0031607223664717639,0.0041006239163287328,-0.030935607012260915,False
1,19,0,0.16666666666666666,0.083333333333333329,450,475,462.5,3.515625,3.7109375,3.61328125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.04710787534948116,486,0.13502940968562768,14,486,78,False,False,-0.021140057734934544,-0.025967817614546616,0.056470414824911719,0.0051674744586016046,0.030818944641756663,-0.077926819991237822,False
1,20,0,0.16666666666666666,0.083333333333333329,475,500,487.5,3.7109375,3.90625,3.80859375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.057274814477016225,486,0.11908364604602599,-4,486,15,False,True,-0.0018771020907147433,0.059151916567730972,0.10326332962381141,0.059382333597775928,0.081322831610793664,-0.024048017133777438,False
2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.29004835675146146,486,0.29004835675146146,0,486,1,True,True,0.022902736930502487,0.26714561982095897,0.090517198685387171,0.13009965577134927,0.11030842722836823,0.17973992952309323,True
2,2,0.16666666666666666,0.33333333333333331,0.25,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.30425802324068763,486,0.30425802324068763,0,486,1,True,True,-0.0081862699709834372,0.31244429321167105,0.04639001597735639,-0.035610909498898828,0.0053895532392287809,0.29886847000145883,True
2,3,0.16666666666666666,0.33333333333333331,0.25,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.14160409114704373,486,0.14160409114704373,0,486,1,True,True,-0.012449594560976097,0.15405368570801983,0.0627036517395477,0.012804045042064088,0.037753848390805894,0.10385024275623783,False
2,4,0.16666666666666666,0.33333333333333331,0.25,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.15922243837831246,486,0.15922243837831246,0,486,1,True,True,0.015196591616539195,0.14402584676177327,0.07274004064445716,-0.010406053037649809,0.031166993803403674,0.12805544457490878,False
2,5,0.16666666666666666,0.33333333333333331,0.25,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.18092231620519988,486,0.18092231620519988,0,486,1,True,True,0.0048240272181914439,0.17609828898700844,0.0017294301397814821,0.014758494277746295,0.0082439622087638886,0.172678353996436,False
