scan_id,diameter_um,flow_mm_s,grid_scope,parameter,unit,n_adjacent_pairs,outlier_flag_fraction,n,median,min,max,p5,p10,p90,p95,p99,mad
D128_F01_V01,128,1,common_grid,X4,pixel,475,0.0021052631578947368,475,0.53563827874296521,0,3.1506521446805209,0.059833667607640001,0.10919536225277397,1.3782125114417683,1.6190223634424592,2.1307666916239372,0.33717583029334719
D128_F01_V01,128,1,common_grid,X4,um,475,0.0021052631578947368,475,6.8026061400356577,0,40.01328223744261,0.75988757861702794,1.3867811006102293,17.503298895310454,20.56158401571923,27.060736983624,4.2821330447255095
D128_F01_V01,128,1,common_grid,X1,pixel,475,0,475,2,0,8,0,0,5,6,7.2599999999999927,1
D128_F01_V01,128,1,common_grid,X1,um,475,0,475,25.399999999999999,0,101.59999999999999,0,0,63.5,76.199999999999989,92.201999999999899,12.699999999999999
D128_F01_V01,128,1,common_grid,z_top,pixel,475,0.082105263157894737,475,0,0,1,0,0,0,1,1,0
D128_F01_V01,128,1,common_grid,z_top,um,475,0.082105263157894737,475,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D128_F03_V01,128,3,common_grid,X4,pixel,462,0.0021645021645021645,462,0.51239902662676684,0.0051438154973482142,2.8522885234374655,0.073076518129288101,0.13354007121421602,1.2581725097445655,1.5139966380116832,2.2865440801500361,0.28458181643182456
D128_F03_V01,128,3,common_grid,X4,um,462,0.0021645021645021645,462,6.5074676381599383,0.06532645681632232,36.224064247655811,0.9280717802419588,1.6959589044205432,15.978790873755981,19.227757302748376,29.039109817905455,3.6141890686841718
D128_F03_V01,128,3,common_grid,X1,pixel,462,0,462,2,0,9,0,0,5,6,6.3899999999999872,1
D128_F03_V01,128,3,common_grid,X1,um,462,0,462,25.399999999999999,0,114.3,0,0,63.5,76.199999999999989,81.152999999999835,12.699999999999999
D128_F03_V01,128,3,common_grid,z_top,pixel,462,0.071428571428571425,462,0,0,1,0,0,0,1,1,0
D128_F03_V01,128,3,common_grid,z_top,um,462,0.071428571428571425,462,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D128_F05_V01,128,5,common_grid,X4,pixel,486,0,486,0.53704224446840954,0,3.0147115833262319,0.029656987791490508,0.087086146333049896,1.3783158297171099,1.6316397294950704,2.1560976293002088,0.34590446852541845
D128_F05_V01,128,5,common_grid,X4,um,486,0,486,6.8204365047488009,0,38.286837108243141,0.37664374495192943,1.1059940584297336,17.504611037407294,20.721824564587394,27.38243989211265,4.3929867502728142
D128_F05_V01,128,5,common_grid,X1,pixel,486,0.00205761316872428,486,2,0,10,0,0,5,6,7.149999999999979,1
D128_F05_V01,128,5,common_grid,X1,um,486,0.00205761316872428,486,25.399999999999999,0,127,0,0,63.5,76.199999999999989,90.804999999999723,12.699999999999999
D128_F05_V01,128,5,common_grid,z_top,pixel,486,0.072016460905349799,486,0,0,1,0,0,0,1,1,0
D128_F05_V01,128,5,common_grid,z_top,um,486,0.072016460905349799,486,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D128_F07_V01,128,7,common_grid,X4,pixel,487,0,487,0.55798002515564349,0,2.5417355955799223,0.038317365611845844,0.081956524574303566,1.5357438789570552,1.7746074102891407,2.3521594210193375,0.3656213223125917
D128_F07_V01,128,7,common_grid,X4,um,487,0,487,7.0863463194766716,0,32.280042063865011,0.4866305432704422,1.0408478620936552,19.5039472627546,22.537514110672085,29.872424646945586,4.6433907933699148
D128_F07_V01,128,7,common_grid,X1,pixel,487,0,487,2,0,9,0,0,5,6,7,1
D128_F07_V01,128,7,common_grid,X1,um,487,0,487,25.399999999999999,0,114.3,0,0,63.5,76.199999999999989,88.899999999999991,12.699999999999999
D128_F07_V01,128,7,common_grid,z_top,pixel,487,0.071868583162217656,487,0,0,1,0,0,0,1,1,0
D128_F07_V01,128,7,common_grid,z_top,um,487,0.071868583162217656,487,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D128_F10_V01,128,10,common_grid,X4,pixel,480,0,480,0.54343933959468416,0,2.3644379002743676,0.047798282500723141,0.092629549192540142,1.4128252593207211,1.6835357651746732,1.9978689092500153,0.32076320414442705
D128_F10_V01,128,10,common_grid,X4,um,480,0,480,6.9016796128524884,0,30.028361333484469,0.60703818775918383,1.1763952747452597,17.942880793373156,21.380904217718349,25.372935147475193,4.0736926926342232
