scan_id,frame_index,region,side,mean_relative_error
D128_F01_V01,249,source,real,0
D128_F01_V01,249,source,left,0
D128_F01_V01,249,source,right,0
D128_F01_V01,249,t01,real,0
D128_F01_V01,249,t01,left,0
D128_F01_V01,249,t01,right,0
D128_F01_V01,249,tail100,real,0
D128_F01_V01,249,tail100,left,0
D128_F01_V01,249,tail100,right,0
D128_F01_V01,249,tail500,real,0
D128_F01_V01,249,tail500,left,0
D128_F01_V01,249,tail500,right,0
D128_F03_V01,249,source,real,0
D128_F03_V01,249,source,left,0
D128_F03_V01,249,source,right,0
D128_F03_V01,249,t01,real,0
D128_F03_V01,249,t01,left,0
D128_F03_V01,249,t01,right,0
D128_F03_V01,249,tail100,real,0
D128_F03_V01,249,tail100,left,0
D128_F03_V01,249,tail100,right,0
D128_F03_V01,249,tail500,real,0
D128_F03_V01,249,tail500,left,0
D128_F03_V01,249,tail500,right,0
D128_F05_V01,249,source,real,0
D128_F05_V01,249,source,left,0
D128_F05_V01,249,source,right,0
D128_F05_V01,249,t01,real,0
D128_F05_V01,249,t01,left,0
D128_F05_V01,249,t01,right,0
D128_F05_V01,249,tail100,real,0
D128_F05_V01,249,tail100,left,0
D128_F05_V01,249,tail100,right,0
D128_F05_V01,249,tail500,real,0
D128_F05_V01,249,tail500,left,0
D128_F05_V01,249,tail500,right,0
D128_F07_V01,249,source,real,0
D128_F07_V01,249,source,left,0
D128_F07_V01,249,source,right,0
D128_F07_V01,249,t01,real,0
D128_F07_V01,249,t01,left,0
D128_F07_V01,249,t01,right,0
D128_F07_V01,249,tail100,real,0
D128_F07_V01,249,tail100,left,0
D128_F07_V01,249,tail100,right,0
D128_F07_V01,249,tail500,real,0
D128_F07_V01,249,tail500,left,0
D128_F07_V01,249,tail500,right,0
D128_F10_V01,249,source,real,0
D128_F10_V01,249,source,left,0
D128_F10_V01,249,source,right,0
D128_F10_V01,249,t01,real,0
D128_F10_V01,249,t01,left,0
D128_F10_V01,249,t01,right,0
D128_F10_V01,249,tail100,real,0
D128_F10_V01,249,tail100,left,0
D128_F10_V01,249,tail100,right,6.7789523993153752e-16
D128_F10_V01,249,tail500,real,0
D128_F10_V01,249,tail500,left,0
D128_F10_V01,249,tail500,right,4.9147838124133707e-16
D235_F01_V01,249,source,real,0
D235_F01_V01,249,source,left,0
D235_F01_V01,249,source,right,0
D235_F01_V01,249,t01,real,0
D235_F01_V01,249,t01,left,0
D235_F01_V01,249,t01,right,0
D235_F01_V01,249,tail100,real,0
D235_F01_V01,249,tail100,left,0
D235_F01_V01,249,tail100,right,0
D235_F01_V01,249,tail500,real,0
D235_F01_V01,249,tail500,left,0
D235_F01_V01,249,tail500,right,0
D235_F03_V01,249,source,real,0
D235_F03_V01,249,source,left,0
D235_F03_V01,249,source,right,0
D235_F03_V01,249,t01,real,0
D235_F03_V01,249,t01,left,0
D235_F03_V01,249,t01,right,0
D235_F03_V01,249,tail100,real,0
D235_F03_V01,249,tail100,left,0
D235_F03_V01,249,tail100,right,0
D235_F03_V01,249,tail500,real,0
D235_F03_V01,249,tail500,left,0
D235_F03_V01,249,tail500,right,0
D235_F05_V01,249,source,real,0
D235_F05_V01,249,source,left,0
D235_F05_V01,249,source,right,0
D235_F05_V01,249,t01,real,0
D235_F05_V01,249,t01,left,0
D235_F05_V01,249,t01,right,0
D235_F05_V01,249,tail100,real,0
D235_F05_V01,249,tail100,left,0
D235_F05_V01,249,tail100,right,0
D235_F05_V01,249,tail500,real,0
D235_F05_V01,249,tail500,left,0
D235_F05_V01,249,tail500,right,0
D235_F07_V01,249,source,real,0
D235_F07_V01,249,source,left,0
D235_F07_V01,249,source,right,0
D235_F07_V01,249,t01,real,0
D235_F07_V01,249,t01,left,0
D235_F07_V01,249,t01,right,0
D235_F07_V01,249,tail100,real,0
D235_F07_V01,249,tail100,left,0
D235_F07_V01,249,tail100,right,0
D235_F07_V01,249,tail500,real,0
D235_F07_V01,249,tail500,left,0
D235_F07_V01,249,tail500,right,0
D235_F10_V01,249,source,real,0
D235_F10_V01,249,source,left,0
D235_F10_V01,249,source,right,0
D235_F10_V01,249,t01,real,0
D235_F10_V01,249,t01,left,0
D235_F10_V01,249,t01,right,0
D235_F10_V01,249,tail100,real,0
D235_F10_V01,249,tail100,left,0
D235_F10_V01,249,tail100,right,0
D235_F10_V01,249,tail500,real,0
D235_F10_V01,249,tail500,left,0
D235_F10_V01,249,tail500,right,0
D285_F01_V01,249,source,real,0
D285_F01_V01,249,source,left,0
D285_F01_V01,249,source,right,0
D285_F01_V01,249,t01,real,0
D285_F01_V01,249,t01,left,0
D285_F01_V01,249,t01,right,0
D285_F01_V01,249,tail100,real,0
D285_F01_V01,249,tail100,left,0
D285_F01_V01,249,tail100,right,0
D285_F01_V01,249,tail500,real,0
D285_F01_V01,249,tail500,left,0
D285_F01_V01,249,tail500,right,0
D285_F03_V01,249,source,real,0
D285_F03_V01,249,source,left,0
D285_F03_V01,249,source,right,0
D285_F03_V01,249,t01,real,0
D285_F03_V01,249,t01,left,0
D285_F03_V01,249,t01,right,0
D285_F03_V01,249,tail100,real,0
D285_F03_V01,249,tail100,left,0
D285_F03_V01,249,tail100,right,0
D285_F03_V01,249,tail500,real,0
D285_F03_V01,249,tail500,left,0
D285_F03_V01,249,tail500,right,0
D285_F05_V01,249,source,real,0
D285_F05_V01,249,source,left,0
D285_F05_V01,249,source,right,0
D285_F05_V01,249,t01,real,0
D285_F05_V01,249,t01,left,0
D285_F05_V01,249,t01,right,0
D285_F05_V01,249,tail100,real,0
D285_F05_V01,249,tail100,left,0
D285_F05_V01,249,tail100,right,0
D285_F05_V01,249,tail500,real,0
D285_F05_V01,249,tail500,left,0
D285_F05_V01,249,tail500,right,0
D285_F07_V01,249,source,real,0
D285_F07_V01,249,source,left,0
D285_F07_V01,249,source,right,0
D285_F07_V01,249,t01,real,0
D285_F07_V01,249,t01,left,0
D285_F07_V01,249,t01,right,0
D285_F07_V01,249,tail100,real,0
D285_F07_V01,249,tail100,left,0
D285_F07_V01,249,tail100,right,0
D285_F07_V01,249,tail500,real,0
D285_F07_V01,249,tail500,left,0
D285_F07_V01,249,tail500,right,0
D285_F10_V01,249,source,real,0
D285_F10_V01,249,source,left,0
D285_F10_V01,249,source,right,0
D285_F10_V01,249,t01,real,0
D285_F10_V01,249,t01,left,0
D285_F10_V01,249,t01,right,0
D285_F10_V01,249,tail100,real,0
D285_F10_V01,249,tail100,left,0
D285_F10_V01,249,tail100,right,0
D285_F10_V01,249,tail500,real,0
D285_F10_V01,249,tail500,left,0
D285_F10_V01,249,tail500,right,0
D500_F01_V01,249,source,real,0
D500_F01_V01,249,source,left,0
D500_F01_V01,249,source,right,0
D500_F01_V01,249,t01,real,0
D500_F01_V01,249,t01,left,0
D500_F01_V01,249,t01,right,0
D500_F01_V01,249,tail100,real,0
D500_F01_V01,249,tail100,left,0
D500_F01_V01,249,tail100,right,0
D500_F01_V01,249,tail500,real,0
D500_F01_V01,249,tail500,left,0
D500_F01_V01,249,tail500,right,0
D500_F02_V01,249,source,real,0
D500_F02_V01,249,source,left,0
D500_F02_V01,249,source,right,0
D500_F02_V01,249,t01,real,0
D500_F02_V01,249,t01,left,0
D500_F02_V01,249,t01,right,0
D500_F02_V01,249,tail100,real,0
D500_F02_V01,249,tail100,left,0
D500_F02_V01,249,tail100,right,0
D500_F02_V01,249,tail500,real,0
D500_F02_V01,249,tail500,left,0
D500_F02_V01,249,tail500,right,0
D500_F03_V01,249,source,real,0
D500_F03_V01,249,source,left,0
D500_F03_V01,249,source,right,0
D500_F03_V01,249,t01,real,0
D500_F03_V01,249,t01,left,0
D500_F03_V01,249,t01,right,0
D500_F03_V01,249,tail100,real,0
D500_F03_V01,249,tail100,left,0
D500_F03_V01,249,tail100,right,0
D500_F03_V01,249,tail500,real,0
D500_F03_V01,249,tail500,left,0
D500_F03_V01,249,tail500,right,0
D500_F05_V01,249,source,real,0
D500_F05_V01,249,source,left,0
D500_F05_V01,249,source,right,0
D500_F05_V01,249,t01,real,0
D500_F05_V01,249,t01,left,0
D500_F05_V01,249,t01,right,0
D500_F05_V01,249,tail100,real,0
D500_F05_V01,249,tail100,left,0
D500_F05_V01,249,tail100,right,0
D500_F05_V01,249,tail500,real,0
D500_F05_V01,249,tail500,left,0
D500_F05_V01,249,tail500,right,0
D500_F07_V01,249,source,real,0
D500_F07_V01,249,source,left,0
D500_F07_V01,249,source,right,0
D500_F07_V01,249,t01,real,0
D500_F07_V01,249,t01,left,0
D500_F07_V01,249,t01,right,0
D500_F07_V01,249,tail100,real,0
D500_F07_V01,249,tail100,left,0
D500_F07_V01,249,tail100,right,0
