scan_id,diameter_um,flow_mm_s,grid_scope,real_map_median,real_high_median,real_peak,real_map_specificity,real_high_specificity,real_peak_pm2_count,control_map_median,control_high_median,excess_map_median,excess_high_median,high_cells_both_sides,real_high_cell_count,high_fraction_real_gt_both,left_map_median,left_high_at_real_region,left_specificity,left_similarity,right_map_median,right_high_at_real_region,right_specificity,right_similarity
D128_F01_V01,128,1,common_grid,0.091929112213986697,0.28620312867135134,0.3974469161630943,0.093507367803894625,0.27324662539969091,57,0.028837024318192316,0.05878268651373908,0.079268742525067104,0.21626502393915564,11,11,1,0.0382778579165114,0.086906695554409163,0.038569471426091448,0.12623098826307383,0.01528276864569182,0.050428771387825366,0.014814256857228938,0.24650322939093
D128_F03_V01,128,3,common_grid,0.075083766205238892,0.23731518684436062,0.27226819156544252,0.075486642044565372,0.23818777261380106,39,0.065317103170999313,0.15792272342829178,0.0055035371125879556,0.096041833112208208,11,11,0.90909090909090906,0.06450930703329863,0.15179674449867858,0.066956190217235853,0.49244391971664703,0.067360377522758697,0.1174001360604163,0.074699982737428949,0.45949024237794295
D128_F05_V01,128,5,common_grid,0.083449765078785293,0.27214389587821936,0.36937402906164096,0.089463746583867174,0.27718907769002771,49,0.024390988443671706,0.018695802648796979,0.056141045839533318,0.2721066397726532,11,11,1,0.031417722401178225,0.010769775085207291,0.029706398147708479,-0.054246822696020575,0.023268225616855334,0.0031153200654388171,0.024317759878017257,0.18597819293006462
D128_F07_V01,128,7,common_grid,0.10408307201844857,0.23743746473499283,0.34621805280270024,0.10314152220291388,0.23449586057527361,64,0.028769875112740553,0.042428404996679672,0.07724036750268945,0.20376116817068562,12,12,1,0.032761547176789502,0.038667637631159393,0.028343955335227586,0.075914994096812322,0.024680295059323926,0.026994840974221883,0.021817357264931572,0.31426487950552123
D128_F10_V01,128,10,common_grid,0.09265454587812702,0.2358217035382402,0.29296788240460619,0.094734253893793016,0.24584464802372025,49,0.025368430854724601,0.060345077091216039,0.073797881990055506,0.18831174011132967,11,11,1,0.027884847924780132,0.06314576214536681,0.027382475671438689,0.32746718522119594,0.024445871511023412,0.058500524769955028,0.021239563882437733,0.39673588443641927
D235_F01_V01,235,1,common_grid,0.034554077742993065,0.2207796190187995,0.23213723931165803,0.042475141570000742,0.21363423868940012,28,0.019516630712154627,0.036485441998478849,0.015474639627125497,0.18733410492352956,8,8,1,0.021700820064702614,0.07000232922763,0.02947279750251651,0.19840266685186478,0.012090775030830895,-0.010302624077531689,0.012873214015555679,0.020925064240572264
D235_F03_V01,235,3,common_grid,0.025842235415601079,0.21024481468851758,0.22432628374967811,0.02680620672284648,0.21406684114542457,30,0.02954042359758402,0.05534149439923261,-0.00089150376309347825,0.15570879723134423,8,8,1,0.025913025873754894,0.019910822435777333,0.023756683863727937,0.12607819987499133,0.025162887617388364,0.075208086641641678,0.029323518407697011,0.34064865615667761
D235_F05_V01,235,5,common_grid,0.024175229032889555,0.1685246583282374,0.2207322100846392,0.025618776450501354,0.16701620413694743,20,0.018630915038949265,0.037589951208559361,0.016250986799806626,0.148687971507004,8,8,0.875,0.012745248561785282,0.027024622549517451,0.0120145081691506,0.053302312660601418,0.029759192004552616,0.044531485409842433,0.028730684261327796,-0.092117508160288908
D235_F07_V01,235,7,common_grid,0.040745196909188895,0.18275816164235456,0.26269586618638679,0.0361632173235601,0.18716863344859128,18,0.016512769515425959,0.012552261062477327,0.023626244788649154,0.18170312872263703,9,9,1,0.024181830655391034,0.022966523379687572,0.02423573799100889,0.080838947149107568,0.015606278458800027,0.003302238222147983,0.014285026259395893,-0.14289186749079794
D235_F10_V01,235,10,common_grid,0.033045372510891194,0.2451767240866089,0.37670050167512942,0.023520502550876701,0.19267155356713606,28,0.042918220632360948,0.13172889872543891,0.0063854614613801583,0.12051938665532491,8,8,1,0.038833432846020505,0.15140765043484486,0.0405010626426211,0.39686089311757766,0.050814439440283021,0.10904699933243633,0.052749060879812244,0.18632543926661579
