source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_lag0,rho_peak,lag_at_peak,n_pairs_lag0,n_pairs_at_peak,zero_lag_rank,peak_within_pm2,peak_within_pm5,rho_remote_median,zero_lag_specificity,peak_tie_count,rho,side
1,1,0,0.16666666666666666,0.083333333333333329,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.038749056217673272,0.18445919781352371,-36,486,442,71,False,False,0.074360292473852813,-0.03561123625617954,1,0.038749056217673272,left
1,2,0,0.16666666666666666,0.083333333333333329,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.12066787251274644,0.16576991061188423,-11,486,467,4,False,False,0.033318676485014978,0.08734919602773146,1,0.12066787251274644,left
1,3,0,0.16666666666666666,0.083333333333333329,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.061242815951143142,0.14834652132984266,20,486,458,43,False,False,0.045330632949426811,0.015912183001716332,1,0.061242815951143142,left
1,4,0,0.16666666666666666,0.083333333333333329,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.056559303504976927,0.2105139806943763,-50,486,429,39,False,False,0.048943024003626351,0.0076162795013505757,1,0.056559303504976927,left
1,5,0,0.16666666666666666,0.083333333333333329,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.072459536598630692,0.16248258540509783,27,486,451,46,False,False,0.067923720551106681,0.0045358160475240106,1,0.072459536598630692,left
1,6,0,0.16666666666666666,0.083333333333333329,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.059584215699572361,0.18132247584098332,-15,486,463,40,False,False,0.046806431853489379,0.012777783846082982,1,0.059584215699572361,left
1,7,0,0.16666666666666666,0.083333333333333329,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.040836366896049213,0.15936668373643159,-37,486,441,61,False,False,0.057448626110311235,-0.016612259214262022,1,0.040836366896049213,left
1,8,0,0.16666666666666666,0.083333333333333329,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,-0.055015067849096239,0.14296585092171329,33,486,445,100,False,False,0.053073057759032358,-0.1080881256081286,1,-0.055015067849096239,left
1,9,0,0.16666666666666666,0.083333333333333329,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.092402045913621805,0.15354465229598799,20,486,458,21,False,False,0.046815495359177034,0.045586550554444771,1,0.092402045913621805,left
1,10,0,0.16666666666666666,0.083333333333333329,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.055531172062004641,0.19729682559499401,23,486,455,69,False,False,0.063084811905980184,-0.0075536398439755431,1,0.055531172062004641,left
