scan_id,diameter_um,flow_mm_s,grid_scope,side,mode,real_region_median_rho,real_region_median_specificity,map_median_specificity,peak_pm2_count,peak_pm5_count,similarity_to_real,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
D128_F01_V01,128,1,common_grid,left,raw,0.13934223108704638,0.081024859655620979,0.058043511223453893,15,23,,0.10240210079608317,-0.055015067849096239,0.23838761600780273,120,118,2,0.58333333333333337,4,1,12.5,0.09765625,0.23838761600780273,0.17242164014226904,0,True,True,118,12,12,0.58333333333333337,0.083333333333333329,0.91666666666666663,0,1,300,12.5,412.5,0,425,2.34375,0,3.3203125,0.16119187980009195,0.11050648061584507,7,7,12
D128_F01_V01,128,1,common_grid,right,raw,0.10491472441556057,0.059007092440701625,0.027285145116896788,11,22,,0.069140820294175204,-0.034467910616855349,0.17043581117192608,120,116,4,0.25,2,1,12.5,0.09765625,0.17043581117192608,0.12847805733226025,0,True,True,116,12,12,0.66666666666666674,0.25,0.75,0.16666666666666666,0.83333333333333337,250,12.5,487.5,0,500,1.953125,0,3.90625,0.13862969993144919,0.095641521658571635,2,4,12
D128_F01_V01,128,1,common_grid,left,detrended_51,0.086906695554409163,0.074472366544568416,0.038569471426091448,8,9,0.12623098826307383,0.0382778579165114,-0.12767976036505232,0.15882483153037044,120,91,29,0.58333333333333337,4,1,12.5,0.09765625,0.15882483153037044,0.14904144443833722,0,True,True,91,10,10,0.58333333333333337,0.083333333333333329,0.91666666666666663,0,1,300,12.5,487.5,0,500,2.34375,0,3.90625,0.1046390668545632,0.097539595789517694,5,5,10
D128_F01_V01,128,1,common_grid,right,detrended_51,0.050428771387825366,0.046082805734358703,0.014814256857228938,6,14,0.24650322939093,0.01528276864569182,-0.12191827470268704,0.13009965577134927,120,80,40,0.25,2,1,12.5,0.09765625,0.13009965577134927,0.12707925544708173,36,False,False,80,8,8,0.66666666666666674,0.25,0.91666666666666663,0.16666666666666666,1,162.5,12.5,487.5,0,500,1.26953125,0,3.90625,0.099233176876365764,0.096456288044444644,0,0,8
D128_F03_V01,128,3,common_grid,left,raw,0.21380344436370513,0.20890616390370356,0.10024624262753609,51,61,,0.12779286615139468,-0.0071189104715263969,0.30919548666999835,120,119,1,0.41666666666666669,3,1,12.5,0.09765625,0.30919548666999835,0.30522386599556295,0,True,True,119,12,12,0.5,0.083333333333333329,0.75,0,0.83333333333333337,62.5,12.5,137.5,0,150,0.48828125,0,1.171875,0.24051571916636311,0.23024673627445641,11,12,12
D128_F03_V01,128,3,common_grid,right,raw,0.16981532322386927,0.15321574768204185,0.094035443569750354,39,49,,0.11288569740421828,-0.033044065036138902,0.24155161318381618,120,119,1,0.41666666666666669,3,5,112.5,0.87890625,0.24155161318381618,0.20507610879850369,0,True,True,119,12,12,0.66666666666666674,0.083333333333333329,0.91666666666666663,0,1,62.5,12.5,162.5,0,175,0.48828125,0,1.3671875,0.21896277840858999,0.20446141692867015,12,12,12
D128_F03_V01,128,3,common_grid,left,detrended_51,0.15179674449867858,0.15079058184430366,0.066956190217235853,39,44,0.49244391971664703,0.06450930703329863,-0.066564323100860495,0.23061358322541309,120,106,14,0.41666666666666669,3,1,12.5,0.09765625,0.23061358322541309,0.24273697510511058,0,True,True,106,11,11,0.58333333333333337,0.083333333333333329,0.75,0,0.83333333333333337,62.5,12.5,187.5,0,200,0.48828125,0,1.5625,0.18106517338276804,0.18006796342395825,11,11,11
D128_F03_V01,128,3,common_grid,right,detrended_51,0.1174001360604163,0.13532566269110294,0.074699982737428949,37,44,0.45949024237794295,0.067360377522758697,-0.064326372868138665,0.22247357363870932,120,109,11,0.41666666666666669,3,5,112.5,0.87890625,0.22247357363870932,0.23453279780812036,0,True,True,109,11,11,0.58333333333333337,0.083333333333333329,0.91666666666666663,0,1,62.5,12.5,162.5,0,175,0.48828125,0,1.3671875,0.17405781193807296,0.18458474468013183,11,11,11
D128_F05_V01,128,5,common_grid,left,raw,0.071743143633689138,0.017746962286613578,0.047296968572688475,14,28,,0.097197641164657261,0.010041067740990409,0.21339035440314907,120,120,0,0.25,2,14,337.5,2.63671875,0.21339035440314907,0.13117172577408431,0,True,True,120,12,12,0.5,0.083333333333333329,0.91666666666666663,0,1,275,12.5,437.5,0,450,2.1484375,0,3.515625,0.15840276799210073,0.1134228095170753,5,5,12
D128_F05_V01,128,5,common_grid,right,raw,0.065513944885489797,0.023226012946898564,0.041908344130541703,16,31,,0.065998728734949358,-0.073251326261963734,0.18150096460023579,120,110,10,0.58333333333333337,4,5,112.5,0.87890625,0.18150096460023579,0.1368560176400111,0,True,True,110,11,11,0.58333333333333337,0.083333333333333329,0.75,0,0.83333333333333337,112.5,12.5,387.5,0,400,0.87890625,0,3.125,0.14822372642862719,0.12731857640164904,7,7,11
D128_F05_V01,128,5,common_grid,left,detrended_51,0.010769775085207291,0.030230253926040923,0.029706398147708479,10,21,-0.054246822696020575,0.031417722401178225,-0.08116463841923266,0.13768358403731498,120,88,32,0.25,2,14,337.5,2.63671875,0.13768358403731498,0.13743615292536684,0,True,True,88,9,9,0.41666666666666669,0.083333333333333329,0.91666666666666663,0,1,62.5,12.5,412.5,0,425,0.48828125,0,3.3203125,0.094963056863863665,0.091293740290803713,3,4,9
