diameter,predictor,outcome,n_volumes,spearman,interpretation
128,source_z,real_high_rho,5,-0.20000000000000001,descriptive n=5; no p-value
128,source_z,real_map_rho,5,-0.10000000000000003,descriptive n=5; no p-value
128,source_z,real_peak_rho,5,0.10000000000000003,descriptive n=5; no p-value
128,source_z,real_specificity,5,-0.10000000000000003,descriptive n=5; no p-value
128,proximal_z,real_high_rho,5,-0.099999999999999978,descriptive n=5; no p-value
128,proximal_z,real_map_rho,5,0,descriptive n=5; no p-value
128,proximal_z,real_peak_rho,5,0.20000000000000001,descriptive n=5; no p-value
128,proximal_z,real_specificity,5,0,descriptive n=5; no p-value
128,background_rcv,real_high_rho,5,-0.90000000000000002,descriptive n=5; no p-value
128,background_rcv,real_map_rho,5,-0.20000000000000001,descriptive n=5; no p-value
128,background_rcv,real_peak_rho,5,-0.80000000000000004,descriptive n=5; no p-value
128,background_rcv,real_specificity,5,-0.20000000000000001,descriptive n=5; no p-value
128,z_top_jitter,real_high_rho,5,,descriptive n=5; no p-value
128,z_top_jitter,real_map_rho,5,,descriptive n=5; no p-value
128,z_top_jitter,real_peak_rho,5,,descriptive n=5; no p-value
128,z_top_jitter,real_specificity,5,,descriptive n=5; no p-value
128,X1_jitter,real_high_rho,5,,descriptive n=5; no p-value
128,X1_jitter,real_map_rho,5,,descriptive n=5; no p-value
128,X1_jitter,real_peak_rho,5,,descriptive n=5; no p-value
128,X1_jitter,real_specificity,5,,descriptive n=5; no p-value
128,valid_fraction,real_high_rho,5,0.5,descriptive n=5; no p-value
128,valid_fraction,real_map_rho,5,0.60000000000000009,descriptive n=5; no p-value
128,valid_fraction,real_peak_rho,5,0.59999999999999998,descriptive n=5; no p-value
128,valid_fraction,real_specificity,5,0.60000000000000009,descriptive n=5; no p-value
128,negative_control_rho,real_high_rho,5,0,descriptive n=5; no p-value
128,negative_control_rho,real_map_rho,5,-0.30000000000000004,descriptive n=5; no p-value
128,negative_control_rho,real_peak_rho,5,-0.30000000000000004,descriptive n=5; no p-value
128,negative_control_rho,real_specificity,5,-0.30000000000000004,descriptive n=5; no p-value
235,source_z,real_high_rho,5,0.70000000000000007,descriptive n=5; no p-value
235,source_z,real_map_rho,5,0.5,descriptive n=5; no p-value
235,source_z,real_peak_rho,5,0.80000000000000004,descriptive n=5; no p-value
235,source_z,real_specificity,5,-0.099999999999999978,descriptive n=5; no p-value
235,proximal_z,real_high_rho,5,0.60000000000000009,descriptive n=5; no p-value
235,proximal_z,real_map_rho,5,0.60000000000000009,descriptive n=5; no p-value
235,proximal_z,real_peak_rho,5,0.60000000000000009,descriptive n=5; no p-value
235,proximal_z,real_specificity,5,0.29999999999999999,descriptive n=5; no p-value
235,background_rcv,real_high_rho,5,0.20000000000000001,descriptive n=5; no p-value
235,background_rcv,real_map_rho,5,-0.20000000000000001,descriptive n=5; no p-value
