scan_id,diameter_um,flow_mm_s,grid_scope,arrays,pixels,finite_min,nan_count,inf_count,negative_count,min,max,zero_fraction_mean
D128_F01_V01,128,1,common_grid,500,87750000,1,0,0,0,0.021147424650810129,614582997779.5741,0
D128_F03_V01,128,3,common_grid,500,87750000,1,0,0,0,0.033862774578813572,718746489514.53027,0
D128_F05_V01,128,5,common_grid,500,87750000,1,0,0,0,0.48593893183005649,533913327236.46381,0
D128_F07_V01,128,7,common_grid,500,87750000,1,0,0,0,0.32320009962972146,1138036340599.9514,0
D128_F10_V01,128,10,common_grid,500,87750000,1,0,0,0,0.17467766055121256,467441327795.315,0
D235_F01_V01,235,1,common_grid,500,87750000,1,0,0,0,0.043137629523038873,328782464197.93585,0
D235_F03_V01,235,3,common_grid,500,87750000,1,0,0,0,0.0011456869851020509,327075742559.30634,0
D235_F05_V01,235,5,common_grid,500,87750000,1,0,0,0,0.029012968150681159,170472110830.88245,0
D235_F07_V01,235,7,common_grid,500,87750000,1,0,0,0,0.088301118578567317,157978773335.06998,0
D235_F10_V01,235,10,common_grid,500,87750000,1,0,0,0,0.19205060210268199,164204566584.44629,0
D285_F01_V01,285,1,common_grid,500,87750000,1,0,0,0,0.19872316183203731,952445454141.35547,0
D285_F03_V01,285,3,common_grid,500,87750000,1,0,0,0,0.036131429854102649,987758639129.25891,0
D285_F05_V01,285,5,common_grid,500,87750000,1,0,0,0,0.23182168330937594,1002635583586.1504,0
D285_F07_V01,285,7,common_grid,500,87750000,1,0,0,0,0.13066315350791588,226901458526.96347,0
D285_F10_V01,285,10,common_grid,500,87750000,1,0,0,0,0.070367863513303139,816360573233.80627,0
D500_F01_V01,500,1,common_grid,500,87750000,1,0,0,0,0.013544414225676099,606740816765.25964,0
D500_F02_V01,500,2,d500_extension,500,87750000,1,0,0,0,0.061322404425305642,587024383467.15735,0
D500_F03_V01,500,3,common_grid,500,87750000,1,0,0,0,0.15368292986630952,606740816765.25964,0
D500_F05_V01,500,5,common_grid,500,87750000,1,0,0,0,0.00090620059799257594,392554107797.0166,0
D500_F07_V01,500,7,common_grid,500,87750000,1,0,0,0,0.048591575624056395,494824403742.4314,0
D500_F09_V01,500,9,d500_extension,500,87750000,1,0,0,0,0.12865784573356612,494824403742.4314,0
D500_F10_V01,500,10,common_grid,500,87750000,1,0,0,0,0.051946254383335583,500652680641.56323,0
D500_F12_V01,500,12,d500_extension,500,87750000,1,0,0,0,0.11711758184594366,500652680641.56323,0
