scan_id,diameter_um,flow_mm_s,grid_scope,region,side,n,median,min,max,p5,p10,p90,p95,p99,mad
D128_F01_V01,128,1,common_grid,source,real,486,218.57397386423327,127.75648852980024,294.96573274196311,157.9640831608819,173.40507838525815,263.69447064433905,264.70856972955715,293.99487310481993,15.644951300795753
D128_F01_V01,128,1,common_grid,source,left,486,218.57397386423327,127.75648852980024,295.14420933912902,157.9640831608819,173.48958619833991,263.87490257838613,264.75573225493713,294.55690828984848,15.644360106627374
D128_F01_V01,128,1,common_grid,source,right,486,218.57397386423327,127.75648852980024,295.14420933912902,157.9640831608819,173.48958619833991,263.87490257838613,264.75573225493713,294.55690828984848,15.644360106627374
D128_F01_V01,128,1,common_grid,source,bg,486,437.14794772846653,255.51297705960047,590.28841867825804,315.9281663217638,346.97917239667981,527.74980515677225,529.51146450987426,589.11381657969696,31.288720213254749
D128_F01_V01,128,1,common_grid,s1,real,486,27.039350346083921,15.848355702918512,36.421694553666164,19.634881825749076,21.478540347437587,32.649584888997381,32.679776597157137,36.376977263442257,1.9719328692789055
D128_F01_V01,128,1,common_grid,s1,left,486,27.039350346083921,15.848355702918512,36.45827846833388,19.634881825749076,21.466989984403408,32.65238713208312,32.678449890191992,36.396396127027423,1.9680174860478274
D128_F01_V01,128,1,common_grid,s1,right,486,27.039350346083921,15.848355702918512,36.45827846833388,19.634881825749076,21.466989984403408,32.65238713208312,32.678449890191992,36.396396127027423,1.9680174860478274
D128_F01_V01,128,1,common_grid,s1,bg,486,54.078700692167843,31.696711405837025,72.91655693666776,39.269763651498153,42.933979968806817,65.304774264166241,65.356899780383984,72.792792254054845,3.9360349720956549
D128_F01_V01,128,1,common_grid,s2,real,486,45.12740081511248,26.170389800727804,60.812309135877946,32.616029877013901,35.784089475674925,54.457412828229479,54.575370955355858,60.704602731302884,3.2605234628461481
D128_F01_V01,128,1,common_grid,s2,left,486,45.12740081511248,26.170389800727804,60.864329948533431,32.616029877013901,35.762490399943644,54.460892876170675,54.572478037393012,60.752755933194024,3.2536964911201451
D128_F01_V01,128,1,common_grid,s2,right,486,45.12740081511248,26.170389800727804,60.864329948533431,32.616029877013901,35.762490399943644,54.460892876170675,54.572478037393012,60.752755933194024,3.2536964911201451
D128_F01_V01,128,1,common_grid,s2,bg,486,90.254801630224961,52.340779601455608,121.72865989706686,65.232059754027802,71.524980799887288,108.92178575234135,109.14495607478602,121.50551186638805,6.5073929822402903
D128_F01_V01,128,1,common_grid,s3,real,486,52.740431086139878,30.900886132800306,71.372374401841967,38.119920113261109,42.148347472989776,63.527168474234607,64.169287961025333,70.867656044122398,4.1323587356884879
D128_F01_V01,128,1,common_grid,s3,left,486,52.740431086139878,30.900886132800306,71.485746621355602,38.119920113261109,42.243003034615619,63.613044820006998,64.189182257308062,71.134823049834125,4.1531775208647836
D128_F01_V01,128,1,common_grid,s3,right,486,52.740431086139878,30.900886132800306,71.485746621355602,38.119920113261109,42.243003034615619,63.613044820006998,64.189182257308062,71.134823049834125,4.1531775208647836
D128_F01_V01,128,1,common_grid,s3,bg,486,105.48086217227976,61.801772265600611,142.9714932427112,76.239840226522219,84.486006069231237,127.226089640014,128.37836451461612,142.26964609966825,8.3063550417295673
D128_F01_V01,128,1,common_grid,s4,real,486,51.870040673320688,30.375938942730691,70.175724373907983,37.48580334798784,41.433152748751681,62.488146549735703,63.07220430087618,69.712039660964635,4.0347944176785973
D128_F01_V01,128,1,common_grid,s4,left,486,51.870040673320688,30.375938942730691,70.261018058827162,37.48580334798784,41.519711983764488,62.574163287004396,63.082231294629707,69.959300855890632,4.0492536254871752
D128_F01_V01,128,1,common_grid,s4,right,486,51.870040673320688,30.375938942730691,70.261018058827162,37.48580334798784,41.519711983764488,62.574163287004396,63.082231294629707,69.959300855890632,4.0492536254871752
D128_F01_V01,128,1,common_grid,s4,bg,486,103.74008134664138,60.751877885461383,140.52203611765432,74.97160669597568,83.039423967528975,125.14832657400879,126.16446258925941,139.91860171178126,8.0985072509743503
D128_F01_V01,128,1,common_grid,s5,real,486,42.998305673693423,24.971625769310286,57.92583925512065,31.066900147697652,34.086875237712746,51.87717542734724,52.006921001090156,57.825412106463695,3.1271336177756979
D128_F01_V01,128,1,common_grid,s5,left,486,42.998305673693423,24.971625769310286,57.99509284250172,31.066900147697652,34.082871170711741,51.879429707105174,52.019923286815782,57.860335236920967,3.1208383435210223
D128_F01_V01,128,1,common_grid,s5,right,486,42.998305673693423,24.971625769310286,57.99509284250172,31.066900147697652,34.082871170711741,51.879429707105174,52.019923286815782,57.860335236920967,3.1208383435210223
D128_F01_V01,128,1,common_grid,s5,bg,486,85.996611347386846,49.943251538620572,115.99018568500344,62.133800295395304,68.165742341423481,103.75885941421035,104.03984657363156,115.72067047384193,6.2416766870420446
D128_F01_V01,128,1,common_grid,s6,real,486,25.562154680167975,14.998636444771316,34.460759853651332,18.551385554516038,20.341185907485901,30.85930747985163,30.920651897306513,34.383579262668775,1.8600119959850439
D128_F01_V01,128,1,common_grid,s6,left,486,25.562154680167975,14.998636444771316,34.470939895074864,18.551385554516038,20.320073282864165,30.853530261039136,30.919310536868576,34.399642865047113,1.8685523872997329
D128_F01_V01,128,1,common_grid,s6,right,486,25.562154680167975,14.998636444771316,34.470939895074864,18.551385554516038,20.320073282864165,30.853530261039136,30.919310536868576,34.399642865047113,1.8685523872997329
D128_F01_V01,128,1,common_grid,s6,bg,486,51.12430936033595,29.997272889542632,68.941879790149727,37.102771109032076,40.64014656572833,61.707060522078272,61.838621073737151,68.799285730094226,3.7371047745994659
D128_F01_V01,128,1,common_grid,t01,real,486,57.092130178088951,33.424394144952721,77.364084636567668,41.27018514073761,45.666201864746938,68.272478161770636,69.65123135855319,75.718232942510852,4.6225049785542183
D128_F01_V01,128,1,common_grid,t01,left,486,57.092130178088951,33.424394144952721,77.61010518334318,41.27018514073761,45.754359331506677,68.468454188255905,69.660467877823493,76.783687937046324,4.6249591620670643
D128_F01_V01,128,1,common_grid,t01,right,486,57.092130178088858,33.424394144952721,77.61010518334318,41.27018514073761,45.754359331506677,68.468454188255919,69.660467877823493,76.783687937046167,4.624959162067217
D128_F01_V01,128,1,common_grid,t01,bg,486,114.18426035617777,66.848788289905457,155.22021036668636,82.540370281475219,91.508718663013354,136.93690837651184,139.32093575564699,153.56737587409248,9.249918324134299
D128_F01_V01,128,1,common_grid,t02,real,486,59.682393135876524,34.940854815978646,80.874083686737166,43.142608388874123,47.738071853554985,71.3699921390415,72.811299199595041,79.153559902782376,4.8322274636110834
D128_F01_V01,128,1,common_grid,t02,left,486,59.682393135876524,34.940854815978646,81.131266155605616,43.142608388874123,47.830229013790657,71.57485957385984,72.820954778614038,80.267354460002295,4.8347929931295113
D128_F01_V01,128,1,common_grid,t02,right,486,59.682393135876438,34.940854815978646,81.131266155605616,43.142608388874123,47.830229013790657,71.574859573859854,72.820954778614038,80.267354460002153,4.8347929931296534
D128_F01_V01,128,1,common_grid,t02,bg,486,119.36478627175296,69.881709631957278,162.26253231121126,86.285216777748218,95.660458027581342,143.14971914771968,145.64190955722808,160.53470892000448,9.6695859862591647
D128_F01_V01,128,1,common_grid,t03,real,486,60.997126299869905,35.710560891609028,82.655644953700019,44.092989482019917,48.789685620249571,72.942189409441141,74.415246775108869,80.897220047498749,4.9386757705331092
D128_F01_V01,128,1,common_grid,t03,left,486,60.997126299869905,35.710560891609028,82.918492850900918,44.092989482019917,48.883872894703117,73.151569833712912,74.425115055215855,82.035550193278581,4.941297815659631
