scan_id,diameter_um,flow_mm_s,grid_scope,nominal_frames,valid_geometry_frames,invalid_frames,valid_fraction,longest_invalid_run,invalid_gaps,X4_jitter_median_px,X4_jitter_p95_px,X4_jitter_flag_fraction,X1_jitter_median_px,X1_jitter_p95_px,X1_jitter_flag_fraction,z_top_jitter_median_px,z_top_jitter_p95_px,z_top_jitter_flag_fraction
D128_F01_V01,128,1,common_grid,500,486,14,0.97199999999999998,4,11,0.53563827874296521,1.6190223634424592,0.0021052631578947368,2,6,0,0,1,0.082105263157894737
D128_F03_V01,128,3,common_grid,500,468,32,0.93600000000000005,18,5,0.51239902662676684,1.5139966380116832,0.0021645021645021645,2,6,0,0,1,0.071428571428571425
D128_F05_V01,128,5,common_grid,500,491,9,0.98199999999999998,6,4,0.53704224446840954,1.6316397294950704,0,2,6,0.00205761316872428,0,1,0.072016460905349799
D128_F07_V01,128,7,common_grid,500,493,7,0.98599999999999999,2,6,0.55798002515564349,1.7746074102891407,0,2,6,0,0,1,0.071868583162217656
D128_F10_V01,128,10,common_grid,500,484,16,0.96799999999999997,14,3,0.54343933959468416,1.6835357651746732,0,2,5.0000000000000018,0,0,1,0.072916666666666671
D235_F01_V01,235,1,common_grid,500,448,52,0.89600000000000002,8,34,0.42743050096129309,1.0996412297289218,0,2,6,0.004830917874396135,0,1,0.079710144927536225
D235_F03_V01,235,3,common_grid,500,448,52,0.89600000000000002,4,37,0.34115214020238227,1.0577658476129415,0.0024330900243309003,2,6,0.0024330900243309003,0,1,0.075425790754257913
D235_F05_V01,235,5,common_grid,500,424,76,0.84799999999999998,10,42,0.36043348903655215,0.93040940167405906,0.002617801047120419,2,6,0.005235602094240838,0,1,0.089005235602094238
D235_F07_V01,235,7,common_grid,500,444,56,0.88800000000000001,10,33,0.33107406158735841,0.95958655443761454,0,2,6,0,0,1,0.056097560975609757
D235_F10_V01,235,10,common_grid,500,461,39,0.92200000000000004,21,13,0.36204744951518819,1.0932725920718154,0,2,6,0,0,1,0.073660714285714288
D285_F01_V01,285,1,common_grid,500,453,47,0.90600000000000003,40,3,0.39061753173476177,1.2812463552754185,0,2,7,0.0066815144766146995,0,1,0.07126948775055679
D285_F03_V01,285,3,common_grid,500,474,26,0.94799999999999995,26,1,0.41182990504125883,1.2137763966635802,0.0021186440677966102,2,6,0.0063559322033898309,0,1,0.06991525423728813
D285_F05_V01,285,5,common_grid,500,492,8,0.98399999999999999,2,6,0.42403302824550337,1.2249988011606814,0,2,6,0.0041237113402061857,0,1,0.088659793814432994
D285_F07_V01,285,7,common_grid,500,458,42,0.91600000000000004,21,6,0.39847876037964625,1.1695415590603488,0.0066518847006651885,2,5.0000000000000284,0.0022172949002217295,0,1,0.079822616407982258
D285_F10_V01,285,10,common_grid,500,494,6,0.98799999999999999,6,1,0.42828289813510878,1.2101035073898772,0.0020325203252032522,2,6,0.0040650406504065045,0,1,0.052845528455284556
D500_F01_V01,500,1,common_grid,500,500,0,1,0,0,0.81089073154947755,2.4073450596309827,0.002004008016032064,2,6,0.012024048096192385,0,1,0.074148296593186377
D500_F02_V01,500,2,d500_extension,500,493,7,0.98599999999999999,6,2,0.72946468678098597,2.1494305297345631,0.0020408163265306124,2,6,0.0061224489795918364,0,1,0.071428571428571425
D500_F03_V01,500,3,common_grid,500,490,10,0.97999999999999998,10,1,0.75934402653939514,2.2351879212968595,0,2,6,0.0040983606557377051,0,1,0.065573770491803282
D500_F05_V01,500,5,common_grid,500,471,29,0.94199999999999995,29,1,0.74376644705094463,2.161165655835986,0,2,7,0.010638297872340425,0,1,0.061702127659574467
D500_F07_V01,500,7,common_grid,500,477,23,0.95399999999999996,20,2,0.86322228532520739,2.2902382488790844,0,2,7,0.0063157894736842104,0,1,0.065263157894736842
D500_F09_V01,500,9,d500_extension,500,482,18,0.96399999999999997,18,1,0.64734456955000041,2.2172380374939848,0,2,7,0.0062370062370062374,0,1,0.076923076923076927
D500_F10_V01,500,10,common_grid,500,500,0,1,0,0,0.77024913124233763,2.0310632080000333,0,2,6,0,0,1,0.076152304609218444
D500_F12_V01,500,12,d500_extension,500,500,0,1,0,0,0.74806031043101484,2.027240623305357,0,2,6,0.0080160320641282558,0,1,0.060120240480961921
