scan_id,diameter_um,flow_mm_s,nominal_frames,geometry_valid_frames,geometry_valid_fraction,grid_scope,source_mean_raw_median,source_mean_raw_q1,source_mean_raw_q3,tail_mean_raw_100um_median,tail_mean_raw_100um_q1,tail_mean_raw_100um_q3,tail_mean_raw_200um_median,tail_mean_raw_200um_q1,tail_mean_raw_200um_q3,tail_mean_raw_300um_median,tail_mean_raw_300um_q1,tail_mean_raw_300um_q3,tail_mean_raw_500um_median,tail_mean_raw_500um_q1,tail_mean_raw_500um_q3,ri_tail_100um_median,ri_tail_100um_q1,ri_tail_100um_q3,ri_tail_200um_median,ri_tail_200um_q1,ri_tail_200um_q3,ri_tail_300um_median,ri_tail_300um_q1,ri_tail_300um_q3,ri_tail_500um_median,ri_tail_500um_q1,ri_tail_500um_q3,ri_tail_median
D128_F01_V01,128,1,500,486,0.97199999999999998,common_grid,149475499.77011237,132650359.82718074,172729139.1942271,72395639.028261155,64823103.99653545,79702832.96590814,57735989.723156095,53598448.697957076,62792673.749480426,49249705.73953104,46043368.386152521,52929331.49318108,39973806.389386863,37845820.749309584,42320008.450204462,0.4820855179508291,0.41653906429691839,0.55068606540400156,0.38844984551514228,0.3430941482826762,0.4330124233278691,0.33143218359168181,0.29350188432806723,0.37112308908650188,0.268942562232105,0.23732681998190502,0.30105489209188557,0.268942562232105
D128_F03_V01,128,3,500,468,0.93600000000000005,common_grid,155467660.52228588,132167039.8839626,175681069.34421086,71070096.212861702,63800033.261021286,78271103.29034014,56910875.552080728,52171979.355432861,61784051.188787058,48456393.027518727,45131825.368233383,52148624.848252438,39258979.062311128,37185926.409073353,41564579.045447923,0.47068195903111443,0.39652270490755337,0.53595553315732902,0.37336217316576453,0.32428841666069841,0.43077532041592825,0.31709357014191797,0.27860188505670991,0.36458973093145075,0.25632875814502504,0.22534986429448922,0.29443373259884803,0.25632875814502504
D128_F05_V01,128,5,500,491,0.98199999999999998,common_grid,154204959.81361899,130197536.39012623,179444599.79547477,69996569.384510368,63243723.171454996,79317538.911676973,56014685.492230721,52082588.98968862,62195351.788475029,48104364.41014722,45197400.811026648,52020835.581504203,39176211.170652874,37238277.944774546,41721615.355668485,0.46479240330922622,0.39110577895406212,0.53637383632291735,0.3703086726001541,0.31729862296670069,0.43359670934366856,0.31468877559387143,0.27369154766887055,0.3714957938101992,0.25664555029926406,0.22326579958711318,0.29907177718129108,0.25664555029926406
D128_F07_V01,128,7,500,493,0.98599999999999999,common_grid,123276893.01101619,107258461.32899462,145790054.74372515,71417104.33005555,63829752.704495102,81639182.533636808,58046859.441810563,52564878.451729648,64229355.238026708,49489038.404421635,45658218.031432919,53977034.616411336,40208950.329087123,37743860.045779429,43144913.991415724,0.57331493600650796,0.49569416064950461,0.66628571015174898,0.46504271858914081,0.40630330628490346,0.53158989143206237,0.39801500860738426,0.34835121846620393,0.45170774581313761,0.32317992329725742,0.28261489166851234,0.3689243645778808,0.32317992329725742
D128_F10_V01,128,10,500,484,0.96799999999999997,common_grid,154338856.44940418,134407536.42901459,180513535.03376815,71810269.427337751,64253710.385136411,81431405.924673349,57521284.150657237,53382275.92025058,63399420.003561556,49328429.264857009,46008610.585950375,53077953.767147318,39774709.246335611,37592504.07436718,42285898.512543879,0.46592826556091776,0.4025051715059686,0.53744967059790638,0.37404227426518855,0.32258251246636199,0.42591802345014534,0.3193150635672396,0.27670637097916462,0.36325361043922899,0.25946745609265892,0.22359205648591532,0.29367327453694053,0.25946745609265892
D235_F01_V01,235,1,500,448,0.89600000000000002,common_grid,177876490.24867928,161015022.09444004,193789946.86162841,49572377.954609632,46933295.210929409,53546926.784095526,41328847.68481192,39370786.949612767,43767030.561210804,36478741.626309104,35054705.994054295,38240300.349302031,31444029.308825307,30450137.360417295,32520938.313107509,0.28311047688752566,0.25158902924405341,0.32598656079224919,0.23630795449388306,0.21212774953875838,0.26476404377263807,0.20827812879622096,0.18849539504112725,0.23144597731633898,0.17777253294335629,0.16323168798562726,0.19788704636592058,0.17777253294335629
D235_F03_V01,235,3,500,448,0.89600000000000002,common_grid,184709761.97986138,167071147.12430766,201100625.6940062,50962102.859649494,47748138.315514721,54519578.194260918,42316801.896130212,40448953.437844224,44712210.092196889,37419806.115453139,35989461.869020753,39300771.255114987,32226873.339851588,31259484.884987056,33442787.85843958,0.28145672588177562,0.24950642368454892,0.31545517676658774,0.23376365416959491,0.21265590577164617,0.25867164945163118,0.20573670440297795,0.18708897930802393,0.2277391726056395,0.17681734386491266,0.16209517901895912,0.19495821839438393,0.17681734386491266
D235_F05_V01,235,5,500,424,0.84799999999999998,common_grid,183653097.83202252,168880457.73457608,201892335.99852276,50254362.310051113,47720933.890438393,53748420.09462554,42101220.024023369,40076405.832561404,43891737.453366369,37063096.986265123,35737345.90993765,38340772.102718234,31795299.089069732,31001329.484306239,32814175.264882788,0.27347892088812459,0.24938635694163985,0.30233246859236912,0.2302556080705461,0.20804737559887446,0.24934019826507153,0.2016608611246801,0.18401226357122674,0.22024072585644291,0.17337407043624395,0.15906373757387499,0.18879453124812823,0.17337407043624395
D235_F07_V01,235,7,500,444,0.88800000000000001,common_grid,182131252.49924386,166275882.58188313,200816824.60399553,50688172.083879545,47746383.106656834,53856833.914612889,41950175.693497963,40190138.759214982,43989544.284668028,36962182.544703312,35386040.661943913,38461354.696389996,31695067.245719582,30739773.259163246,32683225.950910397,0.2806880363563517,0.25198563181684219,0.31330722275319617,0.23401573804140005,0.21139976840215519,0.25629952100559455,0.20497702881442795,0.18677117372592714,0.22381562661135729,0.17529068400131981,0.15971701157615575,0.19141672614851082,0.17529068400131981
D235_F10_V01,235,10,500,461,0.92200000000000004,common_grid,189435690.56708992,169085420.99643743,210074605.62841117,51238962.861048497,47770568.602953278,54781002.892451018,42309358.622942351,40351991.755634367,44663078.029805616,37139710.331185162,35781557.08318916,38981271.028772525,31943516.680465519,30890365.277597558,32941380.072071731,0.2774168692334088,0.24767002360710119,0.3069317213467016,0.22825631330610921,0.20527936212807149,0.2503024140809787,0.19871596028412211,0.18006390120405891,0.2203058778946079,0.16937144089605621,0.15509873961097281,0.18773872618671031,0.16937144089605621
D285_F01_V01,285,1,500,453,0.90600000000000003,common_grid,182701265.06734148,168632501.92807987,205254688.43936491,46215373.267647833,43972550.819966458,48878005.504601166,38738383.023642309,37316056.204843037,40439969.648760654,34478073.327728957,33305161.631526768,35736625.845241509,29879904.592537452,29043271.93413125,30871373.253228649,0.25005788467519863,0.22915681338290181,0.2711286173383558,0.2111973443426412,0.19211319355869591,0.22767355700736031,0.18732631882992229,0.17073611258697891,0.20255728241381379,0.1625186793580691,0.1486494095514439,0.17534972855749531,0.1625186793580691
D285_F03_V01,285,3,500,474,0.94799999999999995,common_grid,187971723.14791086,170365747.09384257,211534931.39827859,46919403.805139951,44476353.629256301,49175240.792515963,39480676.419284903,37783312.120747477,41024789.279267691,34996145.117201149,33764720.170862123,36429724.828226298,30325801.393416092,29464763.344867427,31374345.584450968,0.2477741102938914,0.22390891103577062,0.27001198847994146,0.20869036593212437,0.18883342539277923,0.22648603017698055,0.18637091805780187,0.16775574500038754,0.2019141201739707,0.16206788236239961,0.14558397288184324,0.17418457345601995,0.16206788236239961
D285_F05_V01,285,5,500,492,0.98399999999999999,common_grid,188761489.6040985,172831215.94699335,212648453.4714632,46885103.350249022,44823040.697679408,49438680.292921081,39346864.296426252,37948165.093358003,41074650.893607177,35010011.128183343,33723457.168488592,36265438.722268514,30196015.411628582,29303568.822764196,31304092.925264578,0.24621206821365479,0.22033708149123543,0.27034681446571562,0.20521588883451555,0.186296407568599,0.22510866951488848,0.18294054964168288,0.1659066114286801,0.19985407942321562,0.15851643840265062,0.14389210219362586,0.17323287944925103,0.15851643840265062
D285_F07_V01,285,7,500,458,0.91600000000000004,common_grid,191099592.95647657,173848508.7559956,211605526.37179095,47392841.943953529,44675294.918920137,49988002.355371051,40044623.319057375,38189716.499651484,41877629.052363381,35600521.828541696,34085478.327570818,37133133.232274771,30866888.17562015,29779350.572762512,32173524.136429362,0.24518251916612088,0.22796261437586146,0.26607175973134095,0.20700660211090971,0.19362635208047979,0.22520788841537154,0.18521065518928836,0.17260398852804923,0.20027803286536544,0.16095275520138355,0.15048709118374848,0.17302963815898134,0.16095275520138355
D285_F10_V01,285,10,500,494,0.98799999999999999,common_grid,181027984.37412828,167132464.35862279,202431056.41916287,45084849.326288551,42843645.595978901,47401523.174918637,37943264.382452726,36570217.139878914,39370094.563055634,33610216.089180544,32681746.702148795,34824858.949595079,29135322.83867304,28403756.304515041,30014411.077335104,0.24559664661580899,0.22590104319774681,0.26891084705959456,0.2067411758494504,0.19167019843108565,0.22554921707190834,0.18456219465634494,0.16974112233070227,0.20024112421523288,0.16013145527090444,0.14725578326082897,0.17390285814168308,0.16013145527090444
