flow_mm_s,subset,n_frames,source_mean_raw_median,tail_mean_raw_500um_median,ri_tail_median,source_segment_min_median,source_segment_max_median,source_segment_range_pct_of_volume_subset_median,x1_apparent_width_um_median,z_top_edge_px_median,source_area_um2_median,direct_candidate_supported_fraction_of_valid,rho_x1_vs_source,rho_z_top_vs_source,rho_source_area_vs_source,grid_scope,source_vs_d235_percent_difference,tail500_vs_d235_percent_difference,ri_vs_d235_percent_difference,source_vs_d285_percent_difference,tail500_vs_d285_percent_difference,ri_vs_d285_percent_difference
1,all_valid,500,102258896.48791289,24194620.539239511,0.23497901579995531,86667253.094364241,130965404.98531608,43.319606814051561,615.94999999999993,168.5,241877.46552734374,0.87,-0.068939701650623353,0.90605840932375803,-0.063278104446585257,common_grid,-42.511291770514255,-23.054961240451217,32.179595975508057,-44.029453517893543,-19.027115818562045,44.585851132987649
1,central80_x1,441,102301956.07845949,24195112.814794172,0.23437733720389939,86667253.094364241,130965404.98531608,43.301373296301207,615.94999999999993,168.5,241877.46552734374,0.87,-0.068939701650623353,0.90605840932375803,-0.063278104446585257,common_grid,-42.752886172194778,-22.99739907407367,32.029876544020041,-43.82110576034453,-19.129371476968746,43.499979436499338
1,central80_x1_z_top,368,102063537.81503183,24167564.639431298,0.23556836872852174,86667253.094364241,130965404.98531608,43.402524387536616,615.94999999999993,168.5,241877.46552734374,0.87,-0.068939701650623353,0.90605840932375803,-0.063278104446585257,common_grid,-42.291886562903095,-22.533024592300031,32.503540305057363,-44.048361742830089,-19.041257454893021,44.198902666354648
1,central80_z_top,417,102029576.84901598,24166817.801540967,0.2356712443484284,86667253.094364241,130965404.98531608,43.41697109702271,615.94999999999993,168.5,241877.46552734374,0.87,-0.068939701650623353,0.90605840932375803,-0.063278104446585257,common_grid,-42.15243351883646,-22.725196918586526,32.446290049854703,-44.121346756557728,-18.926419949608373,44.892693837886831
1,direct_candidate_supported_only,435,102301956.07845949,24188550.74414276,0.23446313892393009,86667253.094364241,130965404.98531608,43.301373296301207,615.94999999999993,168.5,241877.46552734374,0.87,-0.068939701650623353,0.90605840932375803,-0.063278104446585257,common_grid,-42.000316453779632,-22.795339148253088,31.956838432471724,-43.661753468690875,-18.79813022383194,43.097780517266195
1,direct_plus_central_geometry,325,101683224.1208836,24168311.477321625,0.2356471843426074,86667253.094364241,130965404.98531608,43.564857697951311,615.94999999999993,168.5,241877.46552734374,0.87,-0.068939701650623353,0.90605840932375803,-0.063278104446585257,common_grid,-42.014658936923141,-22.530630669977004,32.098078989391233,-44.002492540541816,-18.866074199730239,43.618059021183207
2,all_valid,493,102309084.69468001,24534158.85559801,0.2393583484007043,87150745.406150818,129183624.62383571,41.084210012359314,609.59999999999991,168.5,239392.07304687501,0.86004056795131845,-0.081009666420383264,0.90471359744360091,-0.068142744881789258,d500_extension,,,,,,
2,central80_x1,432,102285888.07045582,24528288.162066791,0.23902785718732655,87150745.406150818,129183624.62383571,41.093527182099756,609.59999999999991,168.5,239392.07304687501,0.86004056795131845,-0.081009666420383264,0.90471359744360091,-0.068142744881789258,d500_extension,,,,,,
2,central80_x1_z_top,356,102345697.32327577,24531885.383885492,0.23879936145952504,87150745.406150818,129183624.62383571,41.069512756278463,609.59999999999991,168.5,239392.07304687501,0.86004056795131845,-0.081009666420383264,0.90471359744360091,-0.068142744881789258,d500_extension,,,,,,
2,central80_z_top,407,102321737.40450621,24529611.912172973,0.23904260435674671,87150745.406150818,129183624.62383571,41.079129698039885,609.59999999999991,168.5,239392.07304687501,0.86004056795131845,-0.081009666420383264,0.90471359744360091,-0.068142744881789258,d500_extension,,,,,,
2,direct_candidate_supported_only,424,102547748.35875379,24528288.162066791,0.23886540260881114,87150745.406150818,129183624.62383571,40.988593011946755,609.59999999999991,168.5,239392.07304687501,0.86004056795131845,-0.081009666420383264,0.90471359744360091,-0.068142744881789258,d500_extension,,,,,,
2,direct_plus_central_geometry,311,102433896.20917957,24526964.411960609,0.23840511784798871,87150745.406150818,129183624.62383571,41.034150582195792,609.59999999999991,168.5,239392.07304687501,0.86004056795131845,-0.081009666420383264,0.90471359744360091,-0.068142744881789258,d500_extension,,,,,,
3,all_valid,490,102185780.50308588,24466443.900593814,0.2388457603803037,86156896.963717908,128914552.53150472,41.843058160617154,609.59999999999991,169.5,239393.0701953125,0.89795918367346939,-0.12988120181358495,0.90449718360979592,-0.12643251519181092,common_grid,-44.677650272633102,-24.080615446057767,35.080504638040686,-45.637684864612261,-19.321360767383972,47.373900922714135
3,central80_x1,430,102116003.18071684,24466443.900593814,0.23872732902337279,86156896.963717908,128914552.53150472,41.871650119440815,609.59999999999991,169.5,239393.0701953125,0.89795918367346939,-0.12988120181358495,0.90449718360979592,-0.12643251519181092,common_grid,-44.6291210942072,-24.180306982226529,34.977926249243339,-45.406187038098416,-19.270441983943172,46.792329260162369
3,central80_x1_z_top,362,101927326.62381682,24433012.938611552,0.23892309195403644,86156896.963717908,128914552.53150472,41.949158271944569,609.59999999999991,169.5,239393.0701953125,0.89795918367346939,-0.12988120181358495,0.90449718360979592,-0.12643251519181092,common_grid,-43.969993353617085,-24.055473520982098,34.141677245072465,-45.00017460947668,-19.077825713289073,46.067576065172318
3,central80_z_top,411,101962434.23090868,24424342.398241092,0.23904836421377679,86156896.963717908,128914552.53150472,41.934714378195324,609.59999999999991,169.5,239393.0701953125,0.89795918367346939,-0.12988120181358495,0.90449718360979592,-0.12643251519181092,common_grid,-44.100082428904088,-24.075705996431608,34.314462618436977,-45.254737757440004,-19.179095731099476,46.512770599168718
3,direct_candidate_supported_only,440,101856867.2817097,24454695.686906576,0.23941557079171649,86156896.963717908,128914552.53150472,41.978176542117886,609.59999999999991,169.5,239393.0701953125,0.89795918367346939,-0.12988120181358495,0.90449718360979592,-0.12643251519181092,common_grid,-44.769614029644892,-23.661904624273138,35.604576578655085,-45.3114183414378,-19.17504280932269,47.541537936890386
3,direct_plus_central_geometry,321,101676702.67744586,24429774.88652388,0.23923374639800951,86156896.963717908,128914552.53150472,42.052559182046927,609.59999999999991,169.5,239393.0701953125,0.89795918367346939,-0.12988120181358495,0.90449718360979592,-0.12643251519181092,common_grid,-44.085893405460389,-23.717558148689744,34.609872125732629,-44.840431117105652,-19.092158760734936,45.82618038832512
5,all_valid,471,101919025.47281048,27208274.131761987,0.26514097787459928,90969606.396519214,124664539.11540316,33.06049342855318,609.59999999999991,182.5,239390.4111328125,0.80891719745222934,-0.23211920623067825,0.87791621828429878,-0.22618164002477553,common_grid,-44.504597702985514,-14.426739451193356,52.930006896331946,-46.006452011704425,-9.8944885248535339,67.264026713185189
