scan_id,flow_mm_s,slow_axis_segment,n_frames,source_mean_raw_median,upper_mean_raw_median,middle_mean_raw_median,lower_mean_raw_median,lower_to_upper_mean_ratio_median
D500_F01_V01,1,0,100,130965404.98531608,299248340.32770377,72736362.507698417,44486868.20933494,0.1500995460312371
D500_F01_V01,1,1,100,114310761.60474092,251806936.96904418,66248716.517608613,44357566.104450464,0.17754403321889589
D500_F01_V01,1,2,100,101785029.83290732,218444058.72999033,62776306.298736215,42677692.488975726,0.19844125661100118
D500_F01_V01,1,3,100,93567003.228161365,187980239.74813032,60449259.989870042,42975421.516207598,0.23188938171696366
D500_F01_V01,1,4,100,86667253.094364241,173921090.71274123,57531721.662576586,40435258.295028552,0.23228350094211989
D500_F02_V01,2,0,94,129183624.62383571,296078709.38710791,72225369.863523394,44639337.501081012,0.15154241657480544
D500_F02_V01,2,1,100,112832746.43823454,249593027.80002433,66065155.86845386,43944539.628741577,0.1751921645119256
D500_F02_V01,2,2,100,102197262.16819899,215891288.57649034,63940172.115793243,43455225.339075953,0.20140690768877292
D500_F02_V01,2,3,99,93754882.776620671,188079013.7543712,59873796.438033819,42860650.481347904,0.22747349550419432
D500_F02_V01,2,4,100,87150745.406150818,174576136.08271492,57655113.386333793,41121282.364523962,0.23533515938766317
D500_F03_V01,3,0,100,128914552.53150472,294946127.06594253,71924609.279485792,45581157.527915008,0.15285569687288764
D500_F03_V01,3,1,100,113331498.44611073,252266667.71142101,65481258.560219571,43663036.087946549,0.17512693355253045
D500_F03_V01,3,2,100,102017975.29841375,217547486.15766716,62696273.872399047,43104505.622177243,0.20056950413423158
D500_F03_V01,3,3,90,94143432.174565539,191286393.62878481,60651822.564450689,42418188.706053853,0.22734212576563009
D500_F03_V01,3,4,100,86156896.963717908,172926297.88201582,57769464.146876365,40648529.301312312,0.23405193763239712
D500_F05_V01,5,0,71,124664539.11540316,268077543.08099467,76687139.407403752,48483064.644373082,0.18119557034793973
D500_F05_V01,5,1,100,112415693.19596589,236061674.08092612,71030283.676476136,45783659.214966312,0.1926437279581962
D500_F05_V01,5,2,100,103103946.04679677,208476126.60531223,68078198.7247127,46477221.448132522,0.22069174965720992
D500_F05_V01,5,3,100,95274296.483077288,188196745.81533635,66178153.001865186,46360584.579489462,0.24548119042477168
D500_F05_V01,5,4,100,90969606.396519214,173781256.29525533,63512932.902648941,44424901.809332788,0.25611901360433276
D500_F07_V01,7,0,80,126011039.44588524,269482745.48456401,77191565.325624615,49220958.335975721,0.18178905652326272
D500_F07_V01,7,1,100,113464244.73389658,235194446.67956787,72415436.890884489,46481523.185080707,0.19921479565175046
D500_F07_V01,7,2,100,105454860.78467594,215788184.3697719,69330322.730603769,46399740.889916033,0.21784558748034918
D500_F07_V01,7,3,100,96925721.708626121,189195254.90942943,67245265.417292029,46169106.548873067,0.24349724850551407
D500_F07_V01,7,4,97,90618027.049596369,172110040.48982516,64322806.451225251,44325245.934299901,0.25828969417029912
D500_F09_V01,9,0,82,126219681.66973412,269482673.03180456,77657012.032380521,49532317.664780051,0.1842353565224133
D500_F09_V01,9,1,100,111715887.6072858,233046672.08038396,72800994.188041687,45954404.348173015,0.20321634465807659
D500_F09_V01,9,2,100,103187497.77076703,209404431.16379902,68540380.872958869,46454044.714653112,0.21955833698030752
D500_F09_V01,9,3,100,96046103.242455915,186827618.4610064,66614423.146671921,45996704.897280596,0.24534813385685778
D500_F09_V01,9,4,100,89957444.009965748,171137196.36818695,64277674.515271023,44563346.977037013,0.25988120284831961
D500_F10_V01,10,0,100,125743051.97818576,264076693.30853474,81573059.866073191,49298452.577001765,0.18617468835149234
D500_F10_V01,10,1,100,111525274.79228848,228241657.48390388,73803015.019521296,46722407.246381834,0.20009630235917172
D500_F10_V01,10,2,100,102477213.19936755,205855647.9177168,68693615.638484657,46776968.617198646,0.22671206417168646
D500_F10_V01,10,3,100,96015366.91286844,187730138.64607069,66409798.696012557,45978717.165001258,0.24341504429024202
D500_F10_V01,10,4,100,89472138.273442,169739411.42471236,63694796.424675502,44158724.971901968,0.26103906297955565
D500_F12_V01,12,0,100,125743051.97818576,265573705.92823803,81706358.301643074,49298504.056514896,0.18650725734160714
D500_F12_V01,12,1,100,112016659.58780518,231216100.88307506,74135707.41169697,46947407.028216213,0.1989889299062455
D500_F12_V01,12,2,100,104052710.97971402,210010178.56521428,68204469.597789302,46478696.790006831,0.220516773734589
D500_F12_V01,12,3,100,95760826.779707894,184073848.08009979,66394852.268117562,46098409.785595968,0.24937228661649397
D500_F12_V01,12,4,100,89881456.976801425,169126453.22031343,64914560.851993077,44614723.136616632,0.26851152994605543
