subset,scan_id,flow_mm_s,band,n_frames,spearman_rho,status
all_valid,D500_F01_V01,1,upper,500,0.9149058457435203,defined
all_valid,D500_F01_V01,1,middle,500,0.65912820366029334,defined
all_valid,D500_F01_V01,1,lower,500,0.44349633045116482,defined
all_valid,D500_F02_V01,2,upper,493,0.91351862250646065,defined
all_valid,D500_F02_V01,2,middle,493,0.61642280199983868,defined
all_valid,D500_F02_V01,2,lower,493,0.41728211224120804,defined
all_valid,D500_F03_V01,3,upper,490,0.90908209430632014,defined
all_valid,D500_F03_V01,3,middle,490,0.63513688358871745,defined
all_valid,D500_F03_V01,3,lower,490,0.4946642693232875,defined
all_valid,D500_F05_V01,5,upper,471,0.8884328875257782,defined
all_valid,D500_F05_V01,5,middle,471,0.52472098171046677,defined
all_valid,D500_F05_V01,5,lower,471,0.28313608904757526,defined
all_valid,D500_F07_V01,7,upper,477,0.89491804045268031,defined
all_valid,D500_F07_V01,7,middle,477,0.60066186388595166,defined
all_valid,D500_F07_V01,7,lower,477,0.30301793566828644,defined
all_valid,D500_F09_V01,9,upper,482,0.89072733524438186,defined
all_valid,D500_F09_V01,9,middle,482,0.56270293634282664,defined
all_valid,D500_F09_V01,9,lower,482,0.32558058693314912,defined
all_valid,D500_F10_V01,10,upper,500,0.89077631877178531,defined
all_valid,D500_F10_V01,10,middle,500,0.65464352838020223,defined
all_valid,D500_F10_V01,10,lower,500,0.38447027465603373,defined
all_valid,D500_F12_V01,12,upper,500,0.90790378509998404,defined
all_valid,D500_F12_V01,12,middle,500,0.63029011417263403,defined
all_valid,D500_F12_V01,12,lower,500,0.32938534603332675,defined
direct_only,D500_F01_V01,1,upper,435,0.91543185114378989,defined
direct_only,D500_F01_V01,1,middle,435,0.66149439850181668,defined
direct_only,D500_F01_V01,1,lower,435,0.45154918812937178,defined
direct_only,D500_F02_V01,2,upper,424,0.91140446434147426,defined
direct_only,D500_F02_V01,2,middle,424,0.60510960249156875,defined
direct_only,D500_F02_V01,2,lower,424,0.41008469633904704,defined
direct_only,D500_F03_V01,3,upper,440,0.90877906494898464,defined
direct_only,D500_F03_V01,3,middle,440,0.64236295584624126,defined
direct_only,D500_F03_V01,3,lower,440,0.5031656975514569,defined
direct_only,D500_F05_V01,5,upper,381,0.87942530394158069,defined
direct_only,D500_F05_V01,5,middle,381,0.49205520051494472,defined
direct_only,D500_F05_V01,5,lower,381,0.24233154352513722,defined
direct_only,D500_F07_V01,7,upper,400,0.88708277916638401,defined
direct_only,D500_F07_V01,7,middle,400,0.5852563704197602,defined
direct_only,D500_F07_V01,7,lower,400,0.28952954022447608,defined
