subset,flow_mm_s,band,d285_mean_raw,d500_mean_raw,absolute_difference,percent_difference
all_valid,1,upper,325741235.35328406,217568702.85401237,-108172532.49927169,-33.208117597378397
all_valid,1,middle,156516885.98519245,63477111.315940306,-93039774.669252142,-59.44392139136626
all_valid,1,lower,79012565.872956589,43095357.131074533,-35917208.741882056,-45.457590631385052
all_valid,3,upper,337896974.45911533,218513848.76264566,-119383125.69646966,-35.331220673866888
all_valid,3,middle,157302926.16782424,63056390.726769924,-94246535.441054314,-59.914038306257588
all_valid,3,lower,80014207.300858796,43060662.823709905,-36953544.47714889,-46.183728769818437
all_valid,5,upper,339004110.10618174,205477778.4197284,-133526331.68645334,-39.387820886487383
all_valid,5,middle,160810596.46880183,68352476.38951546,-92458120.079286367,-57.495042061624197
all_valid,5,lower,81519539.313951939,46149117.934181325,-35370421.379770614,-43.38888771629383
all_valid,7,upper,362359605.25409865,210310394.95065603,-152049210.30344263,-41.960861006242858
all_valid,7,middle,151093499.88590369,69640564.463839293,-81452935.422064394,-53.908960665794709
all_valid,7,lower,79348603.182323292,46526718.348753758,-32821884.833569534,-41.364162086323098
all_valid,10,upper,324917893.51176387,205742175.05881464,-119175718.45294923,-36.678718172421732
all_valid,10,middle,150659679.60758865,69974331.755868763,-80685347.851719886,-53.554705586706831
all_valid,10,lower,77495675.084092349,46650241.169153385,-30845433.914938964,-39.802781099032778
direct_only,1,upper,322045652.44728112,219263298.7168276,-102782353.73045352,-31.915460727195814
direct_only,1,middle,156206318.86241367,63444254.399366848,-92762064.463046819,-59.384322694878641
direct_only,1,lower,78263191.837933183,43107430.203948662,-35155761.633984521,-44.919918046257052
direct_only,3,upper,336644235.70060092,217547486.15766716,-119096749.54293376,-35.377629233745168
direct_only,3,middle,156039282.16943806,62894009.993515164,-93145272.1759229,-59.693476463689088
direct_only,3,lower,79630354.420303017,43104628.035567984,-36525726.384735033,-45.869099353678401
direct_only,5,upper,334996607.85396278,201339688.86071938,-133656918.9932434,-39.89799175862381
direct_only,5,middle,159206216.67947531,67994454.573184609,-91211762.106290698,-57.291583211178477
direct_only,5,lower,80596915.412934333,46107210.636770174,-34489704.776164159,-42.792834687851084
direct_only,7,upper,363937447.04370368,207850544.48347479,-156086902.56022888,-42.888387503989136
direct_only,7,middle,152825942.65600148,69120499.419240311,-83705443.236761168,-54.771749993504166
direct_only,7,lower,79977090.114362374,46380371.606441766,-33596718.507920608,-42.007928095257462
direct_only,10,upper,325291718.47937179,204677266.4570359,-120614452.02233589,-37.078857274992259
direct_only,10,middle,150384916.96222165,69807427.266514689,-80577489.695706964,-53.580831989918849
direct_only,10,lower,77407572.362451896,46536461.569235757,-30871110.793216139,-39.881254315360486
central_geometry,1,upper,324640356.85740465,217489749.41646314,-107150607.44094151,-33.005941860767003
central_geometry,1,middle,155405582.02173847,63310651.51976487,-92094930.501973599,-59.261018364894483
central_geometry,1,lower,78677454.155092523,43088194.910620317,-35589259.244472206,-45.23438083585809
central_geometry,3,upper,333936104.28348017,217078323.74945676,-116857780.5340234,-34.99405396273719
central_geometry,3,middle,154395063.36730954,62519531.076266997,-91875532.291042536,-59.506781037725574
central_geometry,3,lower,79523791.199728787,42928792.505012251,-36594998.694716536,-46.017673632794988
central_geometry,5,upper,338842819.36791646,203247105.61202458,-135595713.75589189,-40.017290025161103
central_geometry,5,middle,159300960.10701701,68265578.767274931,-91035381.339742079,-57.146787614202267
central_geometry,5,lower,80469934.703263849,46217083.360187009,-34252851.34307684,-42.566023533367613
central_geometry,7,upper,364956583.35989559,207480727.09561467,-157475856.26428092,-43.149202794072856
central_geometry,7,middle,149195559.66034985,69400374.86707902,-79795184.793270826,-53.483619066765804
central_geometry,7,lower,79094140.939626083,46250136.392755494,-32844004.546870589,-41.525205478798974
central_geometry,10,upper,321935450.6594404,203394865.01204297,-118540585.64739743,-36.821227797244255
central_geometry,10,middle,148993083.39960438,69502655.545817569,-79490427.853786811,-53.351757034647612
central_geometry,10,lower,76819305.024112582,46434597.470100947,-30384707.554011635,-39.553478835136907
direct_plus_central,1,upper,322632492.11409426,217466911.8680546,-105165580.24603966,-32.596090851521978
direct_plus_central,1,middle,155412616.41825399,63172385.277846895,-92240231.140407085,-59.351829514384917
direct_plus_central,1,lower,78122800.596797109,43096123.637646168,-35026676.95915094,-44.835408730325227
direct_plus_central,3,upper,332593346.62005198,217056337.51507577,-115537009.10497621,-34.738220195656346
direct_plus_central,3,middle,153724166.50968644,62341971.362825707,-91382195.146860734,-59.44556228320976
direct_plus_central,3,lower,79392205.969801754,43006510.175059192,-36385695.794742562,-45.830312119784793
direct_plus_central,5,upper,334658487.77878463,201492458.34029531,-133166029.43848932,-39.791618710269944
direct_plus_central,5,middle,157844715.48233807,68050550.334168851,-89794165.148169219,-56.887660048534642
direct_plus_central,5,lower,79784047.307038024,46168530.616699979,-33615516.690338045,-42.133130400082756
direct_plus_central,7,upper,371328720.8517763,206474680.66022807,-164854040.19154823,-44.395714883943278
direct_plus_central,7,middle,152666013.43383315,68969689.90253672,-83696323.531296432,-54.8231539219246
direct_plus_central,7,lower,79611276.864972308,46231000.946500883,-33380275.918471426,-41.929079940631141
direct_plus_central,10,upper,322825553.98101836,203394865.01204297,-119430688.96897539,-36.99542601141102
direct_plus_central,10,middle,148353980.20789075,69365432.413661137,-78988547.794229612,-53.243295315394789
direct_plus_central,10,lower,76758316.296643525,46475952.43460004,-30282363.862043485,-39.45157387899566
