flow_mm_s,slow_axis_segment,band,d285_mean_raw_median,d500_mean_raw_median,absolute_difference,percent_difference
1,0,upper,416675600.82042313,299248340.32770377,-117427260.49271935,-28.181938242006062
1,0,middle,181861863.85424298,72736362.507698417,-109125501.34654456,-60.004609561246717
1,0,lower,82730177.711761922,44486868.20933494,-38243309.502426982,-46.226553067091807
1,1,upper,357757739.33846951,251806936.96904418,-105950802.36942533,-29.615236993989051
1,1,middle,174407016.41923684,66248716.517608613,-108158299.90162823,-62.014878828979569
1,1,lower,80703332.389609367,44357566.104450464,-36345766.285158902,-45.036264561782154
1,2,upper,338722582.25509876,218444058.72999033,-120278523.52510843,-35.509449273897026
1,2,middle,147754293.702768,62776306.298736215,-84977987.404031783,-57.513040923859002
1,2,lower,77241948.221399143,42677692.488975726,-34564255.732423417,-44.748037210754504
1,3,upper,317683461.11587846,187980239.74813032,-129703221.36774814,-40.827816755760381
1,3,middle,150214262.98879969,60449259.989870042,-89765002.99892965,-59.757975849219278
1,3,lower,78000278.045117572,42975421.516207598,-35024856.528909974,-44.903502149890549
1,4,upper,273445791.91471714,173921090.71274123,-99524701.201975912,-36.396501297418354
1,4,middle,148514921.49053654,57531721.662576586,-90983199.827959955,-61.261992340451435
1,4,lower,77906345.584021077,40435258.295028552,-37471087.288992524,-48.097606180975845
3,0,upper,447237701.4283092,294946127.06594253,-152291574.36236668,-34.051595801517763
3,0,middle,176557851.00730884,71924609.279485792,-104633241.72782305,-59.26286547489277
3,0,lower,86943870.453575939,45581157.527915008,-41362712.925660931,-47.574041401511714
3,1,upper,369260327.77315044,252266667.71142101,-116993660.06172943,-31.683246550548137
3,1,middle,168200496.50553733,65481258.560219571,-102719237.94531776,-61.069521243616627
3,1,lower,82399253.84984982,43663036.087946549,-38736217.761903271,-47.010398701533717
3,2,upper,344632357.17715609,217547486.15766716,-127084871.01948893,-36.875490177540627
3,2,middle,153866097.77358139,62696273.872399047,-91169823.901182339,-59.252704280147206
3,2,lower,79415807.824366808,43104505.622177243,-36311302.202189565,-45.723015602251827
3,3,upper,316352927.85515642,191286393.62878481,-125066534.22637162,-39.533863357709741
3,3,middle,157198919.95234555,60651822.564450689,-96547097.387894869,-61.417150586761579
3,3,lower,80262770.384659484,42418188.706053853,-37844581.678605631,-47.15085399773195
3,4,upper,275508913.92123699,172926297.88201582,-102582616.03922117,-37.233864624992748
3,4,middle,137207647.15342775,57769464.146876365,-79438183.006551385,-57.896323313322583
3,4,lower,74489041.370803654,40648529.301312312,-33840512.069491342,-45.430188718679496
5,0,upper,435812359.09663415,268077543.08099467,-167734816.01563948,-38.487852057093008
5,0,middle,184524924.89183933,76687139.407403752,-107837785.48443557,-58.440769206461134
5,0,lower,90797418.78482005,48483064.644373082,-42314354.140446968,-46.603036415305326
5,1,upper,362796189.24903244,236061674.08092612,-126734515.16810632,-34.932702967591688
5,1,middle,180004703.37923059,71030283.676476136,-108974419.70275445,-60.539762382302399
