subset,scan_id,diameter_um,flow_mm_s,n_frames,upper_mean_raw_q1,upper_mean_raw_median,upper_mean_raw_q3,upper_q_fraction_median,middle_mean_raw_q1,middle_mean_raw_median,middle_mean_raw_q3,middle_q_fraction_median,lower_mean_raw_q1,lower_mean_raw_median,lower_mean_raw_q3,lower_q_fraction_median,source_mean_raw_median,lower_to_upper_mean_ratio_median
all_valid,D285_F01_V01,285,1,453,289796018.08285701,325741235.35328406,374428888.12821954,0.51975372120912877,142448696.76413649,156516885.98519245,174878077.52161521,0.35545806663139462,74439350.306231499,79012565.872956589,84172137.454454988,0.12540931973513653,182701265.06734148,0.24346334517061272
all_valid,D285_F03_V01,285,3,474,297623244.30306143,337896974.45911533,397945795.35384631,0.52853525238780308,141486127.68144357,157302926.16782424,173002426.61051315,0.34631398663201945,74872517.984098315,80014207.300858796,85621671.272485346,0.12339278405180533,187971723.14791086,0.23485822729996952
all_valid,D285_F05_V01,285,5,492,295872038.94981229,339004110.10618174,392027094.64173371,0.52243087862273996,145215686.03314298,160810596.46880183,179551439.07123482,0.35306795347718478,74939180.014466122,81519539.313951939,88557679.695827633,0.12389231868029052,188761489.6040985,0.23789118800654246
all_valid,D285_F07_V01,285,7,458,312887011.44725204,362359605.25409865,402030045.38272452,0.54312733749892139,135878505.15067351,151093499.88590369,172977226.49309874,0.3352274229937533,72603737.639698267,79348603.182323292,86677475.959046394,0.12130519604150974,191099592.95647657,0.22266732776576098
all_valid,D285_F10_V01,285,10,494,287570936.40644777,324917893.51176387,372659504.25370562,0.52320256243891539,137285759.95753935,150659679.60758865,169020225.42130646,0.34738791094825811,72619867.034199268,77495675.084092349,84109095.558426932,0.1256892404135124,181027984.37412828,0.23816128224585278
all_valid,D500_F01_V01,500,1,500,184756120.42225668,217568702.85401237,263909161.78450453,0.6196070128793878,58985423.339809798,63477111.315940306,69249050.532179013,0.25665176284447111,41052326.235111386,43095357.131074533,45167307.327482045,0.12300792613447808,102258896.48791289,0.19848282192382655
all_valid,D500_F02_V01,500,2,493,185682179.67045343,216790165.74407834,258113339.5267829,0.62110432713833175,58826845.930871442,63354581.533670038,69191460.826491416,0.2565404613027048,41410142.643414214,43316632.185668841,45258548.916964501,0.1237725547634837,102309084.69468001,0.20052885524926445
all_valid,D500_F03_V01,500,3,490,187306142.51705742,218513848.76264566,262939391.22725353,0.62016033986810115,58538978.419221535,63056390.726769924,68829184.331234217,0.25441588513472713,40905782.01845485,43060662.823709905,45234162.139075398,0.12262160627883351,102185780.50308588,0.19709971406588156
all_valid,D500_F05_V01,500,5,471,182296692.55053884,205477778.4197284,239308503.02020752,0.58988459913816826,63512932.902648941,68352476.38951546,73672346.345746592,0.27949980141378095,44058715.695647746,46149117.934181325,48239902.534980208,0.1304052803294713,101919025.47281048,0.22199733432481178
all_valid,D500_F07_V01,500,7,477,185382914.36613366,210310394.95065603,244575013.26368579,0.58858062987661908,64700159.968162231,69640564.463839293,75710174.674185559,0.27818512920854449,44275777.146310553,46526718.348753758,49114200.444546983,0.13012688562508429,104553326.99517109,0.21894001307128436
