scan_id,diameter_um,flow_mm_s,depth_band_um,n_depth_anchors,median_of_volume_RI_r_medians,mean_of_volume_RI_r_medians,near_edge_RI_r_median,deep_edge_RI_r_median
D128_F01_V01,128,1,0-100,11,0.44646194893394775,0.45679805366823645,0.59773627198990953,0.32898030669938916
D128_F01_V01,128,1,100-200,10,0.26822881446319019,0.27552784866402125,0.32409237409596087,0.23726928906984723
D128_F01_V01,128,1,200-300,10,0.20925380602739529,0.20707439474841269,0.22339124405622895,0.18618909177846898
D128_F01_V01,128,1,300-500,20,0.16500235180680894,0.16682961960188505,0.17933237482545955,0.15753648129063663
D128_F03_V01,128,3,0-100,11,0.41917028792259281,0.43298278787527023,0.57229408315229846,0.31851437766238649
D128_F03_V01,128,3,100-200,10,0.26772397729005992,0.26589648375161556,0.3077157437200419,0.23328968240879744
D128_F03_V01,128,3,200-300,10,0.19706218925905003,0.19712465033638704,0.21531251584237671,0.18495352865488435
D128_F03_V01,128,3,300-500,20,0.15615113343735221,0.1585232217635959,0.17519704497812155,0.15218691789049704
D128_F05_V01,128,5,0-100,11,0.4161164783282002,0.43478559736158373,0.56226564287445335,0.31726300668726354
D128_F05_V01,128,5,100-200,10,0.2643790967286746,0.26429708900868093,0.30762445685810197,0.22130744986632006
D128_F05_V01,128,5,200-300,10,0.1948726062839013,0.19792989702847705,0.22300570515034338,0.17933975101900046
D128_F05_V01,128,5,300-500,20,0.16124116432191443,0.16354146143479759,0.18137594171641164,0.15363476564718545
D128_F07_V01,128,7,0-100,11,0.52522342281830625,0.53456203790111201,0.7157824625698116,0.40455736568266915
D128_F07_V01,128,7,100-200,10,0.32946860006953893,0.33030855651515073,0.39821980117960171,0.2814107990281754
D128_F07_V01,128,7,200-300,10,0.24454715253014433,0.24921767654464549,0.27808465740277988,0.22072269683977438
D128_F07_V01,128,7,300-500,20,0.19944060204850106,0.20231258203684113,0.21850962957876841,0.19267302189274982
D128_F10_V01,128,10,0-100,11,0.41750183590759649,0.43553226632833025,0.57340389422924654,0.32263156718145602
D128_F10_V01,128,10,100-200,10,0.2660048617895785,0.26251613446524918,0.29943281856836512,0.23004072255141531
D128_F10_V01,128,10,200-300,10,0.19583928109802753,0.19764988047094886,0.21930405307932832,0.18177025062889152
D128_F10_V01,128,10,300-500,20,0.15721781926864759,0.15874736708990797,0.17329161739222351,0.14925303797019474
D235_F01_V01,235,1,0-100,11,0.27733897563959409,0.28027090441312424,0.35302246121867348,0.21595803804160019
D235_F01_V01,235,1,100-200,10,0.17867564019598625,0.18156939131534405,0.2073719264706457,0.16190415464522881
D235_F01_V01,235,1,200-300,10,0.14621183565909596,0.14730706774497912,0.15863242177260761,0.13915957855487709
D235_F01_V01,235,1,300-500,20,0.13265687185134101,0.13233578798334705,0.14130285413095831,0.12929541274443671
D235_F03_V01,235,3,0-100,11,0.2734973616450343,0.27574595504763577,0.34468246862477447,0.21788079762977169
D235_F03_V01,235,3,100-200,10,0.17624365895590025,0.18086971032939475,0.2086554241074611,0.16091550259817131
D235_F03_V01,235,3,200-300,10,0.14399287137747616,0.14567174586725176,0.15655191022744019,0.137754103323038
D235_F03_V01,235,3,300-500,20,0.12938682170094101,0.13013913391442192,0.1349481059558032,0.12828068211508481
D235_F05_V01,235,5,0-100,11,0.2605674587480219,0.26775816687985282,0.34563253687836509,0.2112787045240809
D235_F05_V01,235,5,100-200,10,0.17393756498221552,0.17662260619579728,0.2023818882581718,0.1567438314594051
D235_F05_V01,235,5,200-300,10,0.14156165653595504,0.14258974615653192,0.15276543448528609,0.13420692537780329
D235_F05_V01,235,5,300-500,20,0.12755878712986674,0.12833767875673507,0.1304791613266556,0.12714948396539091
D235_F07_V01,235,7,0-100,11,0.2671236034528246,0.27436757932791173,0.35175746741328251,0.20903640990778319
D235_F07_V01,235,7,100-200,10,0.17738266823713938,0.17853418473113339,0.20681226661356,0.1594014278040701
D235_F07_V01,235,7,200-300,10,0.14243741989572373,0.14299390882299254,0.15125978419210889,0.13512143884282479
D235_F07_V01,235,7,300-500,20,0.12682420872978625,0.12798641470757155,0.13606592203039039,0.1233973471507952
D235_F10_V01,235,10,0-100,11,0.26794809130054081,0.26942178480752638,0.3424930827428076,0.20838471425650901
D235_F10_V01,235,10,100-200,10,0.17059454768762777,0.17198768103281431,0.19519483436436411,0.15192400701632991
