flow_mm_s,target_r_um,diameter_from_um,diameter_to_um,ri_r_median_from,ri_r_median_to,absolute_difference,percent_difference
1,0,128,235,0.59773627198990953,0.35302246121867348,-0.24471381077123605,-40.940097203163724
1,0,235,285,0.35302246121867348,0.32035225011317958,-0.032670211105493896,-9.2544284555471723
1,0,285,500,0.32035225011317958,0.32853918515024672,0.0081869350370671334,2.5556040371730528
1,0,128,500,0.59773627198990953,0.32853918515024672,-0.26919708683966281,-45.036096930086778
1,10,128,235,0.58064706787256237,0.34656484698221968,-0.2340822208903427,-40.314027890986942
1,10,235,285,0.34656484698221968,0.30307302906410882,-0.043491817918110853,-12.549402600068721
1,10,285,500,0.30307302906410882,0.318315492040395,0.015242462976286175,5.029303670918849
1,10,128,500,0.58064706787256237,0.318315492040395,-0.26233157583216737,-45.179178600406303
1,20,128,235,0.51184919062747769,0.31888413961384998,-0.19296505101362771,-37.699590923856142
1,20,235,285,0.31888413961384998,0.2812334765387185,-0.037650663075131485,-11.807003986063474
1,20,285,500,0.2812334765387185,0.30436853796205843,0.023135061423339931,8.226282912004196
1,20,128,500,0.51184919062747769,0.30436853796205843,-0.20748065266541926,-40.535504688611113
1,30,128,235,0.51243861342913233,0.30150223740665399,-0.21093637602247833,-41.163247751947516
1,30,235,285,0.30150223740665399,0.26341312698067448,-0.038089110425979511,-12.633110372115237
1,30,285,500,0.26341312698067448,0.29593463931302388,0.0325215123323494,12.346200322330697
1,30,128,500,0.51243861342913233,0.29593463931302388,-0.21650397411610844,-42.249738494003992
1,40,128,235,0.45222752731976174,0.29249154920920001,-0.15973597811056173,-35.322037793072106
1,40,235,285,0.29249154920920001,0.25220450684074402,-0.040287042368455983,-13.77374576372506
1,40,285,500,0.25220450684074402,0.29045346053034032,0.038248953689596299,15.165848607831904
1,40,128,500,0.45222752731976174,0.29045346053034032,-0.16177406678942141,-35.772715506332716
1,50,128,235,0.44646194893394775,0.27733897563959409,-0.16912297329435366,-37.880713843180111
1,50,235,285,0.27733897563959409,0.2392556529879333,-0.038083322651660784,-13.731687933091164
1,50,285,500,0.2392556529879333,0.27347554609014579,0.03421989310221249,14.302647680361536
1,50,128,500,0.44646194893394775,0.27347554609014579,-0.17298640284380196,-38.746057364318538
1,60,128,235,0.4354414578398248,0.25865631195482691,-0.17678514588499789,-40.599061642409694
