flow_mm_s,metric,diameter_from_um,diameter_to_um,value_from,value_to,absolute_difference,percent_difference
1,source_mean_raw,128,235,149475499.77011237,177876490.24867928,28400990.478566915,19.000431858228644
1,source_mean_raw,235,285,177876490.24867928,182701265.06734148,4824774.8186621964,2.7124297381384945
1,source_mean_raw,285,500,182701265.06734148,102258896.48791289,-80442368.579428583,-44.029453517893543
1,source_mean_raw,128,500,149475499.77011237,102258896.48791289,-47216603.282199472,-31.588188937194932
1,tail_mean_raw_100um,128,235,72395639.028261155,49572377.954609632,-22823261.073651522,-31.525740196508224
1,tail_mean_raw_100um,235,285,49572377.954609632,46215373.267647833,-3357004.6869617999,-6.7719258697567462
1,tail_mean_raw_100um,285,500,46215373.267647833,29892387.676541202,-16322985.591106631,-35.319384951356042
1,tail_mean_raw_100um,128,500,72395639.028261155,29892387.676541202,-42503251.351719953,-58.709684619439464
1,tail_mean_raw_200um,128,235,57735989.723156095,41328847.68481192,-16407142.038344175,-28.417529719359401
1,tail_mean_raw_200um,235,285,41328847.68481192,38738383.023642309,-2590464.6611696109,-6.2679334321764548
1,tail_mean_raw_200um,285,500,38738383.023642309,27347413.969365783,-11390969.054276526,-29.404864543067109
1,tail_mean_raw_200um,128,500,57735989.723156095,27347413.969365783,-30388575.753790312,-52.633679442412685
1,tail_mean_raw_300um,128,235,49249705.73953104,36478741.626309104,-12770964.113221936,-25.93104653409355
1,tail_mean_raw_300um,235,285,36478741.626309104,34478073.327728957,-2000668.2985801473,-5.4844772856343011
1,tail_mean_raw_300um,285,500,34478073.327728957,25723855.432167895,-8754217.8955610618,-25.390681817827943
1,tail_mean_raw_300um,128,500,49249705.73953104,25723855.432167895,-23525850.307363145,-47.768509383153031
1,tail_mean_raw_500um,128,235,39973806.389386863,31444029.308825307,-8529777.0805615559,-21.338415955369793
1,tail_mean_raw_500um,235,285,31444029.308825307,29879904.592537452,-1564124.7162878551,-4.9743138861941478
1,tail_mean_raw_500um,285,500,29879904.592537452,24194620.539239511,-5685284.0532979406,-19.027115818562045
1,tail_mean_raw_500um,128,500,39973806.389386863,24194620.539239511,-15779185.850147352,-39.473813667984246
1,ri_tail_100um,128,235,0.4820855179508291,0.28311047688752566,-0.19897504106330344,-41.273805923288108
1,ri_tail_100um,235,285,0.28311047688752566,0.25005788467519863,-0.033052592212327037,-11.674803622847978
1,ri_tail_100um,285,500,0.25005788467519863,0.29031189666720691,0.040254011992008287,16.097877515157908
1,ri_tail_100um,128,500,0.4820855179508291,0.29031189666720691,-0.19177362128362219,-39.780000465225008
1,ri_tail_200um,128,235,0.38844984551514228,0.23630795449388306,-0.15214189102125922,-39.16641820760578
1,ri_tail_200um,235,285,0.23630795449388306,0.2111973443426412,-0.025110610151241858,-10.626222974602346
1,ri_tail_200um,285,500,0.2111973443426412,0.26559723292749282,0.054399888584851619,25.757846886840877
1,ri_tail_200um,128,500,0.38844984551514228,0.26559723292749282,-0.12285261258764946,-31.626376997197312
1,ri_tail_300um,128,235,0.33143218359168181,0.20827812879622096,-0.12315405479546085,-37.158146037858629
1,ri_tail_300um,235,285,0.20827812879622096,0.18732631882992229,-0.020951809966298668,-10.059534377129866
1,ri_tail_300um,285,500,0.18732631882992229,0.24946734352682576,0.062141024696903469,33.172607610638352
1,ri_tail_300um,128,500,0.33143218359168181,0.24946734352682576,-0.081964840064856048,-24.730501177228817
1,ri_tail_500um,128,235,0.268942562232105,0.17777253294335629,-0.091170029288748705,-33.899442517419907
1,ri_tail_500um,235,285,0.17777253294335629,0.1625186793580691,-0.015253853585287191,-8.5805457866472157
1,ri_tail_500um,285,500,0.1625186793580691,0.23497901579995531,0.072460336441886208,44.585851132987649
1,ri_tail_500um,128,500,0.268942562232105,0.23497901579995531,-0.033963546432149688,-12.62855018196718
3,source_mean_raw,128,235,155467660.52228588,184709761.97986138,29242101.4575755,18.809121690863627
3,source_mean_raw,235,285,184709761.97986138,187971723.14791086,3261961.1680494845,1.7659928382156278
3,source_mean_raw,285,500,187971723.14791086,102185780.50308588,-85785942.644824982,-45.637684864612261
3,source_mean_raw,128,500,155467660.52228588,102185780.50308588,-53281880.019199997,-34.272002190167505
3,tail_mean_raw_100um,128,235,71070096.212861702,50962102.859649494,-20107993.353212208,-28.293184369677586
3,tail_mean_raw_100um,235,285,50962102.859649494,46919403.805139951,-4042699.0545095429,-7.9327555725932379
3,tail_mean_raw_100um,285,500,46919403.805139951,30207552.888350166,-16711850.916789785,-35.618208164356567
3,tail_mean_raw_100um,128,500,71070096.212861702,30207552.888350166,-40862543.324511535,-57.496113698966063
3,tail_mean_raw_200um,128,235,56910875.552080728,42316801.896130212,-14594073.655950516,-25.64373419733294
3,tail_mean_raw_200um,235,285,42316801.896130212,39480676.419284903,-2836125.4768453091,-6.7021262235430585
3,tail_mean_raw_200um,285,500,39480676.419284903,27636267.1065723,-11844409.312712602,-30.000522754283487
3,tail_mean_raw_200um,128,500,56910875.552080728,27636267.1065723,-29274608.445508428,-51.439392139940665
3,tail_mean_raw_300um,128,235,48456393.027518727,37419806.115453139,-11036586.912065588,-22.776327791872234
3,tail_mean_raw_300um,235,285,37419806.115453139,34996145.117201149,-2423660.9982519895,-6.4769469696720261
3,tail_mean_raw_300um,285,500,34996145.117201149,26001203.291107826,-8994941.8260933235,-25.702664667692698
3,tail_mean_raw_300um,128,500,48456393.027518727,26001203.291107826,-22455189.736410901,-46.341026092591001
3,tail_mean_raw_500um,128,235,39258979.062311128,32226873.339851588,-7032105.7224595398,-17.912095246537898
3,tail_mean_raw_500um,235,285,32226873.339851588,30325801.393416092,-1901071.9464354962,-5.8990269592323132
3,tail_mean_raw_500um,285,500,30325801.393416092,24466443.900593814,-5859357.4928222783,-19.321360767383972
