scan_id,diameter_um,flow_mm_s,nominal_frames,geometry_valid_frames,geometry_valid_fraction,direct_candidate_supported_count,short_gap_or_other_valid_count,direct_candidate_supported_fraction_of_valid,x1_apparent_width_um_q1,x1_apparent_width_um_median,x1_apparent_width_um_q3,x4_px_q1,x4_px_median,x4_px_q3,z_top_edge_px_q1,z_top_edge_px_median,z_top_edge_px_q3,source_area_um2_q1,source_area_um2_median,source_area_um2_q3,rho_x1_vs_source,rho_x1_vs_tail500,rho_x1_vs_ri,rho_z_top_vs_source,rho_z_top_vs_tail500,rho_z_top_vs_ri,rho_source_area_vs_source,rho_source_area_vs_tail500,rho_source_area_vs_ri,grid_scope
D128_F01_V01,128,1,500,486,0.97199999999999998,320,166,0.65843621399176955,165.09999999999999,177.79999999999998,190.5,234.80279989043026,239.12195384944658,243.33406151463754,195.5,198.5,203.5,16597.286455078127,17875.547656250001,19156.883398437501,-0.34198832372611626,-0.36102936640432137,0.23941820814243969,0.2317384435572388,0.10768013742641323,-0.21038789064906047,-0.34561547298036166,-0.35534339787942837,0.24400922283861212,common_grid
D128_F03_V01,128,3,500,468,0.93600000000000005,300,168,0.64102564102564108,165.09999999999999,177.79999999999998,190.5,240.14010126891293,243.81222506121861,245.89327188787888,189.25,193.5,197.5,16596.2062109375,17875.215273437501,19155.304580078126,-0.3649410459655073,-0.32991368062947524,0.24831689546043037,0.24315745546792261,0.22994184413058746,-0.15624664618403619,-0.35437673906797662,-0.32382973415189675,0.23964864025575097,common_grid
D128_F05_V01,128,5,500,491,0.98199999999999998,325,166,0.66191446028513234,165.09999999999999,177.79999999999998,190.5,237.10727456301291,240.76653721401087,244.55797470175327,192.5,195.5,201.5,16597.535742187501,17874.882890625002,19155.055292968751,-0.29398750827000958,-0.36650447279407966,0.17950817141081413,0.32312085783730743,0.088126686681285316,-0.3469011023772291,-0.28022403828729059,-0.35909890045570964,0.16665004006220441,common_grid
D128_F07_V01,128,7,500,493,0.98599999999999999,327,166,0.66328600405679516,152.39999999999998,165.09999999999999,177.79999999999998,234.34194772081395,238.51385761737745,242.52555903831839,196.5,199.5,204.5,15317.861914062501,16598.865273437499,17879.536250000001,-0.28296700070902731,-0.35275172228707175,0.16586298009435435,0.22408757443754732,0.062672307445741371,-0.24244389366800556,-0.27352763566087357,-0.33884226651373506,0.16346502501936039,common_grid
D128_F10_V01,128,10,500,484,0.96799999999999997,302,182,0.62396694214876036,165.09999999999999,177.79999999999998,190.5,238.65258934362407,242.04172793916848,245.62372505198289,190.5,194.5,201.5,16595.873828125001,17873.553359375001,19156.966494140626,-0.34322074460009305,-0.334085074370984,0.23603164272635699,0.27902982991995329,0.1857336865727281,-0.2090454908810119,-0.34394175082373457,-0.33316234204119299,0.2370155873518944,common_grid
D235_F01_V01,235,1,500,448,0.89600000000000002,290,158,0.6473214285714286,317.5,342.89999999999998,355.60000000000002,202.38216704154789,205.88873850186312,209.42813105130443,191.5,192.5,196.5,58604.989638671883,63288.346562500003,65637.046611328129,-0.36504384197831136,0.040275412814272507,0.34924918985631404,0.43445426791442632,-0.21101862813231351,-0.50140334070249259,-0.37801907876666052,0.027727582979480383,0.35521194325196753,common_grid
D235_F03_V01,235,3,500,448,0.89600000000000002,306,142,0.6830357142857143,330.19999999999999,342.89999999999998,355.60000000000002,202.3238374474661,206.16131096658086,209.73086126602823,192.5,193.5,196.5,60942.305576171872,63289.67609375,65637.046611328129,-0.41851815101530898,0.066594294285508615,0.4378503329564043,0.46675264463681304,-0.0048150197932842033,-0.43603132573538472,-0.42568372182797093,0.056519113980473913,0.44186429098521934,common_grid
D235_F05_V01,235,5,500,424,0.84799999999999998,282,142,0.66509433962264153,317.5,342.89999999999998,355.60000000000002,202.48996252913949,205.91077757811547,209.83060681585044,192.5,193.5,196.5,58605.072734375011,63288.346562500003,65636.963515625001,-0.34359468468453741,0.12646907798018611,0.40075934724259893,0.42241834845815718,0.11806561623968811,-0.39735097833793892,-0.33629298428686377,0.12250801872691,0.39172586783349633,common_grid
D235_F07_V01,235,7,500,444,0.88800000000000001,289,155,0.65090090090090091,330.19999999999999,342.89999999999998,368.30000000000001,202.69690151033907,206.19887166075108,209.77883712531948,192.5,193.5,195.5,60943.385820312506,63291.005625000005,67974.279453124997,-0.35711874126506116,0.016163050281720739,0.38020274891890998,0.41053989597992452,-0.0040235559522609184,-0.37310670959501507,-0.3395895907026944,0.024638100131932707,0.36515060245363551,common_grid
D235_F10_V01,235,10,500,461,0.92200000000000004,294,167,0.63774403470715835,317.5,342.89999999999998,355.60000000000002,202.06363214670657,205.98787029170481,209.38446653588204,191.5,192.5,197.5,58602.081289062495,63287.681796875011,65636.298750000002,-0.38581333430901693,0.043486092669583372,0.40289826688002145,0.39403544760872339,-0.019029005725595825,-0.39096730849690303,-0.38363798737776189,0.042645660183088636,0.39916142929106163,common_grid
