subset,metric,diameter_from_um,diameter_to_um,value_from,value_to,absolute_difference,percent_difference
all_valid,source_mean_raw,128,235,154204959.81361899,183653097.83202252,29448138.01840353,19.096751527315494
all_valid,source_mean_raw,235,285,183653097.83202252,187971723.14791086,4318625.3158883452,2.3515123713504451
all_valid,source_mean_raw,285,500,187971723.14791086,102258896.48791289,-85712826.65999797,-45.598787532820779
all_valid,source_mean_raw,128,500,154204959.81361899,102258896.48791289,-51946063.325706095,-33.686376487819267
all_valid,tail_mean_raw_500um,128,235,39774709.246335611,31795299.089069732,-7979410.1572658792,-20.061517251696845
all_valid,tail_mean_raw_500um,235,285,31795299.089069732,30196015.411628582,-1599283.67744115,-5.0299375167410698
all_valid,tail_mean_raw_500um,285,500,30196015.411628582,26597118.981886633,-3598896.4297419488,-11.918448115362937
all_valid,tail_mean_raw_500um,128,500,39774709.246335611,26597118.981886633,-13177590.264448978,-33.130575971873412
all_valid,ri_tail,128,235,0.25946745609265892,0.17529068400131981,-0.084176772091339114,-32.442131032139379
all_valid,ri_tail,235,285,0.17529068400131981,0.16095275520138355,-0.014337928799936256,-8.1795155752990851
all_valid,ri_tail,285,500,0.16095275520138355,0.25764217124228139,0.096689416040897841,60.073166141157614
all_valid,ri_tail,128,500,0.25946745609265892,0.25764217124228139,-0.0018252848503775287,-0.70347352144451514
direct_candidate_supported_only,source_mean_raw,128,235,151948924.02930897,182797700.91916895,30848776.889859974,20.302069979718741
direct_candidate_supported_only,source_mean_raw,235,285,182797700.91916895,186248873.51738936,3451172.598220408,1.887973744126288
direct_candidate_supported_only,source_mean_raw,285,500,186248873.51738936,102301956.07845949,-83946917.438929871,-45.07244304545663
direct_candidate_supported_only,source_mean_raw,128,500,151948924.02930897,102301956.07845949,-49646967.950849488,-32.673458050465186
direct_candidate_supported_only,tail_mean_raw_500um,128,235,39655875.553223059,31781690.40304295,-7874185.1501801088,-19.856288734848345
direct_candidate_supported_only,tail_mean_raw_500um,235,285,31781690.40304295,30190004.569349054,-1591685.8336938955,-5.0081849439370876
direct_candidate_supported_only,tail_mean_raw_500um,285,500,30190004.569349054,26539393.171038359,-3650611.3983106948,-12.09211939642117
direct_candidate_supported_only,tail_mean_raw_500um,128,500,39655875.553223059,26539393.171038359,-13116482.382184699,-33.075760399189186
direct_candidate_supported_only,ri_tail,128,235,0.26248327053621434,0.17655419664457095,-0.085929073891643393,-32.736971661509337
direct_candidate_supported_only,ri_tail,235,285,0.17655419664457095,0.16058563023034331,-0.015968566414227642,-9.0445691565036359
direct_candidate_supported_only,ri_tail,285,500,0.16058563023034331,0.2578919192159137,0.097306288985570394,60.594642774695778
direct_candidate_supported_only,ri_tail,128,500,0.26248327053621434,0.2578919192159137,-0.0045913513203006406,-1.7491976958840811
central80_x1,source_mean_raw,128,235,154256004.18525359,183354528.03977269,29098523.854519099,18.863786864058309
central80_x1,source_mean_raw,235,285,183354528.03977269,187046842.19799545,3692314.1582227647,2.0137567354877866
central80_x1,source_mean_raw,285,500,187046842.19799545,102301956.07845949,-84744886.119535968,-45.306771888632376
central80_x1,source_mean_raw,128,500,154256004.18525359,102301956.07845949,-51954048.106794104,-33.680405752245427
central80_x1,tail_mean_raw_500um,128,235,39812687.858590305,31845719.054530881,-7966968.8040594235,-20.011130201399869
central80_x1,tail_mean_raw_500um,235,285,31845719.054530881,30237447.043570124,-1608272.0109607577,-5.0501984527554233
central80_x1,tail_mean_raw_500um,285,500,30237447.043570124,26587606.419526611,-3649840.6240435131,-12.070597821252365
central80_x1,tail_mean_raw_500um,128,500,39812687.858590305,26587606.419526611,-13225081.439063694,-33.218258174473256
central80_x1,ri_tail,128,235,0.2590021204192528,0.17521154346846199,-0.083790576950790813,-32.351309253822727
central80_x1,ri_tail,235,285,0.17521154346846199,0.16029268103798511,-0.014918862430476881,-8.5147714215315222
central80_x1,ri_tail,285,500,0.16029268103798511,0.25642133760404029,0.096128656566055182,59.970708546122104
central80_x1,ri_tail,128,500,0.2590021204192528,0.25642133760404029,-0.0025807828152125123,-0.99643308365002525
central80_z_top,source_mean_raw,128,235,152386478.00735244,181653567.56234497,29267089.554992527,19.205831080091261
central80_z_top,source_mean_raw,235,285,181653567.56234497,186248873.51738936,4595305.9550443888,2.5297086188341678
central80_z_top,source_mean_raw,285,500,186248873.51738936,101962434.23090868,-84286439.28648068,-45.254737757440004
central80_z_top,source_mean_raw,128,500,152386478.00735244,101962434.23090868,-50424043.776443765,-33.089578836523067
central80_z_top,tail_mean_raw_500um,128,235,39394716.305584028,31663306.576526619,-7731409.7290574089,-19.625499188990265
central80_z_top,tail_mean_raw_500um,235,285,31663306.576526619,30077410.425550863,-1585896.1509757563,-5.0086245640291081
central80_z_top,tail_mean_raw_500um,285,500,30077410.425550863,26523952.061234832,-3553458.3643160313,-11.814376018546318
central80_z_top,tail_mean_raw_500um,128,500,39394716.305584028,26523952.061234832,-12870764.244349197,-32.671295674554258
central80_z_top,ri_tail,128,235,0.25928391219449354,0.1772755280150593,-0.082008384179434235,-31.628797747358217
central80_z_top,ri_tail,235,285,0.1772755280150593,0.16140864088918544,-0.015866887125873863,-8.9504103039681784
central80_z_top,ri_tail,285,500,0.16140864088918544,0.26051367467743003,0.09910503378824459,61.400079476714517
central80_z_top,ri_tail,128,500,0.25928391219449354,0.26051367467743003,0.0012297624829364917,0.4742918573420879
central80_x1_z_top,source_mean_raw,128,235,152386478.00735244,181653567.56234497,29267089.554992527,19.205831080091261
central80_x1_z_top,source_mean_raw,235,285,181653567.56234497,185323000.39152357,3669432.8291786015,2.0200169357638531
central80_x1_z_top,source_mean_raw,285,500,185323000.39152357,102051046.13192184,-83271954.259601727,-44.933415757178985
central80_x1_z_top,source_mean_raw,128,500,152386478.00735244,102051046.13192184,-50335431.875430599,-33.031429385094121
central80_x1_z_top,tail_mean_raw_500um,128,235,39465798.484515697,31731392.777666464,-7734405.7068492323,-19.597742865594892
central80_x1_z_top,tail_mean_raw_500um,235,285,31731392.777666464,30141490.949575007,-1589901.8280914575,-5.0105012384154772
central80_x1_z_top,tail_mean_raw_500um,285,500,30141490.949575007,26515783.032710511,-3625707.9168644957,-12.028960090030377
central80_x1_z_top,tail_mean_raw_500um,128,500,39465798.484515697,26515783.032710511,-12950015.451805186,-32.813260973007026
central80_x1_z_top,ri_tail,128,235,0.25783969669001267,0.17676016672877404,-0.081079529961238628,-31.445712588902229
central80_x1_z_top,ri_tail,235,285,0.17676016672877404,0.16147536433522455,-0.015284802393549485,-8.6471984477152759
central80_x1_z_top,ri_tail,285,500,0.16147536433522455,0.25873006108160118,0.097254696746376629,60.228813941224409
central80_x1_z_top,ri_tail,128,500,0.25783969669001267,0.25873006108160118,0.00089036439158851621,0.34531703341978226
direct_plus_central_geometry,source_mean_raw,128,235,149060600.8717598,181320811.74242318,32260210.870663375,21.642345919709236
direct_plus_central_geometry,source_mean_raw,235,285,181320811.74242318,184331938.65838397,3011126.9159607887,1.6606626051499651
direct_plus_central_geometry,source_mean_raw,285,500,184331938.65838397,101683224.1208836,-82648714.537500367,-44.836893236755017
direct_plus_central_geometry,source_mean_raw,128,500,149060600.8717598,101683224.1208836,-47377376.750876203,-31.783970059020515
direct_plus_central_geometry,tail_mean_raw_500um,128,235,39380658.742634997,31788086.388779141,-7592572.3538558558,-19.279952637348465
direct_plus_central_geometry,tail_mean_raw_500um,235,285,31788086.388779141,30143472.207586728,-1644614.181192413,-5.1736809856315995
direct_plus_central_geometry,tail_mean_raw_500um,285,500,30143472.207586728,26452985.215481415,-3690486.9921053126,-12.243071954983552
direct_plus_central_geometry,tail_mean_raw_500um,128,500,39380658.742634997,26452985.215481415,-12927673.527153581,-32.827468965514264
direct_plus_central_geometry,ri_tail,128,235,0.26193068978537548,0.17772377509916415,-0.084206914686211332,-32.148548440509202
direct_plus_central_geometry,ri_tail,235,285,0.17772377509916415,0.1615037255885676,-0.016220049510596551,-9.1265501768383466
direct_plus_central_geometry,ri_tail,285,500,0.1615037255885676,0.25808561163862098,0.096581886050053384,59.801645874161899
direct_plus_central_geometry,ri_tail,128,500,0.26193068978537548,0.25808561163862098,-0.0038450781467544992,-1.4679754212479394
