subset,diameter_um,n_common_flow_volumes,source_mean_raw_median_across_flows,tail_mean_raw_500um_median_across_flows,ri_tail_median_across_flows
all_valid,128,5,154204959.81361899,39774709.246335611,0.25946745609265892
all_valid,235,5,183653097.83202252,31795299.089069732,0.17529068400131981
all_valid,285,5,187971723.14791086,30196015.411628582,0.16095275520138355
all_valid,500,5,102258896.48791289,26597118.981886633,0.25764217124228139
central80_x1,128,5,154256004.18525359,39812687.858590305,0.2590021204192528
central80_x1,235,5,183354528.03977269,31845719.054530881,0.17521154346846199
central80_x1,285,5,187046842.19799545,30237447.043570124,0.16029268103798511
central80_x1,500,5,102301956.07845949,26587606.419526611,0.25642133760404029
central80_x1_z_top,128,5,152386478.00735244,39465798.484515697,0.25783969669001267
central80_x1_z_top,235,5,181653567.56234497,31731392.777666464,0.17676016672877404
central80_x1_z_top,285,5,185323000.39152357,30141490.949575007,0.16147536433522455
central80_x1_z_top,500,5,102051046.13192184,26515783.032710511,0.25873006108160118
central80_z_top,128,5,152386478.00735244,39394716.305584028,0.25928391219449354
central80_z_top,235,5,181653567.56234497,31663306.576526619,0.1772755280150593
central80_z_top,285,5,186248873.51738936,30077410.425550863,0.16140864088918544
central80_z_top,500,5,101962434.23090868,26523952.061234832,0.26051367467743003
direct_candidate_supported_only,128,5,151948924.02930897,39655875.553223059,0.26248327053621434
direct_candidate_supported_only,235,5,182797700.91916895,31781690.40304295,0.17655419664457095
direct_candidate_supported_only,285,5,186248873.51738936,30190004.569349054,0.16058563023034331
direct_candidate_supported_only,500,5,102301956.07845949,26539393.171038359,0.2578919192159137
direct_plus_central_geometry,128,5,149060600.8717598,39380658.742634997,0.26193068978537548
direct_plus_central_geometry,235,5,181320811.74242318,31788086.388779141,0.17772377509916415
direct_plus_central_geometry,285,5,184331938.65838397,30143472.207586728,0.1615037255885676
direct_plus_central_geometry,500,5,101683224.1208836,26452985.215481415,0.25808561163862098
