flow_mm_s,segment_index,ri_128,ri_235,ri_285,ri_500,ordered_128_gt_235_gt_285,abs_pct_drop_128_to_235,abs_pct_drop_235_to_285,larger_128_to_235_drop,d500_ri_gt_d285,d500_source_lt_d285
1,0,0.26838717244081695,0.16767762665204011,0.14172870648094121,0.2011067545384255,True,37.523978837321174,15.475481547068512,True,True,True
1,1,0.25118171636278142,0.1663867405817934,0.15457400322402082,0.21810298971571015,True,33.758418808843054,7.0995665378549813,True,True,True
1,2,0.26992170260709725,0.17466534043689361,0.16090877617504301,0.23533036099910332,True,35.290368003072537,7.8759553712494128,True,True,True
1,3,0.26155674902801107,0.19195517765689324,0.16290507231894824,0.25410221439390934,True,26.610504844462621,15.133796177079462,True,True,True
1,4,0.29619943947583793,0.19470850337831519,0.17841742416428841,0.27055898304556802,True,34.264391680525691,8.3669069051255054,True,True,True
3,0,0.25131652217144951,0.16581061750817838,0.14171001078539502,0.203157056133797,True,34.023192715096748,14.535020184455092,True,True,True
3,1,0.21973268516434566,0.16949791854374499,0.15172147466391733,0.22005129858120859,True,22.861763411769328,10.48770629902444,True,True,True
3,2,0.28023168730510101,0.17077064968378619,0.1594233524381351,0.23888017640796624,True,39.060906592672225,6.6447584913817055,True,True,True
3,3,0.25895354849326435,0.18663345643488261,0.16523452274032766,0.25331163960397129,True,27.927824306397898,11.465754374013402,True,True,True
3,4,0.28001722413444685,0.1997246183931197,0.18319111683040426,0.27562883200068194,True,28.674166737248864,8.2781490312688444,True,True,True
5,0,0.23291985824530215,0.1599858509818381,0.13823225798984559,0.2298347067966369,True,31.31291930748678,13.597198038757824,True,True,True
5,1,0.23164800229403726,0.16915068103202685,0.15138203964243957,0.24738378943009132,True,26.979434591747879,10.504623026745591,True,True,True
5,2,0.27076875178009457,0.16502081147021203,0.16011626732748779,0.26176026243706929,True,39.054706133803045,2.9720761272644411,True,True,True
5,3,0.24825830054048459,0.18244507775367855,0.16362075116550501,0.28174378599925987,True,26.50997877755696,10.317804579846493,True,True,True
5,4,0.30411599455434679,0.19059679806958885,0.18318592757999969,0.29580632123489869,True,37.327598191969344,3.8882450097002028,True,True,True
7,0,0.29733935016989332,0.15607826641676081,0.14242198552416821,0.2286089710011758,True,47.50837172154273,8.7496364523472785,True,True,True
7,1,0.32049538999311478,0.17003429441920354,0.1553464925870737,0.2442864224532782,True,46.946414916340487,8.638140842292934,True,True,True
7,2,0.3271028628383249,0.17262585527305502,0.16418213483289706,0.25923732812558076,True,47.225819494469626,4.8913416978018152,True,True,True
7,3,0.31541063066394909,0.18106747034145809,0.16388828269730141,0.27818627726391326,True,42.593098412597733,9.4877272056433295,True,True,True
7,4,0.35840994827618927,0.19262389039815675,0.17420037836733659,0.29820890081726431,True,46.25598666426481,9.5645000174892392,True,True,True
10,0,0.26140574663986604,0.15406563515357063,0.14450304337763437,0.22221414252497454,True,41.06264413313604,6.2068298140622993,True,True,True
10,1,0.22265700070018279,0.16009840150448321,0.15322414728007405,0.24037333751415496,True,28.09639894500215,4.2937681824491269,True,True,True
10,2,0.27177115789703776,0.16904540425895229,0.15886051890288971,0.25790400573064087,True,37.798622353076844,6.0249406960870999,True,True,True
10,3,0.2578967992854036,0.17683974138345801,0.16498737563527546,0.27152128221670524,True,31.430036404695016,6.7023202225126326,True,True,True
10,4,0.27988054346208013,0.18982596536330509,0.17824300962078279,0.29306944666507989,True,32.176076616406945,6.10188164740996,True,True,True
