scan_id,diameter_um,flow_mm_s,source_mean_raw_median,tail_mean_raw_500um_median,ri_tail_median,geometry_valid_frames,geometry_valid_fraction,source_vs_d128_same_flow_pct,tail500_vs_d128_same_flow_pct,ri_vs_d128_same_flow_pct
D128_F01_V01,128,1,149475499.77011237,39973806.389386863,0.268942562232105,486,0.97199999999999998,0,0,0
D128_F03_V01,128,3,155467660.52228588,39258979.062311128,0.25632875814502504,468,0.93600000000000005,0,0,0
D128_F05_V01,128,5,154204959.81361899,39176211.170652874,0.25664555029926406,491,0.98199999999999998,0,0,0
D128_F07_V01,128,7,123276893.01101619,40208950.329087123,0.32317992329725742,493,0.98599999999999999,0,0,0
D128_F10_V01,128,10,154338856.44940418,39774709.246335611,0.25946745609265892,484,0.96799999999999997,0,0,0
D235_F01_V01,235,1,177876490.24867928,31444029.308825307,0.17777253294335629,448,0.89600000000000002,19.000431858228644,-21.338415955369793,-33.899442517419907
D235_F03_V01,235,3,184709761.97986138,32226873.339851588,0.17681734386491266,448,0.89600000000000002,18.809121690863627,-17.912095246537898,-31.019310847332477
D235_F05_V01,235,5,183653097.83202252,31795299.089069732,0.17337407043624395,424,0.84799999999999998,19.096751527315494,-18.840290730085268,-32.446103104425767
D235_F07_V01,235,7,182131252.49924386,31695067.245719582,0.17529068400131981,444,0.88800000000000001,47.741598648960398,-21.174099332825918,-45.760651771648163
D235_F10_V01,235,10,189435690.56708992,31943516.680465519,0.16937144089605621,461,0.92200000000000004,22.740115435020918,-19.688874448759343,-34.723435668336123
D285_F01_V01,285,1,182701265.06734148,29879904.592537452,0.1625186793580691,453,0.90600000000000003,22.228234960464473,-25.251290053602112,-39.571231117441755
D285_F03_V01,285,3,187971723.14791086,30325801.393416092,0.16206788236239961,474,0.94799999999999995,20.907282271071168,-22.754482878213569,-36.773429741072889
D285_F05_V01,285,5,188761489.6040985,30196015.411628582,0.15851643840265062,492,0.98399999999999999,22.409480105079972,-22.922573395130687,-38.235267193290134
D285_F07_V01,285,7,191099592.95647657,30866888.17562015,0.16095275520138355,458,0.91600000000000004,55.016555243162763,-23.233787694052118,-50.197167707926909
D285_F10_V01,285,10,181027984.37412828,29135322.83867304,0.16013145527090444,494,0.98799999999999999,17.292552594150788,-26.749124278369834,-38.284570372586685
D500_F01_V01,500,1,102258896.48791289,24194620.539239511,0.23497901579995531,500,1,-31.588188937194932,-39.473813667984246,-12.62855018196718
D500_F03_V01,500,3,102185780.50308588,24466443.900593814,0.2388457603803037,490,0.97999999999999998,-34.272002190167505,-37.679367917945285,-6.8205369897785157
D500_F05_V01,500,5,101919025.47281048,27208274.131761987,0.26514097787459928,471,0.94199999999999995,-33.906778617240526,-30.548990525801884,3.3101791811426486
D500_F07_V01,500,7,104553326.99517109,27403074.145219389,0.2605184453414251,477,0.95399999999999996,-15.188220240245625,-31.848322522868678,-19.38903794410427
D500_F10_V01,500,10,102744679.6192846,26597118.981886633,0.25764217124228139,500,1,-33.429155830912443,-33.130575971873412,-0.70347352144451514
