scan_id,diameter_um,flow_mm_s,region,metric,unit,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,source,Q,raw_SV_instrument_units_um2,486,14,2379435984381.1455,1012770566428.6545,5522139710547.4199,486,0,0
D128_F01_V01,128,1,source,area,um2,486,14,12868.532968750002,12866.538671874998,12872.189179687501,486,0,0
D128_F01_V01,128,1,tail100,Q,raw_SV_instrument_units_um2,486,14,1050779452500.4988,489594363734.22681,1865364774894.249,486,0,0
D128_F01_V01,128,1,tail100,area,um2,486,14,12799.999999999984,12799.999999999984,12799.999999999987,486,0,0
D128_F01_V01,128,1,tail500,Q,raw_SV_instrument_units_um2,486,14,2771923580394.4546,1750324390157.8096,3849617475905.2402,486,0,0
D128_F01_V01,128,1,tail500,area,um2,486,14,63999.999999999884,63999.999999999869,63999.999999999884,486,0,0
D128_F03_V01,128,3,source,Q,raw_SV_instrument_units_um2,468,32,2428332411637.8379,800264701844.35815,5837790145541.9785,468,0,0
D128_F03_V01,128,3,source,area,um2,468,32,12868.865351562499,12866.538671874998,12871.856796875001,468,0,0
D128_F03_V01,128,3,tail100,Q,raw_SV_instrument_units_um2,468,32,1036591727786.3285,511434320141.6701,2044175842666.7842,468,0,0
D128_F03_V01,128,3,tail100,area,um2,468,32,12799.999999999984,12799.999999999984,12799.999999999987,468,0,0
D128_F03_V01,128,3,tail500,Q,raw_SV_instrument_units_um2,468,32,2709842901584.8159,1684671022434.0483,4289678043915.1309,468,0,0
D128_F03_V01,128,3,tail500,area,um2,468,32,63999.999999999884,63999.999999999869,63999.999999999884,468,0,0
D128_F05_V01,128,5,source,Q,raw_SV_instrument_units_um2,491,9,2471916171422.0498,905798106114.41589,5266368470507.2266,491,0,0
D128_F05_V01,128,5,source,area,um2,491,9,12868.532968750002,12866.538671874998,12871.856796875001,491,0,0
D128_F05_V01,128,5,tail100,Q,raw_SV_instrument_units_um2,491,9,1016424338660.842,528395351950.51868,1993883328726.7195,491,0,0
D128_F05_V01,128,5,tail100,area,um2,491,9,12799.999999999984,12799.999999999984,12799.999999999987,491,0,0
D128_F05_V01,128,5,tail500,Q,raw_SV_instrument_units_um2,491,9,2693685717950.7095,1779626920840.0378,3991341596275.416,491,0,0
D128_F05_V01,128,5,tail500,area,um2,491,9,63999.999999999884,63999.999999999869,63999.999999999884,491,0,0
D128_F07_V01,128,7,source,Q,raw_SV_instrument_units_um2,493,7,1869650542743.76,792159932940.5813,5100738399895.2256,493,0,0
D128_F07_V01,128,7,source,area,um2,493,7,12868.865351562499,12866.538671874998,12871.856796875001,493,0,0
D128_F07_V01,128,7,tail100,Q,raw_SV_instrument_units_um2,493,7,1025320097562.842,441793897026.94208,1814003457575.6848,493,0,0
D128_F07_V01,128,7,tail100,area,um2,493,7,12799.999999999984,12799.999999999984,12799.999999999987,493,0,0
D128_F07_V01,128,7,tail500,Q,raw_SV_instrument_units_um2,493,7,2762853530256.7764,1716413146421.6028,3812903930225.1768,493,0,0
D128_F07_V01,128,7,tail500,area,um2,493,7,63999.999999999884,63999.999999999869,63999.999999999884,493,0,0
D128_F10_V01,128,10,source,Q,raw_SV_instrument_units_um2,484,16,2493725712547.2393,849726407303.91736,5765296240545.6475,484,0,0
D128_F10_V01,128,10,source,area,um2,484,16,12868.865351562499,12866.538671874998,12872.189179687501,484,0,0
D128_F10_V01,128,10,tail100,Q,raw_SV_instrument_units_um2,484,16,1046763748306.8289,562047247817.13782,1721285837302.0833,484,0,0
D128_F10_V01,128,10,tail100,area,um2,484,16,12799.999999999984,12799.999999999984,12799.999999999987,484,0,0
D128_F10_V01,128,10,tail500,Q,raw_SV_instrument_units_um2,484,16,2757439419277.686,1809311389309.0015,3694566834168.7979,484,0,0
D128_F10_V01,128,10,tail500,area,um2,484,16,63999.999999999884,63999.999999999869,63999.999999999884,484,0,0
D235_F01_V01,235,1,source,Q,raw_SV_instrument_units_um2,448,52,8965785416042.4844,5777838026973.2588,13171584778409.564,448,0,0
D235_F01_V01,235,1,source,area,um2,448,52,43373.63035156249,43369.974140624996,43378.283710937503,448,0,0
D235_F01_V01,235,1,tail100,Q,raw_SV_instrument_units_um2,448,52,1151986631729.5073,872695813589.08398,4190946912879.228,448,0,0
D235_F01_V01,235,1,tail100,area,um2,448,52,23500.000000000011,23500.000000000011,23500.000000000018,448,0,0
D235_F01_V01,235,1,tail500,Q,raw_SV_instrument_units_um2,448,52,3568231728991.563,3110833290947.1484,7724965775681.4746,448,0,0
D235_F01_V01,235,1,tail500,area,um2,448,52,117499.99999999999,117499.99999999996,117499.99999999999,448,0,0
D235_F03_V01,235,3,source,Q,raw_SV_instrument_units_um2,448,52,9336732596878.0234,6083450080741.5273,15698017974736.861,448,0,0
D235_F03_V01,235,3,source,area,um2,448,52,43373.297968750005,43369.974140624996,43377.951328125004,448,0,0
D235_F03_V01,235,3,tail100,Q,raw_SV_instrument_units_um2,448,52,1174045931482.3442,828758309396.77856,2592485574810.5728,448,0,0
D235_F03_V01,235,3,tail100,area,um2,448,52,23500.000000000018,23500.000000000011,23500.000000000018,448,0,0
D235_F03_V01,235,3,tail500,Q,raw_SV_instrument_units_um2,448,52,3655167410577.4102,3094064404313.9995,5248324808123.1348,448,0,0
D235_F03_V01,235,3,tail500,area,um2,448,52,117499.99999999999,117499.99999999996,117499.99999999999,448,0,0
D235_F05_V01,235,5,source,Q,raw_SV_instrument_units_um2,424,76,9318861550854.5664,5954699775075.5107,14073357771680.824,424,0,0
D235_F05_V01,235,5,source,area,um2,424,76,43373.630351562497,43369.974140624996,43378.283710937503,424,0,0
D235_F05_V01,235,5,tail100,Q,raw_SV_instrument_units_um2,424,76,1142771373176.4529,885098704098.8385,2130153123482.8914,424,0,0
D235_F05_V01,235,5,tail100,area,um2,424,76,23500.000000000011,23500.000000000011,23500.000000000018,424,0,0
D235_F05_V01,235,5,tail500,Q,raw_SV_instrument_units_um2,424,76,3594604137020.5889,3102703437495.0742,4801155964708.2393,424,0,0
D235_F05_V01,235,5,tail500,area,um2,424,76,117499.99999999999,117499.99999999996,117499.99999999999,424,0,0
D235_F07_V01,235,7,source,Q,raw_SV_instrument_units_um2,444,56,9322822273613.3906,6021082062975.7178,14107026962943.037,444,0,0
D235_F07_V01,235,7,source,area,um2,444,56,43373.630351562497,43369.641757812504,43377.951328125004,444,0,0
D235_F07_V01,235,7,tail100,Q,raw_SV_instrument_units_um2,444,56,1164794730432.9011,894159847012.60181,2463743109414.1167,444,0,0
D235_F07_V01,235,7,tail100,area,um2,444,56,23500.000000000018,23500.000000000011,23500.000000000018,444,0,0
D235_F07_V01,235,7,tail500,Q,raw_SV_instrument_units_um2,444,56,3575803512954.9893,3155441950185.6675,5157504838270.5459,444,0,0
D235_F07_V01,235,7,tail500,area,um2,444,56,117499.99999999999,117499.99999999996,117499.99999999999,444,0,0
D235_F10_V01,235,10,source,Q,raw_SV_instrument_units_um2,461,39,9543636335484.6875,6151836761518.668,14521396533495.947,461,0,0
D235_F10_V01,235,10,source,area,um2,461,39,43373.630351562497,43369.641757812504,43378.283710937503,461,0,0
D235_F10_V01,235,10,tail100,Q,raw_SV_instrument_units_um2,461,39,1174507937417.1497,801373230829.35791,2534064317269.7451,461,0,0
