scan_id,diameter_um,flow_mm_s,pair,rho,n_pairs,status,definition
D128_F01_V01,128,1,W100,0.16650087616658923,475,ok,"raw differences, original i/i+1 only"
D128_F01_V01,128,1,W500,0.20811268678024175,475,ok,"raw differences, original i/i+1 only"
D128_F01_V01,128,1,C100,0.12724939676070296,475,ok,"raw differences, original i/i+1 only"
D128_F03_V01,128,3,W100,0.15334189102829912,462,ok,"raw differences, original i/i+1 only"
D128_F03_V01,128,3,W500,0.13028235708295491,462,ok,"raw differences, original i/i+1 only"
D128_F03_V01,128,3,C100,0.15881176585908061,462,ok,"raw differences, original i/i+1 only"
D128_F05_V01,128,5,W100,0.15772628757521184,486,ok,"raw differences, original i/i+1 only"
D128_F05_V01,128,5,W500,0.1594290028719208,486,ok,"raw differences, original i/i+1 only"
D128_F05_V01,128,5,C100,0.10987672615141444,486,ok,"raw differences, original i/i+1 only"
D128_F07_V01,128,7,W100,0.17441840410893719,487,ok,"raw differences, original i/i+1 only"
D128_F07_V01,128,7,W500,0.22565554861534484,487,ok,"raw differences, original i/i+1 only"
D128_F07_V01,128,7,C100,0.14786004628746519,487,ok,"raw differences, original i/i+1 only"
D128_F10_V01,128,10,W100,0.11075720814760481,480,ok,"raw differences, original i/i+1 only"
D128_F10_V01,128,10,W500,0.11744831791804652,480,ok,"raw differences, original i/i+1 only"
D128_F10_V01,128,10,C100,0.1546163394806401,480,ok,"raw differences, original i/i+1 only"
D235_F01_V01,235,1,W100,0.12079605927658418,414,ok,"raw differences, original i/i+1 only"
D235_F01_V01,235,1,W500,0.19053834032836262,414,ok,"raw differences, original i/i+1 only"
D235_F01_V01,235,1,C100,0.0588513438954259,414,ok,"raw differences, original i/i+1 only"
D235_F03_V01,235,3,W100,0.065409445321155779,411,ok,"raw differences, original i/i+1 only"
D235_F03_V01,235,3,W500,0.065734222220685812,411,ok,"raw differences, original i/i+1 only"
D235_F03_V01,235,3,C100,0.054809169805254854,411,ok,"raw differences, original i/i+1 only"
D235_F05_V01,235,5,W100,0.047040766999937894,382,ok,"raw differences, original i/i+1 only"
D235_F05_V01,235,5,W500,0.14343306569953537,382,ok,"raw differences, original i/i+1 only"
D235_F05_V01,235,5,C100,0.10180722508998775,382,ok,"raw differences, original i/i+1 only"
D235_F07_V01,235,7,W100,0.077028562872140244,410,ok,"raw differences, original i/i+1 only"
D235_F07_V01,235,7,W500,0.017816939756319556,410,ok,"raw differences, original i/i+1 only"
D235_F07_V01,235,7,C100,0.12852522011201586,410,ok,"raw differences, original i/i+1 only"
D235_F10_V01,235,10,W100,0.025014707232648668,448,ok,"raw differences, original i/i+1 only"
D235_F10_V01,235,10,W500,0.0031774028575272204,448,ok,"raw differences, original i/i+1 only"
D235_F10_V01,235,10,C100,0.14172754197566981,448,ok,"raw differences, original i/i+1 only"
D285_F01_V01,285,1,W100,0.0057043429844097996,449,ok,"raw differences, original i/i+1 only"
D285_F01_V01,285,1,W500,0.11051848022059603,449,ok,"raw differences, original i/i+1 only"
D285_F01_V01,285,1,C100,0.062732262169901368,449,ok,"raw differences, original i/i+1 only"
D285_F03_V01,285,3,W100,-0.022256247376694065,472,ok,"raw differences, original i/i+1 only"
D285_F03_V01,285,3,W500,0.0046255773555432863,472,ok,"raw differences, original i/i+1 only"
D285_F03_V01,285,3,C100,0.046259767713463212,472,ok,"raw differences, original i/i+1 only"
D285_F05_V01,285,5,W100,0.084277745696052481,485,ok,"raw differences, original i/i+1 only"
D285_F05_V01,285,5,W500,0.09725622359174374,485,ok,"raw differences, original i/i+1 only"
D285_F05_V01,285,5,C100,0.17911479682801146,485,ok,"raw differences, original i/i+1 only"
D285_F07_V01,285,7,W100,0.037058127137988998,451,ok,"raw differences, original i/i+1 only"
D285_F07_V01,285,7,W500,0.075024494894989177,451,ok,"raw differences, original i/i+1 only"
D285_F07_V01,285,7,C100,0.032092040630784427,451,ok,"raw differences, original i/i+1 only"
D285_F10_V01,285,10,W100,0.054413167787503013,492,ok,"raw differences, original i/i+1 only"
D285_F10_V01,285,10,W500,0.054849055118990894,492,ok,"raw differences, original i/i+1 only"
D285_F10_V01,285,10,C100,0.10633444246473631,492,ok,"raw differences, original i/i+1 only"
