scan_id,diameter_um,flow_mm_s,region,side,n_defined,curve_median,curve_MAD,RCV,first_median,last_median,first_coverage,last_coverage,signed_difference,absolute_difference,relative_difference,status
D128_F01_V01,128,1,source,left,486,15054382.538078053,1438095.6652476983,0.14162790323039304,16203169.9845211,14572373.712623842,51,44,-1630796.2718972582,1630796.2718972582,-0.10832701160425388,ok
D128_F01_V01,128,1,source,right,486,15063059.94369881,1379229.6405138383,0.13575235527634064,16792242.831485931,14835278.697011512,51,44,-1956964.1344744191,1956964.1344744191,-0.12991810042507715,ok
D128_F01_V01,128,1,source,bg,486,15058422.837233678,946498.8347004354,0.093188987153229402,16637627.803046189,14356024.041585507,51,44,-2281603.7614606824,2281603.7614606824,-0.15151678141346619,ok
D128_F01_V01,128,1,tail100,left,486,16555156.652291697,1372852.1048934516,0.12294601455391702,17470275.119066212,16428313.227708848,51,44,-1041961.8913573641,1041961.8913573641,-0.062938811950965595,ok
D128_F01_V01,128,1,tail100,right,486,16605537.804955665,1286951.8869966064,0.11490352736975162,17946880.71432104,16514098.522926316,51,44,-1432782.191394724,1432782.191394724,-0.086283395829982235,ok
D128_F01_V01,128,1,tail100,bg,486,16541057.158937171,1023511.9177320162,0.091738923011314338,17480538.241836723,16424396.080657646,51,44,-1056142.1611790769,1056142.1611790769,-0.063849737718150668,ok
D128_F01_V01,128,1,tail500,left,486,16003772.871381849,682483.02104635537,0.063225674041696017,17563827.515715133,15750428.896055166,51,44,-1813398.6196599677,1813398.6196599677,-0.11331069456144996,ok
D128_F01_V01,128,1,tail500,right,486,16217627.042783841,695454.10243266076,0.063577750897006222,17243564.183258858,15873619.714991082,51,44,-1369944.4682677761,1369944.4682677761,-0.084472559681741069,ok
D128_F01_V01,128,1,tail500,bg,486,16048702.117690952,596638.89018113352,0.05511827760872038,17417994.229843687,15819292.21459841,51,44,-1598702.0152452774,1598702.0152452774,-0.099615657610280003,ok
D128_F03_V01,128,3,source,left,468,15581441.85466896,1377464.3719701096,0.1310680164859668,17128255.97632328,15505632.838426189,45,49,-1622623.137897091,1622623.137897091,-0.10413818907336063,ok
