scan_id,diameter_um,flow_mm_s,extension,mode,support,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status
D128_F01_V01,128,1,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.33769526793961674,486,ok
D128_F01_V01,128,1,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.16278840938247024,486,ok
D128_F01_V01,128,1,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.18169662773056866,486,ok
D128_F01_V01,128,1,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.1648157830057746,486,ok
D128_F01_V01,128,1,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.15207205191785805,486,ok
D128_F01_V01,128,1,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.14355009279723951,486,ok
D128_F01_V01,128,1,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.20091387711739825,486,ok
D128_F01_V01,128,1,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.11851549658338802,486,ok
D128_F01_V01,128,1,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.11863211498219586,486,ok
D128_F01_V01,128,1,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.13199823560215923,486,ok
D128_F01_V01,128,1,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.069242867709817871,486,ok
D128_F01_V01,128,1,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.049942600749761978,486,ok
D128_F03_V01,128,3,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.24178735181058447,468,ok
D128_F03_V01,128,3,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.15213849158420453,468,ok
D128_F03_V01,128,3,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.18279562465426441,468,ok
D128_F03_V01,128,3,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.21981536344190886,468,ok
D128_F03_V01,128,3,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.11829975383607498,468,ok
D128_F03_V01,128,3,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.12347122157925859,468,ok
D128_F03_V01,128,3,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.1412789155339205,468,ok
D128_F03_V01,128,3,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.06979584912856894,468,ok
