scan_id,diameter_um,flow_mm_s,extension,mode,support,C12,C12_status,C12_defined,pooled_S36_tail25_100_rho,n_pairs,status
D128_F01_V01,128,1,A,detrended_51,real_all,0.14781107235754878,ok,12,0.31096664735239687,486,ok
D128_F03_V01,128,3,A,detrended_51,real_all,0.13978938094892052,ok,12,0.26538988008476405,468,ok
D128_F05_V01,128,5,A,detrended_51,real_all,0.1252304685325413,ok,12,0.21754826067063601,491,ok
D128_F07_V01,128,7,A,detrended_51,real_all,0.12901738898208132,ok,12,0.21096167835120452,493,ok
D128_F10_V01,128,10,A,detrended_51,real_all,0.137623776402895,ok,12,0.26899892350576377,484,ok
D235_F01_V01,235,1,A,detrended_51,real_all,0.1632752538559909,ok,12,0.35188087620021541,448,ok
D235_F03_V01,235,3,A,detrended_51,real_all,0.11393855647737983,ok,12,0.25824166474729976,448,ok
D235_F05_V01,235,5,A,detrended_51,real_all,0.16191827415346455,ok,12,0.26220749633957974,424,ok
D235_F07_V01,235,7,A,detrended_51,real_all,0.12369685023635218,ok,12,0.27551473500345236,444,ok
D235_F10_V01,235,10,A,detrended_51,real_all,0.20772097891156169,ok,12,0.42547941601419248,461,ok
D285_F01_V01,285,1,A,detrended_51,real_all,0.12018397000162007,ok,12,0.36276145826229933,453,ok
D285_F03_V01,285,3,A,detrended_51,real_all,0.08863864791670685,ok,12,0.20475552517987389,474,ok
D285_F05_V01,285,5,A,detrended_51,real_all,0.12838579608585443,ok,12,0.30355771426772621,492,ok
D285_F07_V01,285,7,A,detrended_51,real_all,0.095954498279768013,ok,12,0.2186234805177153,458,ok
D285_F10_V01,285,10,A,detrended_51,real_all,0.16258021516772081,ok,12,0.35826810414275861,494,ok
