scan_id,diameter_um,flow_mm_s,frame_index,side,region,relative_error,status
D128_F01_V01,128,1,0,real,source,1.6869561224269397e-16,passed
D128_F01_V01,128,1,0,real,tail100,2.4793106412520327e-16,passed
D128_F01_V01,128,1,0,real,tail500,2.0577093804166712e-16,passed
D128_F01_V01,128,1,0,left,source,0,passed
D128_F01_V01,128,1,0,left,tail100,0,passed
D128_F01_V01,128,1,0,left,tail500,0,passed
D128_F01_V01,128,1,0,right,source,1.3823739981474472e-16,passed
D128_F01_V01,128,1,0,right,tail100,0,passed
D128_F01_V01,128,1,0,right,tail500,1.9067413218342114e-16,passed
D128_F01_V01,128,1,249,real,source,1.9166031940274642e-16,passed
D128_F01_V01,128,1,249,real,tail100,0,passed
D128_F01_V01,128,1,249,real,tail500,0,passed
D128_F01_V01,128,1,249,left,source,0,passed
D128_F01_V01,128,1,249,left,tail100,0,passed
D128_F01_V01,128,1,249,left,tail500,0,passed
D128_F01_V01,128,1,249,right,source,2.0217077271150717e-16,passed
D128_F01_V01,128,1,249,right,tail100,1.3233508855538286e-16,passed
D128_F01_V01,128,1,249,right,tail500,2.0714526269630529e-16,passed
D128_F01_V01,128,1,495,real,source,0,passed
D128_F01_V01,128,1,495,real,tail100,0,passed
D128_F01_V01,128,1,495,real,tail500,2.2982449868682233e-16,passed
D128_F01_V01,128,1,495,left,source,0,passed
D128_F01_V01,128,1,495,left,tail100,0,passed
D128_F01_V01,128,1,495,left,tail500,2.1304756693257275e-16,passed
D128_F01_V01,128,1,495,right,source,0,passed
D128_F01_V01,128,1,495,right,tail100,0,passed
D128_F01_V01,128,1,495,right,tail500,0,passed
D128_F03_V01,128,3,0,real,source,1.5584223083267323e-16,passed
D128_F03_V01,128,3,0,real,tail100,1.3259538090916855e-16,passed
D128_F03_V01,128,3,0,real,tail500,2.0278305229613749e-16,passed
D128_F03_V01,128,3,0,left,source,0,passed
D128_F03_V01,128,3,0,left,tail100,0,passed
D128_F03_V01,128,3,0,left,tail500,0,passed
D128_F03_V01,128,3,0,right,source,0,passed
D128_F03_V01,128,3,0,right,tail100,0,passed
D128_F03_V01,128,3,0,right,tail500,3.6754469821067354e-16,passed
D128_F03_V01,128,3,249,real,source,0,passed
D128_F03_V01,128,3,249,real,tail100,2.5871135296678253e-16,passed
D128_F03_V01,128,3,249,real,tail500,4.2821672824815054e-16,passed
D128_F03_V01,128,3,249,left,source,1.9623188067229782e-16,passed
D128_F03_V01,128,3,249,left,tail100,1.5037151928412011e-16,passed
D128_F03_V01,128,3,249,left,tail500,0,passed
D128_F03_V01,128,3,249,right,source,0,passed
D128_F03_V01,128,3,249,right,tail100,0,passed
D128_F03_V01,128,3,249,right,tail500,0,passed
D128_F03_V01,128,3,499,real,source,0,passed
D128_F03_V01,128,3,499,real,tail100,1.4937840243168143e-16,passed
D128_F03_V01,128,3,499,real,tail500,0,passed
D128_F03_V01,128,3,499,left,source,2.0295512379118945e-16,passed
D128_F03_V01,128,3,499,left,tail100,1.3545365364469355e-16,passed
D128_F03_V01,128,3,499,left,tail500,2.0666482130153886e-16,passed
D128_F03_V01,128,3,499,right,source,1.9196518747448089e-16,passed
D128_F03_V01,128,3,499,right,tail100,0,passed
D128_F03_V01,128,3,499,right,tail500,1.9276424298854538e-16,passed
D128_F05_V01,128,5,0,real,source,1.7046461671269009e-16,passed
D128_F05_V01,128,5,0,real,tail100,0,passed
D128_F05_V01,128,5,0,real,tail500,0,passed
D128_F05_V01,128,5,0,left,source,0,passed
D128_F05_V01,128,5,0,left,tail100,0,passed
D128_F05_V01,128,5,0,left,tail500,0,passed
D128_F05_V01,128,5,0,right,source,1.5475709492780461e-16,passed
D128_F05_V01,128,5,0,right,tail100,1.3473027703814045e-16,passed
D128_F05_V01,128,5,0,right,tail500,0,passed
D128_F05_V01,128,5,249,real,source,0,passed
D128_F05_V01,128,5,249,real,tail100,1.321674790346573e-16,passed
D128_F05_V01,128,5,249,real,tail500,0,passed
D128_F05_V01,128,5,249,left,source,0,passed
D128_F05_V01,128,5,249,left,tail100,1.5084579366173536e-16,passed
D128_F05_V01,128,5,249,left,tail500,0,passed
D128_F05_V01,128,5,249,right,source,0,passed
D128_F05_V01,128,5,249,right,tail100,1.3616587379300067e-16,passed
D128_F05_V01,128,5,249,right,tail500,0,passed
D128_F05_V01,128,5,499,real,source,2.3784877901605092e-16,passed
D128_F05_V01,128,5,499,real,tail100,0,passed
D128_F05_V01,128,5,499,real,tail500,1.1790654584466387e-16,passed
D128_F05_V01,128,5,499,left,source,0,passed
D128_F05_V01,128,5,499,left,tail100,0,passed
D128_F05_V01,128,5,499,left,tail500,0,passed
D128_F05_V01,128,5,499,right,source,1.669828654152556e-16,passed
D128_F05_V01,128,5,499,right,tail100,1.3908502379648586e-16,passed
D128_F05_V01,128,5,499,right,tail500,0,passed
D128_F07_V01,128,7,0,real,source,0,passed
D128_F07_V01,128,7,0,real,tail100,0,passed
D128_F07_V01,128,7,0,real,tail500,4.1922604373786799e-16,passed
D128_F07_V01,128,7,0,left,source,3.4580334102712146e-16,passed
D128_F07_V01,128,7,0,left,tail100,0,passed
D128_F07_V01,128,7,0,left,tail500,1.9031145189604318e-16,passed
D128_F07_V01,128,7,0,right,source,1.4435504980789499e-16,passed
D128_F07_V01,128,7,0,right,tail100,0,passed
D128_F07_V01,128,7,0,right,tail500,0,passed
D128_F07_V01,128,7,249,real,source,2.2518373786905739e-16,passed
D128_F07_V01,128,7,249,real,tail100,0,passed
D128_F07_V01,128,7,249,real,tail500,1.1214796749594131e-16,passed
D128_F07_V01,128,7,249,left,source,2.1475940161076039e-16,passed
D128_F07_V01,128,7,249,left,tail100,0,passed
D128_F07_V01,128,7,249,left,tail500,2.2081841653607158e-16,passed
D128_F07_V01,128,7,249,right,source,0,passed
D128_F07_V01,128,7,249,right,tail100,1.4106065338731422e-16,passed
D128_F07_V01,128,7,249,right,tail500,0,passed
D128_F07_V01,128,7,498,real,source,0,passed
D128_F07_V01,128,7,498,real,tail100,0,passed
D128_F07_V01,128,7,498,real,tail500,2.250199749854473e-16,passed
D128_F07_V01,128,7,498,left,source,2.2635143123671362e-16,passed
D128_F07_V01,128,7,498,left,tail100,0,passed
D128_F07_V01,128,7,498,left,tail500,0,passed
D128_F07_V01,128,7,498,right,source,0,passed
D128_F07_V01,128,7,498,right,tail100,0,passed
D128_F07_V01,128,7,498,right,tail500,1.989336405708568e-16,passed
D128_F10_V01,128,10,0,real,source,1.8242219259598198e-16,passed
D128_F10_V01,128,10,0,real,tail100,1.3065607165223651e-16,passed
D128_F10_V01,128,10,0,real,tail500,4.2137520626301643e-16,passed
D128_F10_V01,128,10,0,left,source,0,passed
D128_F10_V01,128,10,0,left,tail100,0,passed
D128_F10_V01,128,10,0,left,tail500,1.8963949761320938e-16,passed
D128_F10_V01,128,10,0,right,source,1.529018646841564e-16,passed
D128_F10_V01,128,10,0,right,tail100,0,passed
D128_F10_V01,128,10,0,right,tail500,1.883719926553952e-16,passed
D128_F10_V01,128,10,249,real,source,1.6633293736901864e-16,passed
D128_F10_V01,128,10,249,real,tail100,1.4703807036362119e-16,passed
D128_F10_V01,128,10,249,real,tail500,0,passed
D128_F10_V01,128,10,249,left,source,1.7216809532132454e-16,passed
D128_F10_V01,128,10,249,left,tail100,0,passed
D128_F10_V01,128,10,249,left,tail500,2.0244915433674182e-16,passed
D128_F10_V01,128,10,249,right,source,0,passed
D128_F10_V01,128,10,249,right,tail100,0,passed
D128_F10_V01,128,10,249,right,tail500,2.0687670436457663e-16,passed
D128_F10_V01,128,10,499,real,source,0,passed
D128_F10_V01,128,10,499,real,tail100,0,passed
D128_F10_V01,128,10,499,real,tail500,0,passed
D128_F10_V01,128,10,499,left,source,0,passed
D128_F10_V01,128,10,499,left,tail100,0,passed
D128_F10_V01,128,10,499,left,tail500,2.1701549894174001e-16,passed
D128_F10_V01,128,10,499,right,source,0,passed
D128_F10_V01,128,10,499,right,tail100,0,passed
D128_F10_V01,128,10,499,right,tail500,0,passed
D235_F01_V01,235,1,0,real,source,1.1164861818395619e-16,passed
D235_F01_V01,235,1,0,real,tail100,4.1855110000774737e-16,passed
D235_F01_V01,235,1,0,real,tail500,1.1293526213793792e-16,passed
D235_F01_V01,235,1,0,left,source,1.1231979506989252e-16,passed
D235_F01_V01,235,1,0,left,tail100,4.4280091934530175e-16,passed
D235_F01_V01,235,1,0,left,tail500,0,passed
D235_F01_V01,235,1,0,right,source,1.1235078046332712e-16,passed
D235_F01_V01,235,1,0,right,tail100,0,passed
D235_F01_V01,235,1,0,right,tail500,1.6114765095495122e-16,passed
D235_F01_V01,235,1,249,real,source,1.139370387059537e-16,passed
D235_F01_V01,235,1,249,real,tail100,0,passed
D235_F01_V01,235,1,249,real,tail500,2.9512302634107872e-16,passed
D235_F01_V01,235,1,249,left,source,0,passed
D235_F01_V01,235,1,249,left,tail100,4.4759879447284255e-16,passed
D235_F01_V01,235,1,249,left,tail500,2.2026343092890815e-16,passed
D235_F01_V01,235,1,249,right,source,0,passed
D235_F01_V01,235,1,249,right,tail100,3.8421573960224207e-16,passed
D235_F01_V01,235,1,249,right,tail500,1.9872420609123169e-16,passed
D235_F01_V01,235,1,497,real,source,1.1470775623630341e-16,passed
D235_F01_V01,235,1,497,real,tail100,4.5546643996651624e-16,passed
D235_F01_V01,235,1,497,real,tail500,1.3896476476059548e-16,passed
D235_F01_V01,235,1,497,left,source,1.1717850084753647e-16,passed
D235_F01_V01,235,1,497,left,tail100,1.5788364940502007e-16,passed
D235_F01_V01,235,1,497,left,tail500,1.1865200209194025e-16,passed
D235_F01_V01,235,1,497,right,source,2.0737422594091173e-16,passed
D235_F01_V01,235,1,497,right,tail100,0,passed
D235_F01_V01,235,1,497,right,tail500,2.1309999557332362e-16,passed
D235_F03_V01,235,3,0,real,source,0,passed
D235_F03_V01,235,3,0,real,tail100,2.1560064032204251e-16,passed
D235_F03_V01,235,3,0,real,tail500,0,passed
D235_F03_V01,235,3,0,left,source,0,passed
D235_F03_V01,235,3,0,left,tail100,0,passed
D235_F03_V01,235,3,0,left,tail500,0,passed
D235_F03_V01,235,3,0,right,source,3.4066001137676565e-16,passed
D235_F03_V01,235,3,0,right,tail100,1.3575880997964034e-16,passed
D235_F03_V01,235,3,0,right,tail500,0,passed
D235_F03_V01,235,3,249,real,source,2.3201248536019635e-16,passed
D235_F03_V01,235,3,249,real,tail100,4.4922779266792374e-16,passed
D235_F03_V01,235,3,249,real,tail500,1.4616535784869781e-16,passed
D235_F03_V01,235,3,249,left,source,1.7358821949701704e-16,passed
D235_F03_V01,235,3,249,left,tail100,0,passed
D235_F03_V01,235,3,249,left,tail500,2.1694458289760771e-16,passed
D235_F03_V01,235,3,249,right,source,1.7892945707566376e-16,passed
D235_F03_V01,235,3,249,right,tail100,0,passed
D235_F03_V01,235,3,249,right,tail500,1.9846213907749325e-16,passed
D235_F03_V01,235,3,497,real,source,2.1404833626203846e-16,passed
