scan_id,diameter_um,flow_mm_s,side,mode,kind,region,rho,n_pairs,status
D128_F01_V01,128,1,real,raw,same_ROI_structural_vs_SV,source,0.63859000161772583,486,ok
D128_F01_V01,128,1,real,raw,same_ROI_structural_vs_SV,tail100,0.65775757057819195,486,ok
D128_F01_V01,128,1,real,raw,same_ROI_structural_vs_SV,tail500,0.71437661756254445,486,ok
D128_F01_V01,128,1,real,raw,structural_source_vs_tail,tail100,0.40390820620856538,486,ok
D128_F01_V01,128,1,real,raw,structural_source_vs_tail,tail500,0.47411949584448299,486,ok
D128_F01_V01,128,1,real,detrended_51,same_ROI_structural_vs_SV,source,0.65335707499947338,486,ok
D128_F01_V01,128,1,real,detrended_51,same_ROI_structural_vs_SV,tail100,0.63402106122881574,486,ok
D128_F01_V01,128,1,real,detrended_51,same_ROI_structural_vs_SV,tail500,0.69375334913810272,486,ok
D128_F01_V01,128,1,real,detrended_51,structural_source_vs_tail,tail100,0.40857820847314019,486,ok
D128_F01_V01,128,1,real,detrended_51,structural_source_vs_tail,tail500,0.48678177159044367,486,ok
D128_F01_V01,128,1,left,raw,same_ROI_structural_vs_SV,source,0.25887581379583047,486,ok
D128_F01_V01,128,1,left,raw,same_ROI_structural_vs_SV,tail100,0.25132126912294428,486,ok
D128_F01_V01,128,1,left,raw,same_ROI_structural_vs_SV,tail500,0.48970360596065343,486,ok
D128_F01_V01,128,1,left,raw,structural_source_vs_tail,tail100,0.38830831085112505,486,ok
D128_F01_V01,128,1,left,raw,structural_source_vs_tail,tail500,0.46859100256928321,486,ok
D128_F01_V01,128,1,left,detrended_51,same_ROI_structural_vs_SV,source,0.15364960991305196,486,ok
D128_F01_V01,128,1,left,detrended_51,same_ROI_structural_vs_SV,tail100,0.2318558091659832,486,ok
D128_F01_V01,128,1,left,detrended_51,same_ROI_structural_vs_SV,tail500,0.35554663148754062,486,ok
D128_F01_V01,128,1,left,detrended_51,structural_source_vs_tail,tail100,0.32682827390558378,486,ok
D128_F01_V01,128,1,left,detrended_51,structural_source_vs_tail,tail500,0.38912269703250613,486,ok
D128_F01_V01,128,1,right,raw,same_ROI_structural_vs_SV,source,0.30365091200276817,486,ok
D128_F01_V01,128,1,right,raw,same_ROI_structural_vs_SV,tail100,0.30313344879557824,486,ok
D128_F01_V01,128,1,right,raw,same_ROI_structural_vs_SV,tail500,0.47213525965545838,486,ok
D128_F01_V01,128,1,right,raw,structural_source_vs_tail,tail100,0.28876574309937986,486,ok
D128_F01_V01,128,1,right,raw,structural_source_vs_tail,tail500,0.35931218163272188,486,ok
D128_F01_V01,128,1,right,detrended_51,same_ROI_structural_vs_SV,source,0.21233162223426724,486,ok
D128_F01_V01,128,1,right,detrended_51,same_ROI_structural_vs_SV,tail100,0.22662873837702749,486,ok
D128_F01_V01,128,1,right,detrended_51,same_ROI_structural_vs_SV,tail500,0.4486506402412796,486,ok
D128_F01_V01,128,1,right,detrended_51,structural_source_vs_tail,tail100,0.26203620322337767,486,ok
D128_F01_V01,128,1,right,detrended_51,structural_source_vs_tail,tail500,0.36600536715165827,486,ok
D128_F03_V01,128,3,real,raw,same_ROI_structural_vs_SV,source,0.67992273847366691,468,ok
D128_F03_V01,128,3,real,raw,same_ROI_structural_vs_SV,tail100,0.70793056858447256,468,ok
D128_F03_V01,128,3,real,raw,same_ROI_structural_vs_SV,tail500,0.76319136135685084,468,ok
D128_F03_V01,128,3,real,raw,structural_source_vs_tail,tail100,0.36900878107052804,468,ok
D128_F03_V01,128,3,real,raw,structural_source_vs_tail,tail500,0.37738923801118185,468,ok
D128_F03_V01,128,3,real,detrended_51,same_ROI_structural_vs_SV,source,0.62281653618375155,468,ok
D128_F03_V01,128,3,real,detrended_51,same_ROI_structural_vs_SV,tail100,0.68204310227438258,468,ok
D128_F03_V01,128,3,real,detrended_51,same_ROI_structural_vs_SV,tail500,0.72452780459498767,468,ok
D128_F03_V01,128,3,real,detrended_51,structural_source_vs_tail,tail100,0.39047379219923323,468,ok
D128_F03_V01,128,3,real,detrended_51,structural_source_vs_tail,tail500,0.41241773618876792,468,ok
D128_F03_V01,128,3,left,raw,same_ROI_structural_vs_SV,source,0.28903965945737814,468,ok
D128_F03_V01,128,3,left,raw,same_ROI_structural_vs_SV,tail100,0.30724076864893124,468,ok
D128_F03_V01,128,3,left,raw,same_ROI_structural_vs_SV,tail500,0.52745613767059008,468,ok
D128_F03_V01,128,3,left,raw,structural_source_vs_tail,tail100,0.40096690465829782,468,ok
D128_F03_V01,128,3,left,raw,structural_source_vs_tail,tail500,0.47458228541037195,468,ok
D128_F03_V01,128,3,left,detrended_51,same_ROI_structural_vs_SV,source,0.28780559720313542,468,ok
D128_F03_V01,128,3,left,detrended_51,same_ROI_structural_vs_SV,tail100,0.21081249536870977,468,ok
D128_F03_V01,128,3,left,detrended_51,same_ROI_structural_vs_SV,tail500,0.39815692086554788,468,ok
D128_F03_V01,128,3,left,detrended_51,structural_source_vs_tail,tail100,0.31044322932602869,468,ok
D128_F03_V01,128,3,left,detrended_51,structural_source_vs_tail,tail500,0.39307359671141334,468,ok
D128_F03_V01,128,3,right,raw,same_ROI_structural_vs_SV,source,0.27988864768563704,468,ok
D128_F03_V01,128,3,right,raw,same_ROI_structural_vs_SV,tail100,0.33762055431012572,468,ok
D128_F03_V01,128,3,right,raw,same_ROI_structural_vs_SV,tail500,0.52515009253799239,468,ok
D128_F03_V01,128,3,right,raw,structural_source_vs_tail,tail100,0.38007634603882484,468,ok
D128_F03_V01,128,3,right,raw,structural_source_vs_tail,tail500,0.41811941773589639,468,ok
D128_F03_V01,128,3,right,detrended_51,same_ROI_structural_vs_SV,source,0.28499978473596366,468,ok
D128_F03_V01,128,3,right,detrended_51,same_ROI_structural_vs_SV,tail100,0.26698464573763514,468,ok
D128_F03_V01,128,3,right,detrended_51,same_ROI_structural_vs_SV,tail500,0.44695257070042577,468,ok
D128_F03_V01,128,3,right,detrended_51,structural_source_vs_tail,tail100,0.32404003324493014,468,ok
D128_F03_V01,128,3,right,detrended_51,structural_source_vs_tail,tail500,0.43101468663361864,468,ok
D128_F05_V01,128,5,real,raw,same_ROI_structural_vs_SV,source,0.73301446951042104,491,ok
D128_F05_V01,128,5,real,raw,same_ROI_structural_vs_SV,tail100,0.67653086568689369,491,ok
D128_F05_V01,128,5,real,raw,same_ROI_structural_vs_SV,tail500,0.72308765342111214,491,ok
D128_F05_V01,128,5,real,raw,structural_source_vs_tail,tail100,0.35259620911600448,491,ok
D128_F05_V01,128,5,real,raw,structural_source_vs_tail,tail500,0.45947928821322381,491,ok
D128_F05_V01,128,5,real,detrended_51,same_ROI_structural_vs_SV,source,0.65734036252139383,491,ok
D128_F05_V01,128,5,real,detrended_51,same_ROI_structural_vs_SV,tail100,0.6561407092602537,491,ok
D128_F05_V01,128,5,real,detrended_51,same_ROI_structural_vs_SV,tail500,0.69156282342543862,491,ok
D128_F05_V01,128,5,real,detrended_51,structural_source_vs_tail,tail100,0.34251010949758182,491,ok
D128_F05_V01,128,5,real,detrended_51,structural_source_vs_tail,tail500,0.45432313410234693,491,ok
D128_F05_V01,128,5,left,raw,same_ROI_structural_vs_SV,source,0.21593552030121074,491,ok
D128_F05_V01,128,5,left,raw,same_ROI_structural_vs_SV,tail100,0.21912493575245409,491,ok
D128_F05_V01,128,5,left,raw,same_ROI_structural_vs_SV,tail500,0.46380848300772798,491,ok
D128_F05_V01,128,5,left,raw,structural_source_vs_tail,tail100,0.39931803827785151,491,ok
D128_F05_V01,128,5,left,raw,structural_source_vs_tail,tail500,0.46396369088592171,491,ok
D128_F05_V01,128,5,left,detrended_51,same_ROI_structural_vs_SV,source,0.17273550454666092,491,ok
D128_F05_V01,128,5,left,detrended_51,same_ROI_structural_vs_SV,tail100,0.13452211091553795,491,ok
D128_F05_V01,128,5,left,detrended_51,same_ROI_structural_vs_SV,tail500,0.36562933613592552,491,ok
D128_F05_V01,128,5,left,detrended_51,structural_source_vs_tail,tail100,0.31632351154428912,491,ok
D128_F05_V01,128,5,left,detrended_51,structural_source_vs_tail,tail500,0.39529647201122053,491,ok
D128_F05_V01,128,5,right,raw,same_ROI_structural_vs_SV,source,0.29797733012036465,491,ok
D128_F05_V01,128,5,right,raw,same_ROI_structural_vs_SV,tail100,0.27177568558594267,491,ok
D128_F05_V01,128,5,right,raw,same_ROI_structural_vs_SV,tail500,0.46632293173590533,491,ok
D128_F05_V01,128,5,right,raw,structural_source_vs_tail,tail100,0.42016648097816445,491,ok
D128_F05_V01,128,5,right,raw,structural_source_vs_tail,tail500,0.44108892874123473,491,ok
D128_F05_V01,128,5,right,detrended_51,same_ROI_structural_vs_SV,source,0.23751616495090924,491,ok
D128_F05_V01,128,5,right,detrended_51,same_ROI_structural_vs_SV,tail100,0.1900952998002487,491,ok
D128_F05_V01,128,5,right,detrended_51,same_ROI_structural_vs_SV,tail500,0.43136576170720264,491,ok
D128_F05_V01,128,5,right,detrended_51,structural_source_vs_tail,tail100,0.38853274472324395,491,ok
D128_F05_V01,128,5,right,detrended_51,structural_source_vs_tail,tail500,0.44519160604534619,491,ok
D128_F07_V01,128,7,real,raw,same_ROI_structural_vs_SV,source,0.65169257128184033,493,ok
D128_F07_V01,128,7,real,raw,same_ROI_structural_vs_SV,tail100,0.65742203828818224,493,ok
D128_F07_V01,128,7,real,raw,same_ROI_structural_vs_SV,tail500,0.73184111479945058,493,ok
D128_F07_V01,128,7,real,raw,structural_source_vs_tail,tail100,0.38223696979396149,493,ok
D128_F07_V01,128,7,real,raw,structural_source_vs_tail,tail500,0.45262088314110593,493,ok
D128_F07_V01,128,7,real,detrended_51,same_ROI_structural_vs_SV,source,0.60672594314147432,493,ok
D128_F07_V01,128,7,real,detrended_51,same_ROI_structural_vs_SV,tail100,0.64889591885472964,493,ok
D128_F07_V01,128,7,real,detrended_51,same_ROI_structural_vs_SV,tail500,0.6890762740683043,493,ok
D128_F07_V01,128,7,real,detrended_51,structural_source_vs_tail,tail100,0.39926722336569098,493,ok
D128_F07_V01,128,7,real,detrended_51,structural_source_vs_tail,tail500,0.45052398749264161,493,ok
D128_F07_V01,128,7,left,raw,same_ROI_structural_vs_SV,source,0.25403230894616063,493,ok
D128_F07_V01,128,7,left,raw,same_ROI_structural_vs_SV,tail100,0.23162659778620845,493,ok
D128_F07_V01,128,7,left,raw,same_ROI_structural_vs_SV,tail500,0.40984256534306396,493,ok
D128_F07_V01,128,7,left,raw,structural_source_vs_tail,tail100,0.40945208829608393,493,ok
D128_F07_V01,128,7,left,raw,structural_source_vs_tail,tail500,0.4840731633207554,493,ok
D128_F07_V01,128,7,left,detrended_51,same_ROI_structural_vs_SV,source,0.17487293601332021,493,ok
D128_F07_V01,128,7,left,detrended_51,same_ROI_structural_vs_SV,tail100,0.202052189197999,493,ok
D128_F07_V01,128,7,left,detrended_51,same_ROI_structural_vs_SV,tail500,0.33229628506130521,493,ok
D128_F07_V01,128,7,left,detrended_51,structural_source_vs_tail,tail100,0.30430194392406013,493,ok
D128_F07_V01,128,7,left,detrended_51,structural_source_vs_tail,tail500,0.38881452282163909,493,ok
D128_F07_V01,128,7,right,raw,same_ROI_structural_vs_SV,source,0.23558604906330574,493,ok
D128_F07_V01,128,7,right,raw,same_ROI_structural_vs_SV,tail100,0.26381997315633043,493,ok
D128_F07_V01,128,7,right,raw,same_ROI_structural_vs_SV,tail500,0.31116343732768287,493,ok
D128_F07_V01,128,7,right,raw,structural_source_vs_tail,tail100,0.3947098021456108,493,ok
D128_F07_V01,128,7,right,raw,structural_source_vs_tail,tail500,0.43136587248636032,493,ok
D128_F07_V01,128,7,right,detrended_51,same_ROI_structural_vs_SV,source,0.21526160015317453,493,ok
D128_F07_V01,128,7,right,detrended_51,same_ROI_structural_vs_SV,tail100,0.26566454267547096,493,ok
D128_F07_V01,128,7,right,detrended_51,same_ROI_structural_vs_SV,tail500,0.38564588591118204,493,ok
D128_F07_V01,128,7,right,detrended_51,structural_source_vs_tail,tail100,0.3671424488250597,493,ok
D128_F07_V01,128,7,right,detrended_51,structural_source_vs_tail,tail500,0.42887822419302635,493,ok
D128_F10_V01,128,10,real,raw,same_ROI_structural_vs_SV,source,0.6433255347399025,484,ok
D128_F10_V01,128,10,real,raw,same_ROI_structural_vs_SV,tail100,0.72972904606497369,484,ok
D128_F10_V01,128,10,real,raw,same_ROI_structural_vs_SV,tail500,0.73165585077080131,484,ok
D128_F10_V01,128,10,real,raw,structural_source_vs_tail,tail100,0.36133774542152358,484,ok
D128_F10_V01,128,10,real,raw,structural_source_vs_tail,tail500,0.45612754060657568,484,ok
D128_F10_V01,128,10,real,detrended_51,same_ROI_structural_vs_SV,source,0.59400119062428014,484,ok
D128_F10_V01,128,10,real,detrended_51,same_ROI_structural_vs_SV,tail100,0.7013459656792197,484,ok
D128_F10_V01,128,10,real,detrended_51,same_ROI_structural_vs_SV,tail500,0.69665230927034205,484,ok
D128_F10_V01,128,10,real,detrended_51,structural_source_vs_tail,tail100,0.37591170738044721,484,ok
D128_F10_V01,128,10,real,detrended_51,structural_source_vs_tail,tail500,0.44846310059258748,484,ok
D128_F10_V01,128,10,left,raw,same_ROI_structural_vs_SV,source,0.24278437832897717,484,ok
D128_F10_V01,128,10,left,raw,same_ROI_structural_vs_SV,tail100,0.20494576528967956,484,ok
D128_F10_V01,128,10,left,raw,same_ROI_structural_vs_SV,tail500,0.44673514823060484,484,ok
D128_F10_V01,128,10,left,raw,structural_source_vs_tail,tail100,0.30473234031361246,484,ok
D128_F10_V01,128,10,left,raw,structural_source_vs_tail,tail500,0.41161406540975426,484,ok
D128_F10_V01,128,10,left,detrended_51,same_ROI_structural_vs_SV,source,0.22740471259774719,484,ok
D128_F10_V01,128,10,left,detrended_51,same_ROI_structural_vs_SV,tail100,0.16193301932664084,484,ok
D128_F10_V01,128,10,left,detrended_51,same_ROI_structural_vs_SV,tail500,0.29535482193243662,484,ok
D128_F10_V01,128,10,left,detrended_51,structural_source_vs_tail,tail100,0.25008043823597681,484,ok
D128_F10_V01,128,10,left,detrended_51,structural_source_vs_tail,tail500,0.35638518953246151,484,ok
D128_F10_V01,128,10,right,raw,same_ROI_structural_vs_SV,source,0.29899193345670672,484,ok
