scan_id,diameter_um,flow_mm_s,pair,side,rho,n_pairs,status,support
D128_F01_V01,128,1,W100,left,0.020566527403541458,486,ok,real_L_R_common
D128_F01_V01,128,1,W100,right,0.030890194509173123,486,ok,real_L_R_common
D128_F01_V01,128,1,W500,left,-0.048918907695208222,486,ok,real_L_R_common
D128_F01_V01,128,1,W500,right,0.091933981726961933,486,ok,real_L_R_common
D128_F01_V01,128,1,C100,left,0.023950723977574646,486,ok,real_L_R_common
D128_F01_V01,128,1,C100,right,0.021395633959926972,486,ok,real_L_R_common
D128_F03_V01,128,3,W100,left,0.0043394626522245848,468,ok,real_L_R_common
D128_F03_V01,128,3,W100,right,-0.040430977168877232,468,ok,real_L_R_common
D128_F03_V01,128,3,W500,left,-0.030138011948133123,468,ok,real_L_R_common
D128_F03_V01,128,3,W500,right,-0.046726743250292711,468,ok,real_L_R_common
D128_F03_V01,128,3,C100,left,-0.0093237729988290448,468,ok,real_L_R_common
D128_F03_V01,128,3,C100,right,-0.029284743354288403,468,ok,real_L_R_common
D128_F05_V01,128,5,W100,left,0.077202619359994062,491,ok,real_L_R_common
D128_F05_V01,128,5,W100,right,-0.036317002800238481,491,ok,real_L_R_common
D128_F05_V01,128,5,W500,left,-0.038184252394593783,491,ok,real_L_R_common
D128_F05_V01,128,5,W500,right,-0.021365313587671263,491,ok,real_L_R_common
D128_F05_V01,128,5,C100,left,0.085611675092283707,491,ok,real_L_R_common
D128_F05_V01,128,5,C100,right,-0.0063960466903696059,491,ok,real_L_R_common
D128_F07_V01,128,7,W100,left,0.059413005049666671,493,ok,real_L_R_common
D128_F07_V01,128,7,W100,right,0.05190071027455511,493,ok,real_L_R_common
D128_F07_V01,128,7,W500,left,0.019583509052020047,493,ok,real_L_R_common
D128_F07_V01,128,7,W500,right,0.058269205993333115,493,ok,real_L_R_common
D128_F07_V01,128,7,C100,left,0.0292059449236921,493,ok,real_L_R_common
D128_F07_V01,128,7,C100,right,0.050612818280113006,493,ok,real_L_R_common
D128_F10_V01,128,10,W100,left,-0.019410447102204003,484,ok,real_L_R_common
D128_F10_V01,128,10,W100,right,-0.01429671375305838,484,ok,real_L_R_common
D128_F10_V01,128,10,W500,left,0.056990430393332056,484,ok,real_L_R_common
D128_F10_V01,128,10,W500,right,0.035798250252641488,484,ok,real_L_R_common
D128_F10_V01,128,10,C100,left,-0.019882057060234257,484,ok,real_L_R_common
D128_F10_V01,128,10,C100,right,-0.0341267770047037,484,ok,real_L_R_common
D235_F01_V01,235,1,W100,left,-0.02592470118199066,448,ok,real_L_R_common
D235_F01_V01,235,1,W100,right,0.082307582049863215,448,ok,real_L_R_common
D235_F01_V01,235,1,W500,left,-0.028987530424055937,448,ok,real_L_R_common
D235_F01_V01,235,1,W500,right,0.10076103229654611,448,ok,real_L_R_common
D235_F01_V01,235,1,C100,left,-0.076822427836096427,448,ok,real_L_R_common
D235_F01_V01,235,1,C100,right,0.051991603931542396,448,ok,real_L_R_common
D235_F03_V01,235,3,W100,left,-0.080805780309667119,448,ok,real_L_R_common
D235_F03_V01,235,3,W100,right,-0.0043341017939377826,448,ok,real_L_R_common
D235_F03_V01,235,3,W500,left,-0.086647588125787614,448,ok,real_L_R_common
D235_F03_V01,235,3,W500,right,0.025690210710354315,448,ok,real_L_R_common
D235_F03_V01,235,3,C100,left,-0.010055000818473362,448,ok,real_L_R_common
D235_F03_V01,235,3,C100,right,0.082348106798910137,448,ok,real_L_R_common
D235_F05_V01,235,5,W100,left,0.032629173577223267,424,ok,real_L_R_common
D235_F05_V01,235,5,W100,right,0.045291086704827913,424,ok,real_L_R_common
D235_F05_V01,235,5,W500,left,-0.056105204776292453,424,ok,real_L_R_common
D235_F05_V01,235,5,W500,right,0.086724038845340287,424,ok,real_L_R_common
D235_F05_V01,235,5,C100,left,-0.0090625961928677418,424,ok,real_L_R_common
D235_F05_V01,235,5,C100,right,0.023872142758490138,424,ok,real_L_R_common
D235_F07_V01,235,7,W100,left,0.00094152905758561594,444,ok,real_L_R_common
D235_F07_V01,235,7,W100,right,0.018831609396041681,444,ok,real_L_R_common
D235_F07_V01,235,7,W500,left,-0.068248516929707459,444,ok,real_L_R_common
D235_F07_V01,235,7,W500,right,0.11038556730076804,444,ok,real_L_R_common
D235_F07_V01,235,7,C100,left,-0.0084341427275626407,444,ok,real_L_R_common
D235_F07_V01,235,7,C100,right,-0.012011268876220373,444,ok,real_L_R_common
D235_F10_V01,235,10,W100,left,-0.00036151271790785364,461,ok,real_L_R_common
D235_F10_V01,235,10,W100,right,0.024040247130536412,461,ok,real_L_R_common
D235_F10_V01,235,10,W500,left,-0.053425353388068114,461,ok,real_L_R_common
D235_F10_V01,235,10,W500,right,0.014258348207790712,461,ok,real_L_R_common
D235_F10_V01,235,10,C100,left,-0.033725471271039524,461,ok,real_L_R_common
D235_F10_V01,235,10,C100,right,0.028393710771323178,461,ok,real_L_R_common
D285_F01_V01,285,1,W100,left,0.010215351918082104,453,ok,real_L_R_common
D285_F01_V01,285,1,W100,right,-0.037981038332371306,453,ok,real_L_R_common
D285_F01_V01,285,1,W500,left,0.011384632424394024,453,ok,real_L_R_common
D285_F01_V01,285,1,W500,right,-0.14731484503120856,453,ok,real_L_R_common
D285_F01_V01,285,1,C100,left,0.012708072270302918,453,ok,real_L_R_common
D285_F01_V01,285,1,C100,right,-0.039451997623901607,453,ok,real_L_R_common
D285_F03_V01,285,3,W100,left,-0.014041764995627672,474,ok,real_L_R_common
D285_F03_V01,285,3,W100,right,-0.015378076256445798,474,ok,real_L_R_common
D285_F03_V01,285,3,W500,left,-0.063039479834258644,474,ok,real_L_R_common
D285_F03_V01,285,3,W500,right,-0.062057091967195228,474,ok,real_L_R_common
D285_F03_V01,285,3,C100,left,-0.0081268808677734672,474,ok,real_L_R_common
D285_F03_V01,285,3,C100,right,0.019369619560107024,474,ok,real_L_R_common
D285_F05_V01,285,5,W100,left,0.010771087241196256,492,ok,real_L_R_common
D285_F05_V01,285,5,W100,right,0.021615376926598474,492,ok,real_L_R_common
D285_F05_V01,285,5,W500,left,-0.030690314561436526,492,ok,real_L_R_common
D285_F05_V01,285,5,W500,right,-0.039545092540100336,492,ok,real_L_R_common
D285_F05_V01,285,5,C100,left,0.018972313058738768,492,ok,real_L_R_common
D285_F05_V01,285,5,C100,right,0.015584723887594271,492,ok,real_L_R_common
D285_F07_V01,285,7,W100,left,0.013162863937571895,458,ok,real_L_R_common
D285_F07_V01,285,7,W100,right,-0.052980800419625738,458,ok,real_L_R_common
